"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:14:01::"	"for"	"meeting"	"space"	"or"	"space_for"	"for_meeting"	"meeting_or"	"cafeteria_space_for"	"space_for_meeting"	"for_meeting_or"	"meeting_or_discussion"	"NN"	"NN"	"IN"	"NN"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"cafeteria"	"space"	"for"	"company"	"meeting"	"or"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"intra"	"vehicle"	"your"	"?"	"your_intra"	"intra_vehicle"	"vehicle_?"	"be_your_intra"	"your_intra_vehicle"	"intra_vehicle_?"	"vehicle_?_∅"	"VB"	"PRP$"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"efficient"	"and"	"be"	"your"	"intra"	"company"	"vehicle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"some"	"find"	"∅"	"a"	"∅_some"	"some_find"	"find_a"	"∅_∅_some"	"∅_some_find"	"some_find_a"	"find_a_little"	"ε"	"ε"	"DT"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"company"	"find"	"a"	"little"	"imagination"	"helpful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"convenience_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"keep"	"the"	"retirement"	"age"	"flexible"	"so"	"skilled"	"craftsman"	"such_as"	"tool"	"die"	"maker"	"can"	"be"	"keep"	"on_the_job"	"for"	"the"	"convenience"	"of"	"the"	"company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"on"	"ship"	"train"	"."	"train_on"	"on_ship"	"ship_."	"was_train_on"	"train_on_ship"	"on_ship_."	"ship_._∅"	"VBD"	"VB"	"IN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"believe"	"that"	"person"	"be"	"related"	"to"	"man"	"of"	"the"	"group"	"and"	"was"	"train"	"on"	"company"	"ship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"for"	"in"	"room"	"the"	"room_for"	"for_in"	"in_the"	"no_room_for"	"room_for_in"	"for_in_the"	"in_the_tiny"	"DT"	"NN"	"IN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"room"	"for"	"company"	"in"	"the"	"tiny"	"weaning_house"	"where"	"the"	"person"	"boy"	"always"	"take"	"their"	"bride"	"till"	"they"	"could"	"get"	"a"	"house"	"and"	"a"	"farm"	"of"	"their"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"the"	"officer"	"but"	"feel"	"but_the"	"the_officer"	"officer_feel"	",_but_the"	"but_the_officer"	"the_officer_feel"	"officer_feel_that"	"ε"	"CC"	"DT"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"person"	"and"	"person"	"life"	"were"	"threaten"	"by"	"mexican"	"following"	"the"	"killing"	"but"	"the"	"company"	"officer"	"feel"	"that"	"in_the_end"	"it"	"would"	"serve"	"to"	"quiet"	"them"	"despite"	"their"	"immediate"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"the"	"had"	"ranch"	"purchase"	"ranch_the"	"the_had"	"had_purchase"	"rent_out_ranch_the"	"ranch_the_had"	"the_had_purchase"	"had_purchase_."	"VB"	"NN"	"DT"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"february"	"person"	"and"	"person"	"were"	"send"	"to"	"the"	"location"	"on"	"the"	"location"	"to"	"see"	"about"	"rent_out"	"ranch"	"the"	"company"	"had"	"purchase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"land_grant"	"officer"	"the"	"in"	"the_land_grant"	"land_grant_officer"	"officer_in"	"place_the_land_grant"	"the_land_grant_officer"	"land_grant_officer_in"	"officer_in_a"	"VB"	"DT"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cattle"	"steal"	"and"	"killing"	"again"	"serious"	"during"	"spring"	"of"	"place"	"the"	"land_grant"	"company"	"officer"	"in"	"a"	"perplexing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"that"	"reach"	"the"	"reach_the"	"the_that"	"that_the"	"word_reach_the"	"reach_the_that"	"the_that_the"	"that_the_man"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"word"	"the"	"company"	"that"	"the"	"man"	"behind"	"these"	"depredation"	"be"	"person"	"a"	"man"	"with"	"many"	"follower"	"include"	"a"	"number"	"who"	"were"	"keep"	"in"	"line"	"through"	"fear"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"with"	"amuse"	"a_few"	"amuse_the"	"the_with"	"with_a_few"	"rousseau_amuse_the"	"amuse_the_with"	"the_with_a_few"	"with_a_few_little"	"NN"	"VB"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"then"	"one"	"day"	"while"	"on"	"a"	"week"	"visit"	"to"	"the"	"home"	"of"	"a"	"retired"	"swiss"	"jeweler"	"rousseau"	"amuse"	"the"	"company"	"with"	"a_few"	"little"	"melody"	"he"	"had"	"write"	"to"	"which"	"he"	"attach"	"no"	"great"	"importance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"public_utility"	"would"	"natural_gas"	"be"	"natural_gas_public_utility"	"public_utility_would"	"would_be"	"∅_natural_gas_public_utility"	"natural_gas_public_utility_would"	"public_utility_would_be"	"would_be_give"	"ε"	"NN"	"NN"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"public_utility"	"company"	"would"	"be"	"give"	"the"	"right"	"of"	"eminent_domain"	"under"	"a"	"bill"	"by"	"person"	"of"	"location"	"to"	"acquire"	"site"	"for"	"underground"	"storage"	"reservoir"	"for"	"gas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"the"	"street"	"at"	"."	"at_the"	"the_street"	"street_."	"tent_at_the"	"at_the_street"	"the_street_."	"street_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"look_out"	"of"	"tent"	"at"	"the"	"company"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:02::"	"the"	"which"	"∅"	"perform"	"∅_the"	"the_which"	"which_perform"	"∅_∅_the"	"∅_the_which"	"the_which_perform"	"which_perform_the"	"ε"	"ε"	"DT"	"NN"	"WDT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"company"	"which"	"perform"	"the"	"pulitzer_prize"	"musical"	"here"	"last"	"night"	"and"	"will"	"repeat"	"it"	"twice"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"and"	"the"	"person"	"ride"	"to"	"break"	"a"	"lance"	"again"	
"1:14:02::"	"this"	"be"	"think"	"every_bit"	"think_this"	"this_be"	"be_every_bit"	"i_think_this"	"think_this_be"	"this_be_every_bit"	"be_every_bit_as"	"PRP"	"VB"	"DT"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"fiorello"	"perform"	"in"	"new_york"	"by"	"the"	"cast"	"and"	"i"	"think"	"this"	"company"	"be"	"every_bit"	"as"	"good"	"and"	"perhaps"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"c"	"have"	"and"	"requisition"	"and_c"	"c_have"	"have_requisition"	"b_and_c"	"and_c_have"	"c_have_requisition"	"have_requisition_in"	"NNP"	"CC"	"NN"	"NN"	"VBP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fetch"	"me"	"the"	"copy"	"everything"	"b"	"and"	"c"	"company"	"have"	"requisition"	"in"	"the"	"last"	"six"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"better"	"than"	"be"	"most"	"be_better"	"better_than"	"than_most"	"they_be_better"	"be_better_than"	"better_than_most"	"than_most_people"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chicken"	"have"	"short"	"memory"	"the"	"doctor"	"remark"	"that"	"they"	"be"	"better"	"company"	"than"	"most"	"people"	"i"	"know"	"and"	"he"	"go_on"	"to"	"break"	"some"	"important"	"news"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"furniture"	"be"	"and"	"essential"	"and_furniture"	"furniture_be"	"be_essential"	"house_and_furniture"	"and_furniture_be"	"furniture_be_essential"	"be_essential_to"	"NN"	"CC"	"NN"	"NN"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consultation"	"with"	"architect"	"client"	"real_estate"	"man"	"house"	"and"	"furniture"	"company"	"be"	"essential"	"to"	"the"	"proper"	"development"	"of"	"class"	"problem"	"just"	"as"	"in"	"actual"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"for"	"as"	"need"	"strong"	"need_for"	"for_as"	"as_strong"	"puppyish_need_for"	"need_for_as"	"for_as_strong"	"as_strong_as"	"JJ"	"NN"	"RB"	"NN"	"RB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"feel"	"puppyish"	"need"	"for"	"company"	"as"	"strong"	"as"	"his"	"earlier"	"necessity"	"for"	"quiet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"pleasing"	"of"	"more"	"his"	"more_pleasing"	"pleasing_of"	"of_his"	"still_more_pleasing"	"more_pleasing_of"	"pleasing_of_his"	"of_his_water_brother"	"RB"	"RB"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_meantime"	"he"	"be"	"pleased"	"with"	"the"	"night"	"and"	"the"	"still"	"more"	"pleasing"	"company"	"of"	"his"	"water_brother"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"with"	","	"person"	",_in"	"in_with"	"with_person"	"late_,_in"	",_in_with"	"in_with_person"	"with_person_;"	"JJ"	"ε"	"IN"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"arrive"	"just"	"before"	"nightfall"	"hour"	"late"	"in"	"company"	"with"	"person"	"person"	"chairman"	"of"	"the"	"group"	"board_of_directors"	"and"	"person"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
