"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"4:02:00::"	"``"	"few"	"∅"	"wife"	"∅_``"	"``_few"	"few_wife"	"∅_∅_``"	"∅_``_few"	"``_few_wife"	"few_wife_''"	"ε"	"ε"	"ε"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"wife"	"say"	"person"	"who"	"balance"	"the"	"checkbook"	"fix"	"the"	"car"	"choose"	"where"	"the"	"family"	"will"	"live"	"and"	"deal"	"with"	"the"	"tradesman"	"are"	"suddenly"	"going_to"	"become"	"submissive"	"where"	"sex"	"is"	"concern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"some"	"basic"	"take"	"step"	"take_some"	"some_basic"	"basic_step"	"must_take_some"	"take_some_basic"	"some_basic_step"	"basic_step_."	"MD"	"VB"	"JJ"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"get"	"a"	"marriage"	"back"	"where"	"it"	"belong"	"comment"	"person"	"of"	"group"	"the"	"husband"	"must"	"take"	"some"	"very"	"basic"	"step"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"work"	"fast"	"n't"	"or"	"n't_work"	"work_fast"	"fast_or"	"did_n't_work"	"n't_work_fast"	"work_fast_or"	"fast_or_very"	"VBD"	"RB"	"VB"	"RB"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"person"	"had"	"be"	"at_least"	"sober"	"enough"	"to"	"remember"	"to"	"telephone"	"and"	"he"	"turn_out"	"to"	"be"	"the"	"greatest"	"boon"	"that"	"had"	"come"	"into"	"person"	"life"	"since"	"he"	"move"	"to"	"location"	"in_spite_of"	"the"	"fact"	"that"	"he"	"n't"	"work"	"very"	"fast"	"or"	"very"	"long"	"at_a_time"	"and"	"he"	"did"	"n't"	"like"	"to"	"work"	"at_all"	"unless"	"person"	"hang_around"	"and"	"talk"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"or"	"long"	"fast"	"at_a_time"	"fast_or"	"or_long"	"long_at_a_time"	"very_fast_or"	"fast_or_long"	"or_long_at_a_time"	"long_at_a_time_,"	"RB"	"RB"	"CC"	"RB"	"RB"	"RB"	"ε"	"be"	"at_least"	"sober"	"enough"	"to"	"remember"	"to"	"telephone"	"and"	"he"	"turn_out"	"to"	"be"	"the"	"greatest"	"boon"	"that"	"had"	"come"	"into"	"person"	"life"	"since"	"he"	"move"	"to"	"location"	"in_spite_of"	"the"	"fact"	"that"	"he"	"did"	"n't"	"work"	"very"	"fast"	"or"	"long"	"at_a_time"	"and"	"he"	"did"	"n't"	"like"	"to"	"work"	"at_all"	"unless"	"person"	"hang_around"	"and"	"talk"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"look"	"efficient"	"did"	"and"	"did_look"	"look_efficient"	"efficient_and"	"all_did_look"	"did_look_efficient"	"look_efficient_and"	"efficient_and_shipshape"	"DT"	"VBD"	"VB"	"RB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"did"	"look"	"very"	"efficient"	"and"	"shipshape"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"a"	"large"	"make"	"difference"	"make_a"	"a_large"	"large_difference"	"will_make_a"	"make_a_large"	"a_large_difference"	"large_difference_in"	"MD"	"VB"	"DT"	"RB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"this"	"enlarged"	"role"	"in"	"mind"	"i"	"should_like"	"to"	"make"	"a_few"	"suggestion"	"what"	"in"	"the"	"united_states"	"do"	"or"	"do"	"not"	"do"	"will"	"make"	"a"	"very"	"large"	"difference"	"in"	"what"	"happen"	"in"	"the"	"rest"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"some"	"memorable"	"produce"	"and"	"produce_some"	"some_memorable"	"memorable_and"	"would_produce_some"	"produce_some_memorable"	"some_memorable_and"	"memorable_and_lasting"	"MD"	"VB"	"JJ"	"RB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"they"	"produce"	"some"	"very"	"memorable"	"and"	"lasting"	"song"	"person"	"and"	"person"	"were"	"not"	"give"	"strong"	"material"	"to"	"work_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"least"	"at_the_least"	","	"at_the_least_the"	"the_least"	"least_,"	",_at_the_least_the"	"at_the_least_the_least"	"the_least_,"	"least_,_go"	"ε"	"RB"	"DT"	"RB"	"JJS"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"that"	"first"	"day"	"person"	"literally"	"think"	"she"	"going_to"	"die"	"or"	"at_the_least"	"the"	"very"	"least"	"go"	"out"	"of"	"her"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"reasonable"	"be"	"to"	"be_not"	"not_reasonable"	"reasonable_to"	"it_be_not"	"be_not_reasonable"	"not_reasonable_to"	"reasonable_to_believe"	"PRP"	"VB"	"RB"	"RB"	"JJ"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"not"	"very"	"reasonable"	"to"	"believe"	"that"	"person"	"had"	"procure"	"unprocurable"	"opium"	"and"	"come_back"	"to"	"location"	"with"	"a"	"formed"	"plan"	"to"	"murder"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"complex"	"on"	"spectrum"	"on_the"	"the_complex"	"complex_spectrum"	"continue_on_the"	"on_the_complex"	"the_complex_spectrum"	"complex_spectrum_of"	"VB"	"IN"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"on"	"the"	"very"	"complex"	"spectrum"	"of"	"the"	"rare_earth"	"element"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"'s"	"simple"	"it"	"."	"it_'s"	"'s_simple"	"simple_."	"``_it_'s"	"it_'s_simple"	"'s_simple_."	"simple_._∅"	"ε"	"PRP"	"VBZ"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"simple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:precise:00"	"the"	"next"	"chance"	"morning"	"chance_the"	"the_next"	"next_morning"	"his_chance_the"	"chance_the_next"	"the_next_morning"	"next_morning_,"	"PRP$"	"NN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"have"	"chance"	"the"	"very"	"next"	"morning"	"for"	"exactly"	"the"	"same"	"thing"	"happen"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:same:02"	"the"	"area"	"in"	"where"	"in_the"	"the_area"	"area_where"	"even_in_the"	"in_the_area"	"the_area_where"	"area_where_the"	"RB"	"IN"	"DT"	"JJ"	"NN"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"the"	"very"	"area"	"where"	"the"	"shooting"	"had"	"been"	"do"	"cattle"	"were"	"still"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"a"	"short"	"of"	"line"	"of_a"	"a_short"	"short_line"	"end_of_a"	"of_a_short"	"a_short_line"	"short_line_i"	"NN"	"IN"	"DT"	"RB"	"JJ"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"to"	"realize"	"that"	"be"	"the"	"end"	"of"	"a"	"very"	"short"	"line"	"i"	"scan"	"a"	"road"	"marker"	"and"	"discover"	"what"	"the"	"end"	"of"	"a"	"slightly"	"longer"	"line"	"would"	"be"	"for"	"the"	"old"	"person"	"location"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"person"	"kindly"	"∅"	"let"	"∅_person"	"person_kindly"	"kindly_let"	"∅_∅_person"	"∅_person_kindly"	"person_kindly_let"	"kindly_let_me"	"ε"	"ε"	"NNP"	"RB"	"RB"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"kindly"	"let"	"me"	"drive"	"through"	"sante_fe"	"to"	"a"	"road"	"which"	"would"	"she"	"say"	"lead"	"us"	"to"	"location"	"and_then"	"location"	"and"	"eventually"	"out"	"of"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"a"	"successful"	"undertake"	"geological"	"undertake_a"	"a_successful"	"successful_geological"	"he_undertake_a"	"undertake_a_successful"	"a_successful_geological"	"successful_geological_expedition"	"PRP"	"VB"	"DT"	"RB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"under"	"royal"	"he"	"undertake"	"a"	"very"	"successful"	"geological"	"expedition"	"to"	"location"	"one"	"of"	"the"	"danish"	"island"	"be"	"one"	"of"	"three"	"scientist"	"in"	"the"	"expedition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
