"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"
"2:36:00::"	"properly"	"hundred-and-eighty"	"a"	"degree"	"a_properly"	"properly_hundred-and-eighty"	"hundred-and-eighty_degree"	"for_a_properly"	"a_properly_hundred-and-eighty"	"properly_hundred-and-eighty_degree"	"hundred-and-eighty_degree_turn"	"IN"	"DT"	"RB"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"valley"	"be"	"only"	"a_few"	"hundred"	"yard"	"with"	"just_about"	"room"	"enough"	"for"	"a"	"properly"	"perform"	"hundred-and-eighty"	"degree"	"turn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"for"	"any"	")"	"act"	")_for"	"for_any"	"any_act"	"due_date_)_for"	")_for_any"	"for_any_act"	"any_act_for"	"NN"	"ε"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"due_date"	"for"	"perform"	"any"	"act"	"for"	"tax"	"purpose"	"such_as"	"filing"	"a"	"return"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	
"2:41:02::"	"may"	"that"	"you"	"act"	"you_may"	"may_that"	"that_act"	",_you_may"	"you_may_that"	"may_that_act"	"that_act_on"	"ε"	"PRP"	"MD"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"for"	"perform"	"any"	"act"	"for"	"tax"	"purpose"	"such_as"	"filing"	"a"	"return"	"or"	"make"	"a"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"by"	"can"	"a"	"can_be"	"be_by"	"by_a"	"that_can_be"	"can_be_by"	"be_by_a"	"by_a_strong"	"WDT"	"VB"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"be"	"beginning"	"but"	"correctly"	"learn"	"they"	"prepare"	"satisfying"	"and"	"exciting"	"stunt"	"that"	"can"	"be"	"perform"	"by"	"a"	"strong"	"flexible"	"body"	"we"	"are"	"not"	"talk"	"of"	"eccentric"	"extreme"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	","	"the"	"person"	"lanky"	"person_,"	",_the"	"the_lanky"	"and_person_,"	"person_,_the"	",_the_lanky"	"the_lanky_don_quixote"	"CC"	"NNP"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"russian"	"actor"	"who"	"has"	"play"	"heroic"	"role"	"as"	"person"	"and"	"person"	"perform"	"the"	"lanky"	"don_quixote"	"and"	"does"	"so"	"with"	"a"	"simple"	"dignity"	"that"	"bridge"	"the"	"inner"	"nobility"	"and"	"the"	"surface"	"absurdity"	"of"	"this"	"poignant"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"which"	"the"	"company"	"pulitzer_prize"	"company_which"	"which_the"	"the_pulitzer_prize"	"the_company_which"	"company_which_the"	"which_the_pulitzer_prize"	"the_pulitzer_prize_musical"	"DT"	"NN"	"WDT"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"which"	"perform"	"the"	"pulitzer_prize"	"musical"	"here"	"last"	"night"	"and"	"will"	"repeat"	"it"	"twice"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"and"	"the"	"person"	"ride"	"to"	"break"	"a"	"lance"	"again"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"''"	"in"	"!"	"new_york"	"!_''"	"''_in"	"in_new_york"	"fiorello_!_''"	"!_''_in"	"''_in_new_york"	"in_new_york_by"	"NNP"	"ε"	"ε"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"perform"	"in"	"new_york"	"by"	"the"	"original"	"cast"	"and"	"i"	"think"	"this"	"company"	"be"	"every_bit"	"as"	"good"	"and"	"perhaps"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"once_again"	"at"	"group"	"the"	"group_once_again"	"once_again_at"	"at_the"	"the_group_once_again"	"group_once_again_at"	"once_again_at_the"	"at_the_plate"	"DT"	"NNP"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"once_again"	"perform"	"at"	"the"	"plate"	"in"	"powder-puff"	"fashion"	"gather"	"only"	"seven"	"blow"	"off"	"the"	"offering"	"of"	"three"	"kansas_city"	"pitcher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	","	"in"	"person"	"right"	"person_,"	",_in"	"in_right"	"∅_person_,"	"person_,_in"	",_in_right"	"in_right_as"	"ε"	"NNP"	"ε"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perform"	"in"	"right"	"as"	"the"	"group"	"field"	"possibly"	"strong"	"team"	"of"	"the"	"spring"	"work"	"person"	"for"	"a"	"base_on_balls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"correctly"	"."	"more"	"∅"	"more_correctly"	"correctly_."	"._∅"	"and_more_correctly"	"more_correctly_."	"correctly_._∅"	"._∅_∅"	"CC"	"RB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"improve"	"overall"	"balance"	"and"	"control"	"for"	"the"	"bodybuilder"	"help"	"to"	"make"	"squat"	"more"	"easily"	"and"	"more"	"correctly"	"perform"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	","	"same"	",_and"	"and_the"	"the_same"	"front_,_and"	",_and_the"	"and_the_same"	"the_same_movement"	"JJ"	"ε"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"you"	"have"	"take_a_breather"	"reverse"	"the"	"position"	"your"	"leg"	"so_that"	"the"	"front"	"thigh"	"of"	"the"	"previous"	"be"	"now"	"to"	"the"	"rear"	"and"	"the"	"rear"	"thigh"	"now"	"to"	"the"	"front"	"and"	"perform"	"the"	"same"	"movement"	"in"	"the"	"same"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"were"	"as"	"test"	"describe"	"test_were"	"were_as"	"as_describe"	"albumin_test_were"	"test_were_as"	"were_as_describe"	"as_describe_for"	"NN"	"NN"	"VB"	"VB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"saline"	"albumin"	"test"	"were"	"perform"	"as"	"describe"	"for"	"the"	"abo"	"sample"	"except"	"that"	"the"	"mixture"	"was"	"incubate"	"for"	"hr"	"at"	"c"	"before"	"centrifugation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
