"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"5:00:00:cardinal:00"	"and"	"."	"3"	"∅"	"3_and"	"and_."	"._∅"	"figure_3_and"	"3_and_."	"and_._∅"	"._∅_∅"	"NN"	"JJ"	"CC"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"difference"	"between"	"the"	"sequence"	"of"	"onset"	"of"	"ossification"	"the"	"sex"	"govern"	"the"	"numbering"	"sequence"	"in"	"figure"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"and"	"were"	"3"	"apply"	"3_and"	"and_were"	"were_apply"	"figure_3_and"	"3_and_were"	"and_were_apply"	"were_apply_to"	"NN"	"JJ"	"CC"	"JJ"	"VBD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"principle"	"use"	"in"	"make"	"arrow"	"for"	"figure"	"and"	"were"	"apply"	"to"	"the"	"construction"	"of"	"figure"	"and"	"as_well_as"	"all"	"figure"	"in"	"the"	"appendix"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"and"	"we"	"3"	"answer"	"3_and"	"and_we"	"we_answer"	"chapter_3_and"	"3_and_we"	"and_we_answer"	"we_answer_question"	"NN"	"JJ"	"CC"	"JJ"	"PRP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"and"	"we"	"answer"	"question"	"like"	"those"	"in"	"the"	"example"	"usually"	"by"	"count"	"point"	"in"	"a"	"sample"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"april"	"ballot"	"the"	","	"the_april"	"april_ballot"	"ballot_,"	"on_the_april"	"the_april_ballot"	"april_ballot_,"	"ballot_,_when"	"IN"	"DT"	"NN"	"NN"	"NN"	"ε"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"adverse"	"vote"	"of"	"to"	"keep"	"in"	"the"	"group"	"a"	"which"	"would"	"order"	"the"	"referendum"	"on"	"the"	"april"	"ballot"	"when"	"texas"	"vote"	"on"	"a"	"u.s."	"senator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"to"	","	"114"	"send"	"114_to"	"to_,"	",_send"	",_114_to"	"114_to_,"	"to_,_send"	",_send_it"	"ε"	"CD"	"TO"	"NN"	"ε"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"shouting"	"end"	"the"	"pass"	"to"	"send"	"it"	"to"	"the"	"senate"	"where"	"a"	"similar"	"proposal"	"is"	"being"	"sponsor"	"by"	"person"	"of"	"dallas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"phase"	"series"	"the"	"be"	"the_phase"	"phase_series"	"series_be"	"in_the_phase"	"the_phase_series"	"phase_series_be"	"series_be_due"	"IN"	"DT"	"NN"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"explain"	"that"	"the"	"very"	"directional"	"effect"	"in"	"the"	"phase"	"series"	"be"	"due"	"in"	"large"	"part"	"to"	"their"	"novel"	"method"	"of"	"microphoning"	"and"	"recording"	"the"	"music"	"on"	"a"	"number"	"of"	"tape"	"channel"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	":"	"ratio"	"1"	"ratio_of"	"of_:"	":_1"	"diameter_ratio_of"	"ratio_of_:"	"of_:_1"	":_1_."	"NN"	"NN"	"IN"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spectrum"	"were"	"obtain"	"from"	"a"	"powdered"	"sample"	"have"	"the"	"shape"	"a"	"right"	"circular"	"cylinder"	"with"	"a"	"height"	"to"	"diameter"	"ratio"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"tie"	"-"	"record"	"homer"	"record_tie"	"tie_-"	"-_homer"	"a_record_tie"	"record_tie_-"	"tie_-_homer"	"-_homer_spree"	"DT"	"NN"	"VB"	"JJ"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"so"	"it"	"be"	"over"	"the"	"weekend"	"what"	"with"	"year"	"old"	"person"	"pitch"	"his"	"no-hit"	"against"	"the"	"group"	"and"	"the"	"group"	"person"	"retaliate"	"with"	"a"	"record"	"tie"	"homer"	"spree"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"a"	"for"	"score"	"the"	"score_a"	"a_for"	"for_the"	"he_score_a"	"score_a_for"	"a_for_the"	"for_the_embedded"	"PRP"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"a"	"for"	"the"	"embedded"	"ball"	"a"	"with"	"the"	"provisional"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"$"	"million"	"to"	"worth"	"to_$"	"$_million"	"million_worth"	"million_to_$"	"to_$_million"	"$_million_worth"	"million_worth_of"	"NN"	"TO"	"ε"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"source"	"say"	"there"	"also"	"be"	"a"	"there"	"to"	"issue"	"some"	"million"	"to"	"million"	"worth"	"of"	"group"	"bond"	"for"	"rural"	"road"	"construction"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	":"	"of"	"1"	"the"	"1_:"	":_of"	"of_the"	"be_1_:"	"1_:_of"	":_of_the"	"of_the_titer"	"VB"	"JJ"	"ε"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"pass_through"	"f"	"through"	"deae_cellulose"	"the"	"titer"	"of"	"antibody"	"to"	"in"	"the"	"specific"	"fraction"	"be"	"of"	"the"	"titer"	"before"	"such"	"passage"	"precipitin"	"ring"	"test"	"by"	"person"	"but"	"mere"	"dilution"	"of"	"the"	"conjugate"	"to"	"did"	"not"	"satisfactorily"	"remove"	"nonspecific"	"staining"	
"5:00:00:cardinal:00"	":"	"did"	"1"	"not"	"1_:"	":_did"	"did_not"	"to_1_:"	"1_:_did"	":_did_not"	"did_not_satisfactorily"	"TO"	"JJ"	"ε"	"JJ"	"VBD"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"pass_through"	"f"	"through"	"deae_cellulose"	"the"	"titer"	"of"	"antibody"	"to"	"wtv"	"in"	"the"	"specific"	"fraction"	"be"	"of"	"the"	"titer"	"before"	"such"	"passage"	"ring"	"test"	"by"	"person"	"but"	"mere"	"dilution"	"of"	"the"	"conjugate"	"to"	"did"	"not"	"satisfactorily"	"remove"	"nonspecific"	"staining"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"only"	"'"	"be"	"10"	"be_only"	"only_'"	"'_10"	"he_be_only"	"be_only_'"	"only_'_10"	"'_10_''"	"PRP"	"VB"	"RB"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"when"	"person"	"be"	"he"	"be"	"only"	"tall"	"and"	"weigh"	"an"	"astounding"	"pound"	"and"	"his"	"greatest"	"desire"	"was"	"to"	"pack_on"	"some"	"weight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"year"	"period"	"."	"period_of"	"of_year"	"year_."	"a_period_of"	"period_of_year"	"of_year_."	"year_._∅"	"DT"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"patient"	"develop"	"an"	"unexplained"	"anemia"	"for"	"blood_transfusion"	"were"	"give"	"over"	"a"	"period"	"of"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
