"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:21:00::"	"of"	"on"	"withholding"	"their"	"withholding_of"	"of_on"	"on_their"	"to_withholding_of"	"withholding_of_on"	"of_on_their"	"on_their_wage"	"JJ"	"NN"	"IN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nonresident"	"alien"	"live"	"in"	"canada"	"or"	"mexico"	"who"	"earn"	"in"	"the"	"united_states"	"may"	"be"	"subject"	"to"	"withholding"	"of"	"tax"	"on"	"their"	"wage"	"the"	"same"	"as"	"if"	"they"	"be"	"citizen"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"normal"	"year"	"'s"	"."	"'s_normal"	"normal_year"	"year_."	"taxpayer_'s_normal"	"'s_normal_year"	"normal_year_."	"year_._∅"	"NN"	"POS"	"JJ"	"NN"	"NN"	"ε"	"ε"	"taxpayer"	"die"	"the"	"executor"	"administrator"	"or"	"legal"	"representative"	"must"	"file"	"the"	"final"	"return"	"for"	"the"	"decedent"	"on"	"or"	"before"	"the"	"day"	"of"	"the"	"month"	"follow"	"the"	"close"	"of"	"deceased"	"taxpayer"	"normal"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"of"	"."	"overpayment"	"∅"	"overpayment_of"	"of_."	"._∅"	"an_overpayment_of"	"overpayment_of_."	"of_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"return"	"for"	"a"	"decedent"	"may"	"also"	"serve"	"a"	"claim"	"for"	"refund"	"of"	"an"	"overpayment"	"of"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"year"	"of"	"."	"of_the"	"the_year"	"year_."	"close_of_the"	"of_the_year"	"the_year_."	"year_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"of"	"estate"	"or"	"trust"	"be_due"	"on"	"or"	"before"	"the"	"of"	"the"	"month"	"after"	"the"	"close"	"of"	"the"	"tax"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"on"	"that"	"pay"	"are"	"pay_on"	"on_that"	"that_are"	"be_pay_on"	"pay_on_that"	"on_that_are"	"that_are_not"	"VB"	"VB"	"IN"	"NN"	"WDT"	"VBP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interest"	"at"	"the"	"rate"	"of"	"a"	"must"	"be"	"pay"	"on"	"tax"	"that"	"are"	"not"	"pay"	"on"	"or"	"before"	"their"	"due_date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"additional"	","	"owe"	"it"	"owe_additional"	"additional_,"	",_it"	"you_owe_additional"	"owe_additional_,"	"additional_,_it"	",_it_should"	"PRP"	"VB"	"JJ"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"your"	"computation"	"on"	"form_1040"	"form_1040_a"	"show"	"you"	"owe"	"additional"	"tax"	"it"	"should"	"be"	"remit"	"with"	"your"	"return"	"unless"	"you"	"owe"	"less_than"	"in"	"which"	"case"	"it"	"is"	"forgive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"is"	","	"not"	",_the"	"the_is"	"is_not"	"uncertified_,_the"	",_the_is"	"the_is_not"	"is_not_pay"	"JJ"	"ε"	"DT"	"NN"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"the"	"check"	"be"	"or"	"uncertified"	"the"	"tax"	"is"	"not"	"pay"	"until"	"the"	"check"	"is"	"pay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"social_security"	"entitle"	"and"	"you"	"and_social_security"	"social_security_entitle"	"entitle_you"	"income_and_social_security"	"and_social_security_entitle"	"social_security_entitle_you"	"entitle_you_to"	"NN"	"CC"	"NN"	"NN"	"VB"	"PRP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"overpayment"	"income"	"and"	"social_security"	"tax"	"entitle"	"you"	"to"	"a"	"refund"	"unless"	"you"	"indicate"	"on"	"the"	"return"	"that"	"the"	"overpayment"	"should"	"be"	"apply"	"to"	"your"	"succeeding"	"year"	"estimated"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"estimated"	"."	"'s"	"∅"	"'s_estimated"	"estimated_."	"._∅"	"year_'s_estimated"	"'s_estimated_."	"estimated_._∅"	"._∅_∅"	"NN"	"POS"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"overpayment"	"of"	"income"	"and"	"social_security"	"tax"	"entitle"	"you"	"to"	"refund"	"unless"	"you"	"indicate"	"on"	"the"	"return"	"that"	"the"	"should"	"be"	"apply"	"to"	"your"	"succeeding"	"year"	"estimated"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"your"	","	"compute"	"any"	"compute_your"	"your_,"	",_any"	"person_compute_your"	"compute_your_,"	"your_,_any"	",_any_refund"	"NNP"	"VB"	"PRP$"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"file"	"form_1040_a"	"the"	"person"	"compute"	"your"	"tax"	"any"	"refund"	"to"	"which"	"you"	"be"	"entitled"	"will"	"be"	"mail"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"of"	"and"	"overpayment"	"the"	"overpayment_of"	"of_and"	"and_the"	"an_overpayment_of"	"overpayment_of_and"	"of_and_the"	"and_the_amount"	"DT"	"NN"	"IN"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"file"	"a"	"form_1040"	"you"	"should"	"indicate"	"in"	"place"	"provide"	"that"	"there"	"be"	"an"	"overpayment"	"of"	"tax"	"and"	"the"	"amount"	"you"	"want"	"refund"	"and"	"the"	"amount"	"you"	"want"	"credit"	"against"	"your"	"estimated"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"estimated"	"."	"your"	"∅"	"your_estimated"	"estimated_."	"._∅"	"against_your_estimated"	"your_estimated_."	"estimated_._∅"	"._∅_∅"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"if"	"you"	"file"	"a"	"form_1040"	"you"	"should"	"indicate"	"in"	"the"	"place"	"provide"	"that"	"there"	"be"	"an"	"overpayment"	"of"	"tax"	"and"	"the"	"amount"	"you"	"want"	"refund"	"and"	"the"	"amount"	"you"	"credit"	"against"	"your"	"estimated"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"to"	"on"	"subject"	"his"	"subject_to"	"to_on"	"on_his"	"be_subject_to"	"subject_to_on"	"to_on_his"	"on_his_own"	"VB"	"JJ"	"JJ"	"NN"	"JJ"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"subject"	"to"	"tax"	"on"	"his"	"own"	"earnings"	"even"	"though"	"his"	"parent"	"may"	"under"	"local"	"law"	"have"	"the"	"right"	"to"	"them"	"and"	"might"	"actually"	"have"	"receive"	"the"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"two"	"revision"	"∅"	"bill"	"∅_two"	"two_revision"	"revision_bill"	"∅_∅_two"	"∅_two_revision"	"two_revision_bill"	"revision_bill_were"	"ε"	"ε"	"JJ"	"NN"	"NN"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tax"	"revision"	"bill"	"were"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"of"	"texan"	"kind"	"would"	"kind_of"	"of_texan"	"texan_would"	"what_kind_of"	"kind_of_texan"	"of_texan_would"	"texan_would_prefer"	"WP"	"NN"	"NN"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"representative"	"decide"	"thursday"	"taking_a_poll"	"on"	"what"	"kind"	"of"	"tax"	"texan"	"would"	"prefer"	"to"	"pay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"about"	"proposal"	"information"	"for"	"information_about"	"about_proposal"	"proposal_for"	"enough_information_about"	"information_about_proposal"	"about_proposal_for"	"proposal_for_the"	"JJ"	"NN"	"IN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"opponent"	"generally"	"argue"	"that"	"the"	"could"	"n't"	"give"	"enough"	"information"	"about"	"tax"	"proposal"	"for"	"the"	"voter"	"to"	"make"	"an"	"intelligent"	"choice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"by"	"authorities"	"pay_off"	"."	"pay_off_by"	"by_authorities"	"authorities_."	"are_pay_off_by"	"pay_off_by_authorities"	"by_authorities_."	"authorities_._∅"	"VBP"	"VB"	"IN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"department"	"apparently"	"intend"	"make"	"the"	"group"	"a"	"revolving_fund"	"under"	"which"	"new"	"bond"	"would"	"be"	"every"	"time"	"a"	"portion"	"of"	"the"	"old"	"ones"	"are"	"pay_off"	"by"	"tax"	"authorities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
