"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"
"2:35:02::"	"to"	"the"	"happy"	"support"	"happy_to"	"to_the"	"the_support"	"be_happy_to"	"happy_to_the"	"to_the_support"	"the_support_of"	"VB"	"JJ"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_first"	"i"	"happy"	"to"	"throw"	"the"	"support"	"of"	"our"	"newspaper"	"behind"	"this"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"a"	"∅"	"smart"	"∅_he"	"he_a"	"a_smart"	"∅_∅_he"	"∅_he_a"	"he_a_smart"	"a_smart_salute"	"ε"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"throw"	"a"	"smart"	"salute"	"at"	"the"	"gangway"	"go"	"up"	"the"	"dock"	"and"	"turn"	"down"	"the"	"wide"	"street"	"in_front"	"of"	"the"	"petty_officers"	"club"	"0"	"0"	
"2:35:00::"	"pitcher"	"come"	"hefty"	"in"	"hefty_pitcher"	"pitcher_come"	"come_in"	"the_hefty_pitcher"	"hefty_pitcher_come"	"pitcher_come_in"	"come_in_for"	"DT"	"JJ"	"NN"	"VB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"the"	"hefty"	"pitcher"	"throw"	"come"	"in"	"for"	"person"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"him"	"truck"	"away"	"truck_was"	"was_him"	"him_away"	"the_truck_was"	"truck_was_him"	"was_him_away"	"him_away_from_it"	"DT"	"NN"	"VBD"	"VB"	"PRP"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"try"	"to"	"grab"	"the"	"wheel"	"the"	"swerve"	"of"	"the"	"truck"	"was"	"throw"	"him"	"away"	"from_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"herself"	","	"backwards"	",_person"	"person_herself"	"herself_backwards"	"then_,_person"	",_person_herself"	"person_herself_backwards"	"herself_backwards_and"	"RB"	"ε"	"NNP"	"VB"	"PRP"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"throw"	"herself"	"backwards"	"and"	"wiggle"	"in"	"a"	"way"	"that"	"be"	"just"	"wonderful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"bat"	"``"	"practice"	"``_person"	"person_bat"	"bat_practice"	"∅_``_person"	"``_person_bat"	"person_bat_practice"	"bat_practice_about"	"ε"	"ε"	"NNP"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"throw"	"bat"	"practice"	"about"	"minute"	"and"	"he"	"look"	"good"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"son"	"himself"	"'s"	"down"	"'s_son"	"son_himself"	"himself_down"	"old_man_'s_son"	"'s_son_himself"	"son_himself_down"	"himself_down_,"	"NN"	"POS"	"NN"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"son"	"throw"	"himself"	"down"	"belly"	"first"	"upon"	"a"	"concrete"	"step"	"take_in"	"the"	"coolness"	"of"	"it"	"and"	"dream"	"of"	"the"	"day"	"he"	"would"	"be"	"rich"	
"2:35:00::"	"had"	"up"	"man"	"to"	"man_had"	"had_up"	"up_to"	"monument_man_had"	"man_had_up"	"had_up_to"	"up_to_the"	"NN"	"NN"	"VBD"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"location"	"he"	"had"	"puzzle"	"the"	"of"	"the"	"great"	"stone"	"monument"	"man"	"had"	"throw"	"up"	"to"	"the"	"sky"	"and"	"always"	"as"	"he"	"wander"	"he"	"feel"	"a"	"stranger"	"to"	"their"	"exultation"	
"2:35:00::"	"and"	"it"	"ball"	"over"	"ball_and"	"and_it"	"it_over"	"the_ball_and"	"ball_and_it"	"and_it_over"	"it_over_first_baseman"	"DT"	"NN"	"CC"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"bounce"	"a"	"hard"	"shot"	"off"	"person"	"glove"	"and"	"beat"	"it"	"out"	"for"	"a"	"single"	"when"	"person"	"grab"	"the"	"ball"	"and"	"throw"	"it"	"over"	"first_baseman"	"person"	"head"	"person"	"took"	"third"	"and"	"person"	"second"	"on"	"the"	"error"	"0"	"0"	"0"	
"2:35:00::"	"and"	"wide"	"field"	"to"	"field_and"	"and_wide"	"wide_to"	"to_field_and"	"field_and_wide"	"and_wide_to"	"wide_to_first"	"TO"	"VB"	"CC"	"VB"	"JJ"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"single"	"on"	"a"	"slow"	"bounce"	"ball"	"short"	"which"	"person"	"cut_across"	"to"	"field"	"and"	"throw"	"wide"	"to"	"first"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"only"	"quarterback"	"17"	"quarterback_person"	"person_only"	"only_17"	"with_quarterback_person"	"quarterback_person_only"	"person_only_17"	"only_17_pass"	"IN"	"NN"	"NNP"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"win"	"the"	"game"	"ball"	"control"	"with"	"quarterback"	"person"	"throw"	"only"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
