"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"
"2:39:00::"	"to"	"``"	"atty._gen._j._joseph_nugent"	"the"	"atty._gen._j._joseph_nugent_to"	"to_``"	"``_the"	"with_atty._gen._j._joseph_nugent_to"	"atty._gen._j._joseph_nugent_to_``"	"to_``_the"	"``_the_benefit"	"IN"	"NNP"	"TO"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"city_council"	"suggest"	"that"	"the"	"legislative_council"	"might"	"perform"	"the"	"review"	"say"	"that"	"instead"	"he"	"will"	"take_up"	"the_matter"	"with"	"atty._gen._j._joseph_nugent"	"to"	"get"	"the"	"benefit"	"of"	"his"	"views"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"just"	"enough"	"toward"	"."	"toward_just"	"just_enough"	"enough_."	"mostly_toward_just"	"toward_just_enough"	"just_enough_."	"enough_._∅"	"RB"	"IN"	"RB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"previous"	"centuries"	"eating"	"change"	"by"	"nearly"	"degrees"	"and"	"mostly"	"toward"	"just"	"get"	"enough"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"trouble"	"the"	"have"	"1600"	"have_trouble"	"trouble_the"	"the_1600"	"population_have_trouble"	"have_trouble_the"	"trouble_the_1600"	"the_1600_calories"	"NN"	"VB"	"NN"	"VB"	"DT"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"throughout"	"much"	"of"	"the"	"world"	"food"	"be"	"still"	"so"	"that"	"half"	"of"	"the"	"earth"	"population"	"have"	"trouble"	"get"	"the"	"calories"	"a"	"day"	"necessary"	"to"	"sustain"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"to"	"medical"	"me"	"attention"	"me_to"	"to_medical"	"medical_attention"	"for_me_to"	"me_to_medical"	"to_medical_attention"	"medical_attention_needed"	"IN"	"PRP"	"TO"	"VB"	"JJ"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"height"	"of"	"the"	"first"	"snowstorm"	"have"	"it"	"be"	"impossible"	"for"	"me"	"to"	"get"	"medical"	"attention"	"needed"	"during"	"an"	"emergency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"a"	"drink"	"dime"	"drink_,"	",_a"	"a_dime"	"his_drink_,"	"drink_,_a"	",_a_dime"	"a_dime_ready_to"	"PRP$"	"NN"	"ε"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"stride"	"out"	"blithely"	"and"	"rourke"	"check"	"watch"	"and"	"sip"	"his"	"drink"	"get"	"a"	"dime"	"ready_to"	"make"	"the"	"telephone_call"	"to"	"the"	"police"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"he"	"the"	"∅"	"pint"	"∅_he"	"he_the"	"the_pint"	"∅_∅_he"	"∅_he_the"	"he_the_pint"	"the_pint_of"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"get"	"the"	"pint"	"of"	"liquor"	"out"	"of"	"his"	"pocket"	"and"	"unscrew"	"the"	"top"	"sprinkle"	"the"	"pungent"	"stuff"	"liberally"	"over"	"both"	"men"	"and_then"	"toss"	"the"	"open"	"bottle"	"in"	"on"	"the"	"front"	"seat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"``"	"the"	","	"police"	",_``"	"``_the"	"the_police"	"casually_,_``"	",_``_the"	"``_the_police"	"the_police_okay"	"RB"	"ε"	"ε"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"stroll"	"across"	"to"	"intercept"	"the"	"reporter"	"in_front"	"of"	"the"	"house"	"where"	"felice_perrin"	"live"	"and"	"ask"	"casually"	"get"	"the"	"police"	"okay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"fools"	"all"	"damned"	"excited"	"damned_fools"	"fools_all"	"all_excited"	"two_damned_fools"	"damned_fools_all"	"fools_all_excited"	"all_excited_when"	"CD"	"JJ"	"NNS"	"VB"	"DT"	"JJ"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"why"	"the"	"damned"	"fools"	"get"	"all"	"excited"	"when"	"they"	"see"	"the"	"bottle"	"and"	"knock_out"	"each"	"out_cold"	"shayne"	"say"	"good-humoredly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"can"	"more"	"we"	"money"	"we_can"	"can_more"	"more_money"	"so_we_can"	"we_can_more"	"can_more_money"	"more_money_on"	"RB"	"PRP"	"MD"	"VB"	"JJR"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"farmers"	"are"	"n't"	"as"	"price"	"conscious"	"last"	"year"	"so"	"we"	"can"	"get"	"more"	"money"	"on"	"a"	"sale"	"say"	"jack_martin"	"who"	"sell"	"j._i._case"	"tractors"	"and"	"implements"	"in"	"sioux_city"	"iowa"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"that"	"under"	"drive"	"way"	"drive_that"	"that_under"	"under_way"	"recovery_drive_that"	"drive_that_under"	"that_under_way"	"under_way_late"	"NN"	"NN"	"WDT"	"VB"	"JJ"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"analysts"	"see"	"the"	"move"	"as"	"continuation"	"of"	"the"	"recovery"	"drive"	"that"	"get"	"under"	"way"	"late"	"monday"	"afternoon"	"when"	"the"	"list"	"sink"	"to"	"a"	"hoped-for"	"support"	"level"	"represent"	"by"	"around"	"in"	"the"	"dow_jones"	"industrial"	"average"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"things"	"longer"	"square_away"	"longer_to"	"to_things"	"things_square_away"	"take_longer_to"	"longer_to_things"	"to_things_square_away"	"things_square_away_than"	"VB"	"RB"	"TO"	"VB"	"NNS"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maybe"	"it"	"longer"	"to"	"get"	"things"	"square_away"	"than"	"the"	"bankers"	"expect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"would"	"from"	"it"	"consolidation"	"it_would"	"would_from"	"from_consolidation"	"lift_it_would"	"it_would_from"	"would_from_consolidation"	"from_consolidation_with"	"NN"	"PRP"	"MD"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"board_chairman_howard_simpson"	"of"	"the"	"baltimore"	"ohio_railroad_co."	"testify"	"the"	"b"	"o"	"be"	"in"	"its"	"worst"	"financial_condition"	"the"	"depression"	"years"	"and"	"badly"	"need"	"the"	"economic"	"lift"	"it"	"would"	"get"	"from"	"consolidation"	"with"	"the"	"chesapeake"	"ohio_railroad"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"actually"	"there"	"who"	"find"	"who_actually"	"actually_there"	"there_find"	"those_who_actually"	"who_actually_there"	"actually_there_find"	"there_find_that"	"DT"	"WP"	"RB"	"VB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"those"	"actually"	"get"	"there"	"find"	"that"	"it"	"be"	"n't"	"spooky"	"at_all"	"but"	"as"	"brilliant"	"as"	"a"	"tile"	"in"	"sunlight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"he"	"nothing"	"but"	"more"	"but_he"	"he_nothing"	"nothing_more"	",_but_he"	"but_he_nothing"	"he_nothing_more"	"nothing_more_from"	"ε"	"CC"	"PRP"	"VB"	"NN"	"JJR"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mercer"	"did"	"not"	"know"	"what"	"an"	"earth-week"	"be"	"since"	"he"	"had"	"not"	"a"	"well-read"	"man"	"before"	"his"	"conviction"	"but"	"he"	"get"	"nothing"	"more"	"from"	"the"	"half-man"	"at_that_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"quietly"	"a"	"grosse"	"broom"	"grosse_quietly"	"quietly_a"	"a_broom"	"∅_grosse_quietly"	"grosse_quietly_a"	"quietly_a_broom"	"a_broom_and"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"quietly"	"get"	"a"	"broom"	"and"	"start"	"to"	"sweep"	"up"	"the"	"sugar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
