"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"2:30:00::"	","	"sunday"	"atlanta"	"at"	"atlanta_,"	",_sunday"	"sunday_at"	"of_atlanta_,"	"atlanta_,_sunday"	",_sunday_at"	"sunday_at_her"	"IN"	"NNP"	"ε"	"VB"	"NNP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._lola_m._harris"	"a"	"native"	"atlanta"	"die"	"sunday"	"at"	"her"	"home"	"in"	"garland"	"tex."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"persons"	"in"	"four"	"georgia"	"four_persons"	"persons_in"	"in_georgia"	"∅_four_persons"	"four_persons_in"	"persons_in_georgia"	"in_georgia_weekend"	"ε"	"CD"	"NNS"	"VB"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"persons"	"die"	"in"	"georgia"	"weekend"	"traffic"	"crashes"	"two"	"of"	"them"	"in"	"a"	"fiery"	"crash"	"near"	"snellville"	"the"	"state_patrol"	"say"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"in"	"lawrenceville"	"the"	"lawrenceville_,"	",_in"	"in_the"	"of_lawrenceville_,"	"lawrenceville_,_in"	",_in_the"	"in_the_flaming"	"IN"	"NNP"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bobby_bester_hammett"	"of"	"rte."	"lawrenceville"	"and"	"mrs._lucille_herrington_jones"	"of"	"lawrenceville"	"in"	"the"	"flaming"	"car"	"the"	"patrol"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"will"	"rich"	"i"	"''"	"i_will"	"will_rich"	"rich_''"	"``_i_will"	"i_will_rich"	"will_rich_''"	"rich_''_."	"ε"	"PRP"	"MD"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"die"	"rich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"people"	"of"	"more"	"heart_disease"	"more_people"	"people_of"	"of_heart_disease"	"united_states_more_people"	"more_people_of"	"people_of_heart_disease"	"of_heart_disease_than"	"NN"	"JJR"	"NNS"	"VB"	"IN"	"NN"	"IN"	"been"	"develop"	"of"	"assign"	"weights"	"to"	"statements"	"that_is"	"it"	"is"	"know"	"empirically"	"that"	"names"	"begin"	"with"	"r"	"be"	"more"	"common"	"than"	"those"	"begin"	"with"	"z"	"that"	"fewer"	"women"	"be"	"named"	"miranda"	"than"	"elizabeth"	"in"	"the"	"united_states"	"more"	"people"	"of"	"heart_disease"	"than"	"of"	"smallpox"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"white_men"	"."	"the"	"∅"	"the_white_men"	"white_men_."	"._∅"	"∅_the_white_men"	"the_white_men_."	"white_men_._∅"	"._∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"white_men"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"upon"	","	"the"	",_to"	"to_upon"	"upon_the"	"race_,_to"	",_to_upon"	"to_upon_the"	"upon_the_cross"	"NN"	"ε"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"believe"	"therefore"	"that"	"we"	"be"	"without"	"exception"	"sinners"	"by"	"nature"	"alienate"	"from"	"god"	"and"	"that"	"jesus_christ"	"the"	"son"	"of"	"god"	"come"	"to"	"earth"	"the"	"representative"	"head"	"of"	"new"	"race"	"to"	"die"	"upon"	"the"	"cross"	"and"	"pay"	"the"	"penalty"	"of"	"the"	"sin"	"of"	"the"	"world"	"and"	"that"	"he"	"who"	"thus"	"receive"	"christ"	"as"	"his"	"personal"	"saviour"	"is"	"bear"	"again"	"spiritually"	"with"	"new"	"privileges"	"appetites"	"and"	"affections"	"destine"	"to"	"live"	"and"	"grow"	"in"	"his"	"likeness"	"forever"	
"2:30:00::"	"and"	"to"	"live"	"save"	"live_and"	"and_to"	"to_save"	"to_live_and"	"live_and_to"	"and_to_save"	"to_save_our"	"TO"	"VB"	"CC"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"put"	"a"	"rocket"	"in"	"orbit"	"half"	"so"	"significant"	"as"	"the"	"good"	"that"	"god"	"put"	"his"	"son"	"jesus_christ"	"on"	"earth"	"to"	"live"	"and"	"die"	"to"	"save"	"our"	"hell-bound"	"souls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"she"	"there"	"since"	"on"	"since_she"	"she_there"	"there_on"	"the_matter_since_she"	"since_she_there"	"she_there_on"	"there_on_september"	"JJ"	"IN"	"PRP"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"houston"	"police"	"have"	"the"	"say"	"in"	"the_matter"	"since"	"she"	"die"	"there"	"on"	"september"	"diane_harris_graham"	"d._o._a."	"circumstances"	"unusual"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"she"	"."	"when"	"∅"	"when_she"	"she_."	"._∅"	"her_when_she"	"when_she_."	"she_._∅"	"._∅_∅"	"PRP$"	"WRB"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mcclellan"	"who"	"had"	"once"	"lose"	"his"	"medical"	"license"	"temporarily"	"on"	"charge"	"of"	"drug_addiction"	"be"	"with"	"her"	"when"	"she"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"babies"	"in"	"the"	"the"	"the_babies"	"babies_in"	"in_the"	"of_the_babies"	"the_babies_in"	"babies_in_the"	"in_the_initial"	"IN"	"DT"	"NNS"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"the"	"babies"	"die"	"in"	"the"	"initial"	"transferral"	"but"	"of"	"helva"	"class"	"seventeen"	"thrive"	"in"	"the"	"metal"	"shells"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"mother"	"when"	"and"	"i"	"and_mother"	"mother_when"	"when_i"	"father_and_mother"	"and_mother_when"	"mother_when_i"	"when_i_be"	"NN"	"CC"	"NN"	"VB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"father"	"mother"	"die"	"when"	"i"	"be"	"two"	"years"	"old"	"i"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"masaryk"	"to"	"principles"	"uphold"	"principles_masaryk"	"masaryk_to"	"to_uphold"	"against_principles_masaryk"	"principles_masaryk_to"	"masaryk_to_uphold"	"to_uphold_."	"IN"	"NNS"	"NNP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"douglas"	"has"	"consistently"	"vote"	"to"	"aid"	"the"	"who"	"kill"	"masaryk"	"and"	"against"	"principles"	"masaryk"	"die"	"to"	"uphold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"mother"	"yesterday"	"whose"	"as"	"whose_mother"	"mother_yesterday"	"yesterday_as"	",_whose_mother"	"whose_mother_yesterday"	"mother_yesterday_as"	"yesterday_as_the"	"ε"	"WP$"	"NN"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"sterling_township"	"family"	"of"	"surviving"	"children"	"whose"	"mother"	"die"	"yesterday"	"as"	"the"	"aftermath"	"to"	"a"	"fire"	"that"	"also"	"kill"	"one"	"of"	"the"	"children"	"find"	"today"	"they"	"have"	"the"	"help"	"of"	"hundreds"	"of"	"neighbors"	"and"	"school"	"friends"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"yesterday"	"42"	"afternoon"	"42_,"	",_yesterday"	"yesterday_afternoon"	",_42_,"	"42_,_yesterday"	",_yesterday_afternoon"	"yesterday_afternoon_in"	"ε"	"CD"	"ε"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._eleanor_kowalski"	"yesterday"	"afternoon"	"in"	"holy_cross_hospital"	"of"	"burns"	"suffer"	"in"	"a"	"fire"	"that"	"follow"	"a"	"bottled_gas"	"explosion"	"saturday"	"night"	"at"	"the"	"flat"	"of"	"her"	"widowed"	"mother"	"mrs._mary_pankowski"	"in"	"the"	"adjoin"	"suburb"	"of"	"warren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"of"	","	"burns"	",_who"	"who_of"	"of_burns"	"11_,_who"	",_who_of"	"who_of_burns"	"of_burns_at"	"CD"	"ε"	"WP"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"funeral"	"services"	"for"	"mrs._kowalski"	"and"	"her"	"christine"	"who"	"die"	"of"	"burns"	"at"	"the"	"same"	"hospital"	"monday"	"have"	"been"	"schedule"	"for"	"a."	"m."	"tomorrow"	"in"	"st._anne"	"catholic_church"	"mound"	"in"	"warren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
