"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:35:07::"	"he"	"her"	"∅"	"eye"	"∅_he"	"he_her"	"her_eye"	"∅_∅_he"	"∅_he_her"	"he_her_eye"	"her_eye_,"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"catch"	"her"	"eye"	"come_back"	"around"	"the"	"car"	"with"	"the"	"boot"	"wearer"	"teeter"	"half"	"mincing"	"walk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"him"	"wait"	"out"	"wait_to"	"to_him"	"him_out"	"just_wait_to"	"wait_to_him"	"to_him_out"	"him_out_of"	"RB"	"VB"	"TO"	"VB"	"PRP"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"been"	"lay"	"for"	"person"	"a"	"long_time"	"just"	"wait"	"to"	"catch"	"him"	"out"	"of"	"line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:07::"	"immediately"	"the"	","	"inspector"	",_immediately"	"immediately_the"	"the_inspector"	"1957_,_immediately"	",_immediately_the"	"immediately_the_inspector"	"the_inspector_'s"	"CD"	"ε"	"RB"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"date"	"october"	"immediately"	"the"	"inspector"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"arrival"	"person"	"their"	"and"	"their_arrival"	"arrival_person"	"person_and"	"and_their_arrival"	"their_arrival_person"	"arrival_person_and"	"person_and_person"	"CC"	"PRP$"	"NN"	"VB"	"NNP"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"arrival"	"catch"	"person"	"and"	"person"	"off_guard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"one"	"to"	"only"	"this"	"only_one"	"one_to"	"to_this"	"is_only_one"	"only_one_to"	"one_to_this"	"to_this_idyllic"	"VBZ"	"RB"	"JJ"	"NN"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"only"	"one"	"catch"	"to"	"this"	"idyllic"	"arrangement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"person"	"his"	"∅"	"breath"	"∅_person"	"person_his"	"his_breath"	"∅_∅_person"	"∅_person_his"	"person_his_breath"	"his_breath_in"	"ε"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"catch"	"his"	"breath"	"in"	"surprise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:10::"	"to"	"than"	"important"	"had"	"important_to"	"to_than"	"than_had"	"more_important_to"	"important_to_than"	"to_than_had"	"than_had_i"	"RB"	"JJ"	"TO"	"VB"	"IN"	"VBD"	"PRP"	"on"	"the"	"accelerator"	"only"	"to"	"gradually"	"reach"	"again"	"the"	"mph"	"which"	"would"	"i"	"hope"	"overhaul"	"person"	"and"	"the"	"blonde"	"and"	"as"	"there"	"were"	"car"	"whose"	"driver"	"apparently"	"something"	"more"	"important"	"to"	"than"	"had"	"i"	"person"	"settle_down"	"to"	"practice"	"on"	"person"	"the"	"kittenish"	"wile"	"she"	"would"	"need"	"when"	"make"	"her"	"duty"	"call"	"on"	"colonel"	"and"	"mrs"	"somebody"	"in"	"location"	
"2:31:01::"	"have"	"him"	"to"	"molest"	"to_have"	"have_him"	"him_molest"	"claim_to_have"	"to_have_him"	"have_him_molest"	"him_molest_the"	"VB"	"TO"	"VB"	"VB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"his"	"inner"	"thought"	"cringe"	"at"	"it"	"he"	"force"	"himself"	"to"	"recreate"	"the"	"scene"	"in"	"which"	"person"	"claim"	"to"	"have"	"catch"	"him"	"molest"	"the"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"had"	"him"	"she"	"off_guard"	"she_had"	"had_him"	"him_off_guard"	"∅_she_had"	"she_had_him"	"had_him_off_guard"	"him_off_guard_,"	"ε"	"PRP"	"VBD"	"VB"	"PRP"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"catch"	"him"	"off_guard"	"no"	"preparation"	"nothing"	"certain"	"but"	"that"	"ahead"	"lie"	"some"	"kind"	"of"	"disaster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"get"	"''"	"gonna"	","	"gonna_get"	"get_''"	"''_,"	"'re_gonna_get"	"gonna_get_''"	"get_''_,"	"''_,_she"	"VBP"	"VBG"	"VB"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"gonna"	"catch"	"she"	"hear"	"person"	"say"	"to"	"person"	"by"	"the"	"pump"	"one"	"morning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
