"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:14:01::"	"and"	"do"	"institute"	"a"	"institute_and"	"and_do"	"do_a"	"the_institute_and"	"institute_and_do"	"and_do_a"	"do_a_disservice"	"DT"	"NN"	"CC"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"one"	"the"	"institute"	"and"	"society"	"do"	"a"	"disservice"	"to"	"the"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"preliterate"	"be"	","	"quite"	",_preliterate"	"preliterate_be"	"be_quite"	"simple_,_preliterate"	",_preliterate_be"	"preliterate_be_quite"	"be_quite_definite"	"JJ"	"ε"	"JJ"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"place"	"of"	"religion"	"the"	"simple"	"preliterate"	"society"	"be"	"quite"	"definite"	"as"	"a"	"complex"	"it"	"fit"	"into"	"the"	"whole"	"social_organization"	"and"	"function"	"dominantly"	"in"	"every"	"part"	"of_it"	"0"	"0"	"0"	
"1:14:00::"	"and"	"."	"community"	"∅"	"community_and"	"and_."	"._∅"	"the_community_and"	"community_and_."	"and_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"function"	"of"	"religion"	"within"	"man"	"there"	"have"	"be"	"the"	"outer"	"social"	"function"	"for"	"the"	"community"	"and"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"or"	"is"	"community"	"always"	"community_or"	"or_is"	"is_always"	"a_community_or"	"community_or_is"	"or_is_always"	"is_always_correlated"	"DT"	"NN"	"CC"	"NN"	"VBZ"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"value-system"	"a"	"community"	"or"	"society"	"is"	"always"	"correlated"	"with"	"and"	"to"	"a"	"degree"	"dependent"	"upon"	"a"	"more_or_less"	"shared"	"system"	"of"	"religious_belief"	"and"	"conviction"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	","	"for"	"which"	"for_the"	"the_,"	",_which"	"end_for_the"	"for_the_,"	"the_,_which"	",_which_be"	"NN"	"IN"	"DT"	"NN"	"ε"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"closely"	"related"	"to"	"this"	"function"	"be"	"the"	"fact"	"that"	"religious"	"system"	"provide"	"a"	"body"	"of"	"ultimate"	"end"	"for"	"the"	"society"	"which"	"be"	"compatible"	"with"	"the"	"supreme"	"eternal"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"these"	"can"	"∅"	"expect"	"∅_these"	"these_can"	"can_expect"	"∅_∅_these"	"∅_these_can"	"these_can_expect"	"can_expect_to"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"society"	"can"	"expect"	"to"	"face"	"difficult"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"these"	"to"	"for"	"tackle"	"for_these"	"these_to"	"to_tackle"	"incentive_for_these"	"for_these_to"	"these_to_tackle"	"to_tackle_boldly"	"NN"	"IN"	"DT"	"NN"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"central"	"goal"	"should"	"be"	"provide"	"the"	"greatest"	"incentive"	"for"	"these"	"society"	"to"	"tackle"	"boldly"	"the"	"task"	"which"	"they"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"their"	"."	"democratize"	"∅"	"democratize_their"	"their_."	"._∅"	"of_democratize_their"	"democratize_their_."	"their_._∅"	"._∅_∅"	"IN"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"should"	"press"	"constantly"	"the"	"view"	"that"	"until"	"these"	"government"	"demand"	"efficiency"	"and"	"effectiveness"	"of"	"their"	"bureaucracy"	"there"	"be"	"not"	"the"	"slight"	"hope"	"that"	"they"	"will"	"either"	"modernize"	"of"	"democratize"	"their"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"such"	"should"	"toward"	"stress"	"toward_such"	"such_should"	"should_stress"	"policy_toward_such"	"toward_such_should"	"such_should_stress"	"should_stress_our"	"NN"	"IN"	"JJ"	"NN"	"MD"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"american"	"toward"	"such"	"society"	"should"	"stress"	"our"	"sympathy"	"for"	"the"	"emerge"	"social"	"and"	"professional"	"class"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"each"	"will"	"in"	"take"	"in_each"	"each_will"	"will_take"	"process_in_each"	"in_each_will"	"each_will_take"	"will_take_a"	"NN"	"IN"	"DT"	"NN"	"MD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"have"	"emphasize"	"that"	"modernizing"	"process"	"in"	"each"	"society"	"will"	"take"	"a"	"considerable"	"period_of_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
