"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"2:39:06::"	"helva"	"a_little"	"herself"	"self-pitying"	"herself_helva"	"helva_a_little"	"a_little_self-pitying"	"to_herself_helva"	"herself_helva_a_little"	"helva_a_little_self-pitying"	"a_little_self-pitying_but"	"TO"	"PRP"	"NNP"	"VB"	"RB"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"herself"	"helva"	"sound"	"a_little"	"self-pitying"	"but"	"the"	"truth"	"be"	"she"	"be"	"lonely"	"sit"	"on"	"the"	"darkened"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:06::"	"dad"	"like"	"your"	"a"	"your_dad"	"dad_like"	"like_a"	"``_your_dad"	"your_dad_like"	"dad_like_a"	"like_a_good"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"sound"	"like"	"a"	"good"	"father"	"and"	"a"	"good"	"policeman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"is"	"in"	","	"the"	",_is"	"is_in"	"in_the"	"any_,_is"	",_is_in"	"is_in_the"	"in_the_initial"	"DT"	"ε"	"VBZ"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"one"	"unifying"	"note"	"any"	"is"	"sound"	"in"	"the"	"initial"	"article"	"entitled"	"how"	"to"	"get_through"	"the"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"thunder"	"behind"	","	"him"	",_thunder"	"thunder_behind"	"behind_him"	"farmhouse_,_thunder"	",_thunder_behind"	"thunder_behind_him"	"behind_him_again"	"NN"	"ε"	"NN"	"VB"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"he"	"approach"	"first"	"farmhouse"	"thunder"	"sound"	"behind"	"him"	"again"	"closer"	"now"	"and"	"louder"	"like"	"a"	"steadily"	"advancing"	"drum"	"corps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:06::"	"``"	"exactly"	"∅"	"like"	"∅_``"	"``_exactly"	"exactly_like"	"∅_∅_``"	"∅_``_exactly"	"``_exactly_like"	"exactly_like_last"	"ε"	"ε"	"ε"	"VB"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exactly"	"like"	"last"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"and"	"and"	"fear"	"wet"	"fear_and"	"and_and"	"and_wet"	"with_fear_and"	"fear_and_and"	"and_and_wet"	"and_wet_and"	"IN"	"NN"	"CC"	"NN"	"CC"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beaten"	"fear"	"and"	"sound"	"and"	"wet"	"and"	"chill"	"they"	"crawl"	"to"	"the"	"hurricane_deck"	"and"	"look"	"out"	"haggardly"	"at"	"a"	"world"	"of"	"water"	"that"	"reach"	"clear"	"to"	"the"	"surrounding"	"hills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:reasonable:00"	"of"	"plan"	"number"	"propose"	"number_of"	"of_plan"	"plan_propose"	"a_number_of"	"number_of_plan"	"of_plan_propose"	"plan_propose_."	"JJ"	"NN"	"JJ"	"JJ"	"NN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"have"	"a"	"number"	"of"	"sound"	"plan"	"propose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"of"	","	"speed"	"which"	"speed_of"	"of_,"	",_which"	"the_speed_of"	"speed_of_,"	"of_,_which"	",_which_was"	"DT"	"NN"	"IN"	"NN"	"ε"	"WDT"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"example"	"be"	"the"	"recent"	"cancellation"	"of"	"the"	"f-108"	"a"	"long"	"interceptor"	"with"	"a"	"speed"	"three_times"	"as"	"great"	"as"	"the"	"speed"	"of"	"sound"	"which"	"was"	"design"	"for"	"use"	"against"	"manned"	"bomber"	"in"	"the"	"period"	"of"	"the"	"mid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"with"	"jazz"	"with_the"	"the_of"	"of_jazz"	"grow_up_with_the"	"with_the_of"	"the_of_jazz"	"of_jazz_and"	"VB"	"IN"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"practically"	"with"	"the"	"sound"	"of"	"jazz"	"and"	"the"	"blues"	"in"	"his"	"ear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"would"	"to"	"it"	"a"	"it_would"	"would_to"	"to_a"	",_it_would"	"it_would_to"	"would_to_a"	"to_a_passerby"	"ε"	"PRP"	"MD"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"earlier"	"this"	"woman"	"had"	"be"	"so"	"filled"	"with"	"a"	"chaotic"	"variety"	"of"	"introject"	"at_times"	"when"	"she"	"be"	"in"	"her"	"room"	"alone"	"it"	"would"	"sound"	"to"	"a"	"passerby"	"as"	"though"	"there"	"be"	"several"	"different"	"person"	"in"	"the"	"room"	"as"	"she"	"would"	"vocalize"	"in"	"various"	"kind"	"of"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"rifle"	"."	"a"	"∅"	"a_rifle"	"rifle_."	"._∅"	"of_a_rifle"	"a_rifle_."	"rifle_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"just"	"start"	"swing"	"an"	"ax"	"at"	"second"	"willow"	"when"	"the"	"distant"	"blast"	"of"	"a"	"rifle"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:06::"	"it"	"great"	","	"''"	",_it"	"it_great"	"great_''"	"yes_,_it"	",_it_great"	"it_great_''"	"great_''_,"	"UH"	"ε"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yes"	"sound"	"great"	"i"	"say"	"but"	"suppose"	"you"	"do"	"n't"	"think_of"	"yourself"	"as"	"an"	"impressionist"	"painter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:06::"	"to"	"convinced"	"hypocrisy"	"."	"hypocrisy_to"	"to_convinced"	"convinced_."	"of_hypocrisy_to"	"hypocrisy_to_convinced"	"to_convinced_."	"convinced_._∅"	"IN"	"NN"	"TO"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"my"	"driver"	"suddenly"	"exclaim"	"with"	"something"	"so"	"definite"	"so"	"final"	"in"	"his"	"tone"	"i"	"repeat"	"the"	"absurdity"	"muster"	"all"	"my"	"latent"	"power"	"of"	"hypocrisy"	"to"	"sound"	"convinced"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"again"	"the"	"again_the"	"the_of"	"of_the"	"was_again_the"	"again_the_of"	"the_of_the"	"of_the_fence"	"VBD"	"RB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"as"	"i"	"get"	"to"	"knee"	"there"	"was"	"again"	"the"	"sound"	"of"	"the"	"fence"	"stretch"	"and"	"i"	"have"	"time"	"only"	"to"	"start"	"take"	"my"	"kneeling"	"seriously"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"surrounding"	"."	"of"	"∅"	"of_surrounding"	"surrounding_."	"._∅"	"wave_of_surrounding"	"of_surrounding_."	"surrounding_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tooth"	"again"	"flash"	"back"	"at"	"me"	"the"	"driver"	"release"	"a"	"deluge"	"of"	"spanish"	"in"	"amigo"	"appear"	"every_so_often"	"like"	"an"	"island"	"in"	"the"	"stormy"	"wave"	"of"	"surrounding"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
