"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"2:32:01::"	"would"	"a"	"he"	"special"	"he_would"	"would_a"	"a_special"	"say_he_would"	"he_would_a"	"would_a_special"	"a_special_safety"	"VB"	"PRP"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"patrolman_george_kimmell"	"of"	"mcclellan_station"	"he"	"would"	"recommend"	"a"	"special"	"safety"	"citation"	"for"	"ralph_sisk"	"vernor"	"east"	"a"	"third"	"grader"	"at"	"the"	"scripps_school"	"for"	"his"	"assistance"	"in"	"the"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"had"	"roger_i._vermeersch"	"supt._clarence_s._taylor"	"for"	"supt._clarence_s._taylor_had"	"had_roger_i._vermeersch"	"roger_i._vermeersch_for"	"∅_supt._clarence_s._taylor_had"	"supt._clarence_s._taylor_had_roger_i._vermeersch"	"had_roger_i._vermeersch_for"	"roger_i._vermeersch_for_the"	"ε"	"NNP"	"VBD"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"recommend"	"roger_i._vermeersch"	"for"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"``"	"1959"	"consolidate"	"1959_,"	",_``"	"``_consolidate"	"in_1959_,"	"1959_,_``"	",_``_consolidate"	"``_consolidate_and"	"IN"	"CD"	"ε"	"VB"	"ε"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"institute"	"of"	"public_administration"	"in"	"its"	"to"	"the"	"state_fiscal_study_commission"	"in"	"recommend"	"consolidate"	"and"	"centralize"	"all"	"aspects"	"of"	"property_tax"	"administration"	"in"	"a"	"single"	"state"	"agency"	"professionally"	"organized"	"and"	"equipped"	"for"	"the"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"are"	"because"	"block"	"hollow"	"block_are"	"are_because"	"because_hollow"	"solid_block_are"	"block_are_because"	"are_because_hollow"	"because_hollow_block"	"JJ"	"NN"	"VBP"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"solid"	"are"	"recommend"	"because"	"hollow"	"block"	"would"	"have_to"	"be"	"fill"	"with"	"concrete"	"to"	"give"	"effective"	"protection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"are"	"in"	"improvement"	"working"	"improvement_are"	"are_in"	"in_working"	"when_improvement_are"	"improvement_are_in"	"are_in_working"	"in_working_condition"	"WRB"	"NN"	"VBP"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"are"	"recommend"	"in"	"working"	"condition"	"such_as"	"lighting"	"restroom"	"eating"	"facility"	"air-conditioning"	"do"	"you"	"try"	"to"	"set"	"a"	"measure"	"of"	"their"	"effectiveness"	"on"	"productivity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"∅"	"to"	"∅"	"the"	"∅_∅"	"∅_to"	"to_the"	"∅_∅_∅"	"∅_∅_to"	"∅_to_the"	"to_the_congress"	"ε"	"ε"	"ε"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"congress"	"from_time_to_time"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"great"	"promise"	"of"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"by"	"a"	"report"	"on"	"the"	"size"	"location"	"and"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"detail"	"with_respect_thereto"	"0"	
"2:32:01::"	"i"	"immediate"	","	"repeal"	",_i"	"i_immediate"	"immediate_repeal"	"1960_,_i"	",_i_immediate"	"i_immediate_repeal"	"immediate_repeal_of"	"CD"	"ε"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"budget"	"message"	"for"	"and"	"for"	"i"	"recommend"	"immediate"	"repeal"	"of"	"section"	"of"	"the"	"act"	"of"	"september"	"stat."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"1961"	"in"	"for"	"this"	"for_1961"	"1961_in"	"in_this"	"authority_for_1961"	"for_1961_in"	"1961_in_this"	"in_this_budget"	"NN"	"IN"	"CD"	"VB"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new"	"obligational"	"for"	"recommend"	"in"	"this"	"budget"	"for"	"aircraft"	"procurement"	"exclude"	"amount"	"for"	"related"	"research"	"and"	"construction"	"total"	"million"	"which"	"be"	"million"	"below"	"that"	"enact"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"am"	"additional"	"i"	"acquisition"	"i_am"	"am_additional"	"additional_acquisition"	"∅_i_am"	"i_am_additional"	"am_additional_acquisition"	"additional_acquisition_of"	"ε"	"PRP"	"VBP"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"am"	"recommend"	"additional"	"acquisition"	"of"	"the"	"improved"	"version"	"of"	"the"	"b-52"	"the"	"b-52_h"	"with"	"the"	"new"	"turbofan_engine"	"and"	"procurement"	"of"	"the"	"b-58"	"supersonic"	"medium"	"bomber"	"together"	"with"	"the"	"support"	"refueling"	"tanker"	"in"	"each"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"had"	"person"	"man"	"to"	"man_had"	"had_person"	"person_to"	"insurance_man_had"	"man_had_person"	"had_person_to"	"person_to_person"	"NN"	"NN"	"VBD"	"VB"	"NNP"	"TO"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"that"	"he"	"had"	"already"	"tell"	"the"	"that"	"he"	"did"	"n't"	"know"	"what"	"insurance"	"man"	"had"	"recommend"	"person"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"not"	"for"	"is"	"lactating"	"is_not"	"not_for"	"for_lactating"	"administration_is_not"	"is_not_for"	"not_for_lactating"	"for_lactating_cows"	"NN"	"VBZ"	"RB"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"continuous"	"is"	"not"	"recommend"	"for"	"lactating"	"cows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"enough"	"frequent"	"enough_to"	"to_the"	"the_frequent"	"be_enough_to"	"enough_to_the"	"to_the_frequent"	"the_frequent_use"	"VB"	"JJ"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"taste"	"and"	"versatility"	"plus"	"safety"	"spray"	"poison"	"would"	"be"	"enough"	"to"	"recommend"	"the"	"frequent"	"use"	"of"	"such"	"a"	"fruit"	"even"	"if"	"its"	"nutritional"	"value"	"be"	"limited"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"is"	"."	"chinning_bar"	"∅"	"chinning_bar_is"	"is_."	"._∅"	"a_chinning_bar_is"	"chinning_bar_is_."	"is_._∅"	"._∅_∅"	"DT"	"NN"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"arm"	"and"	"strength"	"a"	"chinning_bar"	"is"	"recommend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
