"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:08:00::"	"for"	"and"	"∅"	"shoulder"	"∅_for"	"for_and"	"and_shoulder"	"∅_∅_for"	"∅_for_and"	"for_and_shoulder"	"and_shoulder_strength"	"ε"	"ε"	"IN"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arm"	"and"	"shoulder"	"strength"	"a"	"chinning_bar"	"is"	"recommend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"∅"	","	"∅"	"shoulder"	"∅_∅"	"∅_,"	",_shoulder"	"∅_∅_∅"	"∅_∅_,"	"∅_,_shoulder"	",_shoulder_,"	"ε"	"ε"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shoulder"	"chest"	"upper"	"and"	"low"	"back"	"strength"	"will"	"be"	"aid"	"with"	"the"	"horse_kick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"after"	","	"come"	"chest"	"come_after"	"after_,"	",_chest"	"handstand_come_after"	"come_after_,"	"after_,_chest"	",_chest_and"	"NN"	"VB"	"VB"	"NN"	"ε"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"handstand"	"after"	"arm"	"chest"	"and"	"shoulder"	"have"	"develop"	"at_least"	"a"	"minimum"	"of"	"strength"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"and"	"raise"	"declaim"	"raise_his"	"his_and"	"and_declaim"	"he_raise_his"	"raise_his_and"	"his_and_declaim"	"and_declaim_:"	"PRP"	"VB"	"PRP$"	"NN"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"person"	"how"	"often"	"had"	"he"	"had_to"	"play"	"that"	"part"	"who"	"did"	"believe"	"a"	"word"	"of"	"it"	"he"	"raise"	"his"	"arm"	"and"	"declaim"	"where"	"be"	"my"	"honour"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"raise"	"have"	"towards"	"have_his"	"his_raise"	"raise_towards"	"still_have_his"	"have_his_raise"	"his_raise_towards"	"raise_towards_the"	"RB"	"VB"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"have"	"his"	"arm"	"raise"	"towards"	"the"	"wing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"lower"	"∅"	"lower_his"	"his_."	"._∅"	"at_last_lower_his"	"lower_his_."	"his_._∅"	"._∅_∅"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"not"	"shift"	"he"	"at_last"	"lower"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"strong"	"at"	"a"	"third_base"	"a_strong"	"strong_at"	"at_third_base"	"show_a_strong"	"a_strong_at"	"strong_at_third_base"	"at_third_base_."	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"make"	"a"	"spectacular"	"play"	"on"	"person"	"grounder"	"in"	"the"	"hole"	"in"	"fourth"	"and"	"person"	"come_up"	"with"	"some"	"good"	"stop"	"and"	"show"	"a"	"strong"	"arm"	"at"	"third_base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"my"	"and"	"take"	"get"	"take_my"	"my_and"	"and_get"	"'d_take_my"	"take_my_and"	"my_and_get"	"and_get_me"	"MD"	"VB"	"PRP$"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"that"	"take"	"my"	"arm"	"and"	"get"	"me"	"right"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"of"	"∅"	"of_his"	"his_."	"._∅"	"length_of_his"	"of_his_."	"his_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"he"	"was"	"be"	"queer"	"and"	"careful"	"paw"	"about"	"in"	"the"	"drawer"	"hold"	"the"	"bottle"	"like"	"a"	"snake"	"at"	"the"	"length"	"of"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"pat"	"∅"	"pat_his"	"his_."	"._∅"	"person_pat_his"	"pat_his_."	"his_._∅"	"._∅_∅"	"NNP"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"the"	","	"by"	"whisper"	"by_the"	"the_,"	",_whisper"	"him_by_the"	"by_the_,"	"the_,_whisper"	",_whisper_,"	"PRP"	"IN"	"DT"	"NN"	"ε"	"VB"	"ε"	"when"	"he"	"attend"	"a"	"war"	"memorial"	"ceremony"	"in"	"group"	"his"	"view"	"was"	"obstruct"	"by"	"a"	"stout"	"man"	"on"	"his"	"left"	"his"	"attention"	"turn"	"to"	"the"	"irregular"	"pattern"	"of"	"the"	"rough"	"slab"	"flooring"	"and"	"someone"	"clasp"	"him"	"the"	"whisper"	"i"	"want"	"a"	"word"	"with"	"you"	"please"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"her"	"around"	"put"	"his"	"put_her"	"her_around"	"around_his"	"and_put_her"	"put_her_around"	"her_around_his"	"around_his_neck"	"CC"	"VB"	"PRP$"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"turn"	"put"	"her"	"arm"	"around"	"his"	"neck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"around"	"put"	"her"	"put_his"	"his_around"	"around_her"	"and_put_his"	"put_his_around"	"his_around_her"	"around_her_waist"	"CC"	"VB"	"PRP$"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_spite"	"of"	"the"	"hundred"	"thing"	"he"	"have"	"his"	"mind"	"person"	"went"	"and"	"put"	"his"	"arm"	"around"	"her"	"waist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"bent"	"."	"with"	"∅"	"with_bent"	"bent_."	"._∅"	"moon_bench_lateral_raise_with_bent"	"with_bent_."	"bent_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"third"	"push-pull_super-set"	"the"	"push"	"exercise"	"be"	"the"	"wide"	"grip"	"pushup_between_bars"	"the"	"pull"	"exercise"	"be"	"the"	"moon_bench_lateral_raise"	"with"	"bent"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"an"	"about"	"slip"	"his"	"slip_an"	"an_about"	"about_his"	",_slip_an"	"slip_an_about"	"an_about_his"	"about_his_shoulder"	"ε"	"VB"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"light"	"supper"	"over"	"person"	"go"	"him"	"and"	"slip"	"an"	"arm"	"about"	"his"	"shoulder"	"sit"	"on"	"his"	"knee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:02::"	"chair"	"and"	"the"	"bring"	"the_chair"	"chair_and"	"and_bring"	"grasp_the_chair"	"the_chair_and"	"chair_and_bring"	"and_bring_her"	"VB"	"DT"	"NN"	"NN"	"CC"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"the"	"chair"	"arm"	"and"	"bring"	"her"	"thin"	"body"	"upright"	"like"	"a"	"bird"	"alert"	"for"	"flight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
