"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"4:02:04::"	"trip"	"-"	"painting"	"person"	"painting_trip"	"trip_-"	"-_person"	"on_painting_trip"	"painting_trip_-"	"trip_-_person"	"-_person_develop"	"VB"	"NN"	"NN"	"RB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"except"	"for"	"a"	"rich"	"friendship"	"with"	"the"	"painter"	"person"	"who"	"give"	"him"	"the"	"only"	"professional"	"instruction"	"he"	"ever"	"have"	"and"	"this"	"was"	"limit"	"to"	"lesson"	"though"	"the"	"two"	"artist"	"often"	"go"	"on"	"painting"	"trip"	"together"	"person"	"develop"	"his"	"art"	"by"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"stick"	"in"	"it"	"thatch"	"it_stick"	"stick_in"	"in_thatch"	",_it_stick"	"it_stick_in"	"stick_in_thatch"	"in_thatch_so"	"ε"	"PRP"	"VB"	"RB"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lieutenant"	"sparse"	"brown"	"hair"	"be"	"heavily"	"pomaded"	"and"	"as"	"rake"	"the"	"comb"	"through"	"it"	"it"	"stick"	"together"	"in"	"thatch"	"so"	"that"	"it"	"look_like"	"umbrella"	"rib"	"cling"	"to"	"his"	"pink"	"skull"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"relate"	"in"	"are"	"an"	"are_relate"	"relate_in"	"in_an"	"which_are_relate"	"are_relate_in"	"relate_in_an"	"in_an_extremely"	"WDT"	"VB"	"VB"	"RB"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"there"	"is"	"no"	"question"	"but"	"that"	"the"	"process"	"washing"	"fabric"	"involve"	"a"	"number"	"of"	"phenomenon"	"which"	"are"	"relate"	"together"	"in"	"an"	"extremely"	"complicated"	"way"	"and"	"that"	"these"	"phenomenon"	"and"	"their"	"interrelation"	"are"	"not"	"well"	"understand"	"at"	"the"	"present"	"this"	"section"	"attempt"	"to"	"present"	"briefly"	"an"	"up-to-date"	"picture"	"of"	"the"	"physical_chemistry"	"of"	"washing"	"either"	"fabric"	"or"	"hard"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:unneurotic:00"	"appear"	"for"	"will"	"each"	"will_appear"	"appear_for"	"for_each"	"girl_will_appear"	"will_appear_for"	"appear_for_each"	"for_each_growth"	"NN"	"MD"	"VB"	"JJ"	"IN"	"JJ"	"NN"	"attempt"	"to"	"simplify"	"the"	"extensive"	"task"	"of"	"analyze"	"onset"	"age"	"and"	"completion"	"age"	"of"	"each"	"child"	"more_than"	"value"	"for"	"the"	"entire"	"group"	"by"	"construct"	"figure"	"for"	"each"	"of"	"the"	"center"	"so"	"that"	"the"	"data"	"for"	"all"	"boy"	"and"	"of"	"the"	"girl"	"will"	"appear"	"for"	"each"	"growth"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"multiply"	"the"	"by"	"probability"	"by_multiply"	"multiply_the"	"the_probability"	"compute_by_multiply"	"by_multiply_the"	"multiply_the_probability"	"the_probability_of"	"VB"	"IN"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strictly_speaking"	"this"	"mean"	"that"	"the"	"probability"	"for"	"each"	"of"	"the"	"experiment"	"can"	"be"	"compute"	"by"	"multiply"	"together"	"the"	"probability"	"of"	"the"	"outcome"	"of"	"the"	"single"	"binomial"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:10::"	"go"	"either"	"to"	"to"	"to_go"	"go_either"	"either_to"	"plan_to_go"	"to_go_either"	"go_either_to"	"either_to_the"	"VB"	"TO"	"VB"	"RB"	"DT"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"family"	"of"	"plan"	"to"	"go"	"together"	"either"	"to"	"the"	"beach"	"or"	"to"	"the"	"mountain"	"and"	"a"	"coin"	"is"	"toss"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"song"	"''"	"such"	","	"such_song"	"song_''"	"''_,"	"a_few_such_song"	"such_song_''"	"song_''_,"	"''_,_they"	"JJ"	"JJ"	"NN"	"RB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put"	"a_few"	"song"	"together"	"they"	"urge"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"sing"	"?"	","	"∅"	",_sing"	"sing_?"	"?_∅"	"faraway_,_sing"	",_sing_?"	"sing_?_∅"	"?_∅_∅"	"JJ"	"ε"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"had"	"that"	"man"	"that"	"young"	"jew"	"feel"	"as"	"he"	"stand"	"the"	"twilight"	"and"	"hear"	"man"	"faraway"	"sing"	"together"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"herd"	"for"	"had"	"protection"	"had_herd"	"herd_for"	"for_protection"	"they_had_herd"	"had_herd_for"	"herd_for_protection"	"for_protection_:"	"PRP"	"VBD"	"VB"	"RB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"amazing"	"they"	"had"	"herd"	"together"	"for"	"protection"	"an"	"enormous"	"matriarch"	"in"	"a"	"quilted"	"silk"	"wrapper"	"rise"	"from"	"the"	"breakfast_table"	"a"	"gross"	"boy"	"in"	"his"	"teens"	"shuffle"	"in"	"from"	"the"	"kitchen"	"with"	"a"	"sandwich"	"in"	"his"	"hand"	"a"	"girl"	"in"	"her"	"twenties"	"fat"	"and"	"sullen"	"descend"	"the"	"marble"	"staircase"	"then"	"all"	"four"	"gather"	"on"	"the"	"sofa"	"to"	"face"	"the"	"inquisitor"	
"4:02:10::"	"come"	"again"	"had"	"."	"had_come"	"come_again"	"again_."	"we_had_come"	"had_come_again"	"come_again_."	"again_._∅"	"PRP"	"VBD"	"VB"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"take_out"	"person"	"and"	"me"	"out"	"to"	"dinner"	"at"	"a"	"swell"	"steakhouse"	"and"	"us"	"with"	"tears"	"in"	"his"	"eye"	"how"	"happy"	"he"	"be"	"we"	"had"	"come"	"together"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:10::"	"live"	"six"	"been"	"week"	"been_live"	"live_six"	"six_week"	"'d_been_live"	"been_live_six"	"live_six_week"	"six_week_."	"MD"	"VBN"	"VB"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"first"	"thought"	"be"	"how"	"had"	"it"	"happen"	"so"	"soon"	"but"	"count"	"back"	"on"	"my"	"finger"	"and"	"sure_enough"	"we"	"been"	"live"	"together"	"six"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"act"	"in"	"farmer"	"process"	"farmer_act"	"act_in"	"in_process"	"which_farmer_act"	"farmer_act_in"	"act_in_process"	"in_process_and"	"RB"	"NN"	"VB"	"RB"	"IN"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"be"	"eligible"	"to"	"borrow"	"from"	"a"	"group"	"a"	"must"	"be"	"an"	"association"	"in"	"which"	"farmer"	"act"	"together"	"in"	"process"	"and"	"market"	"farm"	"product"	"purchase"	"farm"	"supply"	"or"	"furnish"	"farm"	"business"	"services"	"and"	"must"	"meet"	"the"	"requirement"	"set_forth"	"in"	"the"	"farm_credit_act_of_1933"	"as"	"amend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:10::"	"live"	"as"	"not"	"man_and_wife"	"not_live"	"live_as"	"as_man_and_wife"	"has_not_live"	"not_live_as"	"live_as_man_and_wife"	"as_man_and_wife_for"	"VBZ"	"RB"	"VB"	"RB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"petition"	"say"	"that"	"couple"	"has"	"not"	"live"	"together"	"as"	"man_and_wife"	"for"	"more"	"than"	"a"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
