"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"
"2:36:00::"	"rarely"	"-"	"is"	"and"	"is_rarely"	"rarely_-"	"-_and"	"which_is_rarely"	"is_rarely_-"	"rarely_-_and"	"-_and_seventh"	"WDT"	"VBZ"	"RB"	"VB"	"ε"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"add"	"that"	"he"	"also"	"stress"	"the"	"works"	"of"	"these"	"favorite"	"masters"	"on_tour"	"especially"	"mahler"	"first"	"fourth"	"symphonies"	"and"	"das_lied_von_der_erde"	"and"	"bruckner"	"sixth"	"which"	"is"	"rarely"	"play"	"and"	"seventh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	","	"pinochle"	"inside"	","	"inside_,"	",_pinochle"	"pinochle_,"	"on_duty_inside_,"	"inside_,_pinochle"	",_pinochle_,"	"pinochle_,_relaxed"	"JJ"	"RB"	"ε"	"VB"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"men"	"on_duty"	"inside"	"play"	"pinochle"	"relaxed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:06::"	"to"	"space_ship"	"want"	"."	"want_to"	"to_space_ship"	"space_ship_."	"do_want_to"	"want_to_space_ship"	"to_space_ship_."	"space_ship_._∅"	"VBP"	"VB"	"VB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"never"	"let"	"anyone"	"not"	"in"	"the"	"know"	"take_turns"	"a"	"turn"	"the"	"valves"	"even"	"if"	"the"	"little"	"boys"	"do"	"want"	"to"	"play"	"space_ship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"first"	"with"	"he"	"a"	"he_first"	"first_with"	"with_a"	"when_he_first"	"he_first_with"	"first_with_a"	"with_a_new"	"WRB"	"PRP"	"JJ"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"mother"	"of"	"an"	"autistic"	"child"	"who"	"be"	"lacking"	"in"	"interest"	"and"	"enthusiasm"	"about"	"anything"	"i"	"have"	"to"	"manipulate"	"my"	"son"	"fingers"	"for"	"him"	"when"	"he"	"first"	"play"	"with"	"a"	"new"	"toy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:12::"	"sanctions"	"a"	"as"	"part"	"as_sanctions"	"sanctions_a"	"a_part"	"insofar_as_sanctions"	"as_sanctions_a"	"sanctions_a_part"	"a_part_in"	"RB"	"IN"	"NNS"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"process"	"of"	"social_control"	"operative"	"insofar"	"as"	"sanctions"	"play"	"a"	"part"	"in"	"the"	"individual"	"behavior"	"as_well"	"as"	"the"	"group"	"behavior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:12::"	"musician"	"beethoven"	"any"	"here"	"any_musician"	"musician_beethoven"	"beethoven_here"	"∅_any_musician"	"any_musician_beethoven"	"musician_beethoven_here"	"beethoven_here_,"	"ε"	"DT"	"NN"	"VB"	"NNP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"musician"	"play"	"beethoven"	"here"	"where"	"beethoven"	"be_born"	"be"	"likely"	"to"	"examine"	"his"	"own"	"interpretations"	"with"	"special"	"care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"were"	"with"	","	"similar"	",_were"	"were_with"	"with_similar"	"111_,_were"	",_were_with"	"were_with_similar"	"with_similar_insight"	"CD"	"ε"	"VBD"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"late"	"sonatas"	"op."	"were"	"play"	"with"	"similar"	"insight"	"the"	"disarming"	"simplicities"	"of"	"the"	"op."	"adagio"	"make"	"plain"	"without"	"ever"	"become"	"obvious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:12::"	","	"with"	"hans_richter-haaser"	"compensatory"	"hans_richter-haaser_,"	",_with"	"with_compensatory"	",_hans_richter-haaser_,"	"hans_richter-haaser_,_with"	",_with_compensatory"	"with_compensatory_ease"	"ε"	"NNP"	"ε"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concerto"	"soloist"	"play"	"with"	"compensatory"	"ease"	"and"	"economy"	"though"	"without"	"the"	"consummate"	"plasticity"	"to_which"	"we"	"had"	"been"	"treat"	"on"	"the"	"previous"	"evening"	"by"	"herr_riefling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:12::"	"was"	"in"	"-"	"carnegie_recital_hall"	"-_was"	"was_in"	"in_carnegie_recital_hall"	"it_-_was"	"-_was_in"	"was_in_carnegie_recital_hall"	"in_carnegie_recital_hall_on"	"PRP"	"ε"	"VBD"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rococo"	"music"	"a_lot_of"	"was"	"play"	"in"	"carnegie_recital_hall"	"on"	"saturday"	"night"	"in"	"the"	"first"	"of"	"four"	"concerts"	"being"	"sponsor"	"this"	"season"	"by"	"a"	"new"	"organization"	"known_as"	"globe_concert_arts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"biddies"	"by"	"old"	"grace_carney"	"old_biddies"	"biddies_by"	"by_grace_carney"	"of_old_biddies"	"old_biddies_by"	"biddies_by_grace_carney"	"by_grace_carney_and"	"IN"	"JJ"	"NNS"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"there"	"be"	"pair"	"of"	"old"	"biddies"	"play"	"by"	"grace_carney"	"and"	"sibly_bowan"	"who"	"may"	"be"	"right"	"off"	"the"	"shelf"	"of"	"stock"	"irish"	"characters"	"but"	"they"	"put"	"such"	"a"	"combination"	"of"	"good_will"	"and"	"malevolence"	"into"	"their"	"parts"	"that"	"they"	"be"	"quite"	"entertaining"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"jean_meyer"	"a"	","	"sympathetic"	",_jean_meyer"	"jean_meyer_a"	"a_sympathetic"	"year_,_jean_meyer"	",_jean_meyer_a"	"jean_meyer_a_sympathetic"	"a_sympathetic_arnolphe"	"NN"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"accordingly"	"at"	"the"	"comedie"	"year"	"jean_meyer"	"play"	"a"	"sympathetic"	"arnolphe"	"and"	"draw"	"criticism"	"for"	"turn"	"the"	"comedy"	"into"	"a"	"tragedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"formerly"	"the"	"who"	"deluded"	"who_formerly"	"formerly_the"	"the_deluded"	",_who_formerly"	"who_formerly_the"	"formerly_the_deluded"	"the_deluded_benefactor"	"ε"	"WP"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"louis_seigner"	"formerly"	"play"	"the"	"deluded"	"benefactor"	"opposite"	"ledoux"	"be"	"the"	"tartuffe"	"of"	"the"	"present"	"production"	"which"	"he"	"himself"	"direct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"they"	":"	"∅"	"``"	"∅_they"	"they_:"	":_``"	"∅_∅_they"	"∅_they_:"	"they_:_``"	":_``_minor_swing"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"play"	"minor_swing"	"honeysuckle_rose"	"beyond_the_sea"	"bricktop"	"heavy"	"artillery"	"djangology"	"after"	"you"	"go"	"where"	"be"	"you"	"my"	"love"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"concert"	"on"	"'s"	"the"	"'s_concert"	"concert_on"	"on_the"	"people_'s_concert"	"'s_concert_on"	"concert_on_the"	"on_the_white_house"	"NNS"	"POS"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"could"	"n't"	"stay_away_from"	"his"	"desk"	"for"	"minute"	"young"	"people"	"concert"	"play"	"on"	"the"	"white_house"	"lawn"	"yesterday"	"by"	"the"	"piece"	"transylvania"	"symphony_orchestra"	"from"	"brevard"	"n._c."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
