"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"4:02:02::"	"demand"	"exceed"	"their"	"supply"	"their_demand"	"demand_exceed"	"exceed_supply"	"for_their_demand"	"their_demand_exceed"	"demand_exceed_supply"	"exceed_supply_."	"IN"	"PRP$"	"NN"	"RB"	"VB"	"NN"	"ε"	"danger"	"however"	"we"	"are"	"inform"	"on"	"every"	"hand"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"they"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"most"	"valuable"	"of"	"commodity"	"and"	"most"	"salable"	"for"	"their"	"demand"	"far"	"supply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"stand_out"	"out"	"easily"	"above"	"easily_stand_out"	"stand_out_out"	"out_above"	"person_easily_stand_out"	"easily_stand_out_out"	"stand_out_out_above"	"out_above_the"	"NNP"	"RB"	"VB"	"RB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"the"	"negro"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"say"	"of"	"it"	"of"	"all"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"words"	"and"	"music"	"these"	"six"	"song"	"by"	"and"	"person"	"easily"	"stand_out"	"far"	"out"	"above"	"the"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"as"	"as"	"originate"	"400"	"originate_as"	"as_as"	"as_400"	"earthquake_originate_as"	"originate_as_as"	"as_as_400"	"as_400_mile"	"NN"	"VB"	"RB"	"RB"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"earthquake"	"as"	"far"	"as"	"mile"	"below"	"the"	"surface"	"but"	"they"	"do"	"not"	"occur"	"at"	"greater"	"depth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"busy"	"of"	"and"	"of_be"	"be_busy"	"busy_and"	"appearance_of_be"	"of_be_busy"	"be_busy_and"	"busy_and_more"	"NN"	"IN"	"VB"	"RB"	"JJ"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"no"	"larger"	"than"	"location"	"this"	"mining"	"town"	"have"	"the"	"appearance"	"of"	"be"	"far"	"busy"	"and"	"more"	"prosperous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"a_little"	"along"	","	"the"	",_a_little"	"a_little_along"	"along_the"	"location_,_a_little"	",_a_little_along"	"a_little_along_the"	"along_the_opposite"	"NNP"	"ε"	"RB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"ride"	"to"	"location"	"a_little"	"far"	"along"	"the"	"opposite"	"side"	"of"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"outside"	"which"	"the"	"which_be"	"be_outside"	"outside_the"	"scene_which_be"	"which_be_outside"	"be_outside_the"	"outside_the_dark"	"NN"	"WDT"	"VB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"start"	"back"	"for"	"the"	"house"	"see"	"a"	"light"	"in"	"the"	"office"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"little"	"scene"	"which"	"be"	"far"	"outside"	"the"	"dark"	"realm"	"of"	"murder"	"or"	"attempted"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"to_the_north"	"gap"	"."	"gap_,"	",_to_the_north"	"to_the_north_."	"unexplored_gap_,"	"gap_,_to_the_north"	",_to_the_north_."	"to_the_north_._∅"	"JJ"	"NN"	"ε"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"remain"	"one"	"unexplored"	"gap"	"far"	"to_the_north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"in"	"close"	","	"sympathy"	",_in"	"in_close"	"close_sympathy"	"it_,_in"	",_in_close"	"in_close_sympathy"	"close_sympathy_with"	"PRP"	"ε"	"RB"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"late"	"person"	"a"	"philosopher"	"whose"	"work"	"has"	"prove"	"helpful"	"to"	"many"	"student"	"of"	"literature"	"once"	"write"	"we"	"be"	"all"	"though"	"us"	"be"	"snobbish"	"enough"	"to"	"wish"	"to"	"deny"	"it"	"in"	"far"	"close"	"sympathy"	"with"	"the"	"art"	"of"	"the"	"music_hall"	"and"	"picture_palace"	"than"	"with"	"person"	"and"	"person"	"or"	"even"	"shakespeare"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"as"	"as"	","	"i"	",_as"	"as_as"	"as_i"	"either_,_as"	",_as_as"	"as_as_i"	"as_i_know"	"DT"	"ε"	"RB"	"RB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"say"	"that"	"it"	"did"	"n't"	"any"	"difference"	"to"	"me"	"either"	"as"	"far"	"as"	"i"	"know"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"how"	"i"	"∅"	"know"	"∅_how"	"how_i"	"i_know"	"∅_∅_how"	"∅_how_i"	"how_i_know"	"i_know_will"	"ε"	"ε"	"WRB"	"RB"	"PRP"	"VB"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"far"	"i"	"know"	"will"	"shortly"	"become"	"apparent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"hill"	"on"	"."	"on_a"	"a_hill"	"hill_."	"shape_on_a"	"on_a_hill"	"a_hill_."	"hill_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"car"	"was"	"come"	"a"	"dark"	"shape"	"on"	"a"	"far"	"hill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:right:00"	"'s"	"windshield"	"car"	"panel"	"car_'s"	"'s_windshield"	"windshield_panel"	"the_car_'s"	"car_'s_windshield"	"'s_windshield_panel"	"windshield_panel_turn_into"	"DT"	"NN"	"POS"	"JJ"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"a"	"blur"	"just"	"under"	"my"	"focus"	"vision"	"a"	"crash"	"the"	"car"	"far"	"windshield"	"panel"	"turn_into"	"a"	"silver"	"web"	"with"	"a"	"dark"	"hole"	"in_the"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"("	"along"	"office"	"and"	"office_("	"(_along"	"along_and"	"'s_office_("	"office_(_along"	"(_along_and"	"along_and_to"	"POS"	"NN"	"ε"	"RB"	"RB"	"CC"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"safe"	"at"	"group"	"stand"	"next"	"to"	"the"	"gum"	"machine"	"in"	"a"	"narrow"	"passageway"	"that"	"to"	"person"	"office"	"to"	"the"	"left"	"the"	"lieutenant"	"office"	"far"	"along"	"and"	"to"	"the"	"left"	"and"	"the"	"janitor"	"supply_closet"	"straight"	"ahead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"as"	"as"	"get"	"the"	"get_as"	"as_as"	"as_the"	"he_get_as"	"get_as_as"	"as_as_the"	"as_the_hall"	"PRP"	"VB"	"RB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"son"	"watch"	"he"	"get"	"as"	"far"	"as"	"the"	"hall"	"almost"	"out_of_sight"	"then"	"hurry"	"after"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
