"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"1:28:01::"	"6th"	"after"	"the"	"the"	"the_6th"	"6th_after"	"after_the"	"of_the_6th"	"the_6th_after"	"6th_after_the"	"after_the_close"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"be"	"a"	"nonresident"	"alien"	"and"	"a"	"resident"	"of"	"puerto_rico"	"your"	"return"	"be_due"	"due"	"june"	"or"	"the"	"day"	"of"	"the"	"month"	"after"	"the"	"close"	"of"	"your"	"fiscal_year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"4th"	"follow"	"the"	"the"	"the_4th"	"4th_follow"	"follow_the"	"of_the_4th"	"the_4th_follow"	"4th_follow_the"	"follow_the_close"	"IN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"taxpayer"	"die"	"the"	"executor"	"administrator"	"or"	"legal"	"representative"	"must"	"file"	"the"	"final"	"for"	"the"	"decedent"	"on"	"or"	"before"	"the"	"day"	"of"	"the"	"month"	"follow"	"the"	"close"	"of"	"the"	"deceased"	"taxpayer"	"normal"	"tax"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"4th"	"after"	"the"	"the"	"the_4th"	"4th_after"	"after_the"	"of_the_4th"	"the_4th_after"	"4th_after_the"	"after_the_close"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"of"	"estate"	"or"	"trust"	"be_due"	"on"	"before"	"the"	"day"	"of"	"the"	"month"	"after"	"the"	"close"	"of"	"the"	"tax"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"many"	"infuriate"	"for"	"not_only"	"for_many"	"many_infuriate"	"infuriate_not_only"	",_for_many"	"for_many_infuriate"	"many_infuriate_not_only"	"infuriate_not_only_me"	"ε"	"IN"	"JJ"	"NN"	"VB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"patient"	"a"	"paranoid"	"for"	"many"	"month"	"infuriate"	"not_only"	"me"	"but"	"the"	"ward"	"personnel"	"and"	"her"	"fellow"	"patient"	"by"	"arrogantly"	"behave"	"as"	"though"	"she"	"own"	"the"	"whole"	"building"	"as"	"though"	"she"	"be"	"the"	"only"	"person"	"in"	"it"	"whose"	"need"	"be"	"to"	"be"	"meet"	
"1:28:01::"	"the"	"of"	"over"	"therapy"	"over_the"	"the_of"	"of_therapy"	"itself_over_the"	"over_the_of"	"the_of_therapy"	"of_therapy_as"	"PRP"	"IN"	"DT"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"find"	"for_example"	"that"	"a"	"terse"	"and"	"stereotyped"	"verbal"	"expression"	"seem"	"at_first"	"be"	"a"	"mere"	"hollow"	"convention"	"reveal"	"itself"	"over"	"the"	"month"	"of"	"therapy"	"as"	"the"	"vehicle"	"for"	"express"	"the"	"most"	"varied"	"and"	"intense"	"feeling"	"and"	"the"	"most"	"unconventional"	"of"	"meaning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"seventeen"	"later"	"∅"	","	"∅_seventeen"	"seventeen_later"	"later_,"	"∅_∅_seventeen"	"∅_seventeen_later"	"seventeen_later_,"	"later_,_on"	"ε"	"ε"	"JJ"	"NN"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"month"	"later"	"on"	"september"	"an"	"irish"	"fishing_boat"	"sight"	"the"	"discovery"	"limp"	"eastward"	"outside"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"seventeen"	"?"	"those"	"∅"	"those_seventeen"	"seventeen_?"	"?_∅"	"during_those_seventeen"	"those_seventeen_?"	"seventeen_?_∅"	"?_∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"disaster"	"strike"	"discovery"	"during"	"those"	"seventeen"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"per"	"."	"%"	"∅"	"%_per"	"per_."	"._∅"	"3_%_per"	"%_per_."	"per_._∅"	"._∅_∅"	"JJ"	"ε"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"public"	"indignation"	"and"	"resistance"	"to"	"wage"	"price"	"increase"	"be"	"obviously"	"much"	"less"	"when"	"the"	"increase"	"be"	"on"	"order"	"of"	"per_annum"	"than"	"when"	"the"	"increase"	"be"	"on"	"the"	"order"	"of"	"per"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	"between"	"difference"	"the"	"difference_in"	"in_between"	"between_the"	"of_difference_in"	"difference_in_between"	"in_between_the"	"between_the_child"	"IN"	"NN"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dot"	"on"	"one"	"end"	"of"	"each"	"indicate"	"extent"	"of"	"difference"	"in"	"month"	"between"	"the"	"child"	"onset"	"age"	"and"	"the"	"corresponding"	"mean"	"age"	"for"	"the"	"growth"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"this"	"person"	"earlier"	","	"earlier_this"	"this_person"	"person_,"	"∅_earlier_this"	"earlier_this_person"	"this_person_,"	"person_,_director"	"ε"	"RB"	"DT"	"NN"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"month"	"person"	"director"	"of"	"the"	"group"	"come"	"to"	"hollywood"	"and"	"have"	"dinner"	"with"	"more_than"	"leader"	"of"	"the"	"motion_picture"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"this"	","	"ago"	"to"	"ago_this"	"this_,"	",_to"	"year_ago_this"	"ago_this_,"	"this_,_to"	",_to_help"	"NN"	"RB"	"DT"	"NN"	"ε"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"next"	"to"	"person"	"person"	"teach"	"person"	"the"	"most"	"when"	"he"	"be"	"grass"	"green"	"rookie"	"rush"	"up_to"	"the"	"location"	"year"	"ago"	"this"	"month"	"to"	"help"	"the"	"group"	"win"	"a"	"dramatic"	"pennant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"six"	"."	"last"	"∅"	"last_six"	"six_."	"._∅"	"the_last_six"	"last_six_."	"six_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fetch"	"me"	"the"	"copy"	"of"	"everything"	"b"	"and"	"company"	"have"	"requisition"	"in"	"the"	"last"	"six"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"six"	","	"last"	"sir"	"last_six"	"six_,"	",_sir"	"the_last_six"	"last_six_,"	"six_,_sir"	",_sir_?"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"six"	"month"	"sir"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"a"	"she"	"not"	"does"	"not_a"	"a_she"	"she_does"	"'s_not_a"	"not_a_she"	"a_she_does"	"she_does_n't"	"VBZ"	"RB"	"DT"	"NN"	"PRP"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"in_a_mood"	"he"	"think"	"there"	"not"	"month"	"she"	"does"	"n't"	"get"	"herself"	"in_a_mood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"six"	"later"	"∅"	","	"∅_six"	"six_later"	"later_,"	"∅_∅_six"	"∅_six_later"	"six_later_,"	"later_,_person"	"ε"	"ε"	"JJ"	"NN"	"RB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"month"	"later"	"person"	"stand"	"in"	"the"	"observation_dome"	"of"	"the"	"gabriel"	"and"	"watch"	"the"	"ball"	"of"	"location"	"dwindle"	"above"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"twelve"	"."	"past"	"∅"	"past_twelve"	"twelve_."	"._∅"	"the_past_twelve"	"past_twelve_."	"twelve_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"be"	"a"	"blazing"	"in"	"golf"	"over"	"the"	"past"	"twelve"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
