"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"1:10:00::"	"some"	","	"make"	"but"	"make_some"	"some_,"	",_but"	"person_make_some"	"make_some_,"	"some_,_but"	",_but_his"	"NNP"	"VB"	"DT"	"NN"	"ε"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"some"	"comment"	"but"	"his"	"mind"	"be"	"busy"	"as"	"he"	"consider"	"the"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"choice"	"about"	"correspondent"	"their"	"correspondent_choice"	"choice_about"	"about_their"	"soldier_correspondent_choice"	"correspondent_choice_about"	"choice_about_their"	"about_their_experience"	"NN"	"NN"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"initiation"	"into"	"combat"	"sometimes"	"from"	"soldier"	"correspondent"	"choice"	"comment"	"about"	"their"	"experience"	"and"	"reaction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"similar"	"about"	"∅"	"officer"	"∅_similar"	"similar_about"	"about_officer"	"∅_∅_similar"	"∅_similar_about"	"similar_about_officer"	"about_officer_are"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"comment"	"about"	"officer"	"are"	"to"	"be"	"find"	"in"	"the"	"letter"	"of"	"northern"	"soldier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"sentence"	"on"	"write_out"	"the"	"write_out_sentence"	"sentence_on"	"on_the"	"to_write_out_sentence"	"write_out_sentence_on"	"sentence_on_the"	"on_the_mistake"	"TO"	"VB"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"director"	"help"	"tailor-make"	"checklist"	"of"	"the"	"district_manager"	"error"	"by"	"various"	"observer"	"to"	"write_out"	"sentence"	"comment"	"on"	"the"	"mistake"	"they"	"feel"	"he"	"make"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"that"	"hear"	"we"	"hear_the"	"the_that"	"that_we"	"frequently_hear_the"	"hear_the_that"	"the_that_we"	"that_we_have"	"RB"	"VB"	"DT"	"NN"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"an"	"unsolved"	"problem"	"which"	"probably"	"has"	"never"	"been"	"seriously"	"although"	"one"	"frequently"	"hear"	"the"	"comment"	"that"	"we"	"have"	"insufficient"	"specialist"	"of"	"the"	"kind"	"who"	"can"	"compete"	"with"	"the"	"german"	"or"	"swiss"	"for_example"	"in"	"precision"	"machinery"	"and"	"mathematics"	"or"	"the"	"finn"	"in"	"geochemistry"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"extended"	"."	"more"	"∅"	"more_extended"	"extended_."	"._∅"	"require_more_extended"	"more_extended_."	"extended_._∅"	"._∅_∅"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"require"	"more"	"extended"	"comment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"grand_jury"	"on"	"the"	"a"	"the_grand_jury"	"grand_jury_on"	"on_a"	"∅_the_grand_jury"	"the_grand_jury_on"	"grand_jury_on_a"	"on_a_number"	"ε"	"DT"	"NN"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grand_jury"	"comment"	"on"	"a"	"number"	"of"	"topic"	"among"	"them"	"the"	"atlanta"	"and"	"location"	"purchasing_department"	"which"	"it"	"say"	"be"	"well"	"operate"	"and"	"follow"	"generally"	"accepted"	"practice"	"which"	"inure"	"to"	"the"	"best"	"interest"	"of"	"both"	"government"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"on"	"jury"	"the"	"jury_also"	"also_on"	"on_the"	"the_jury_also"	"jury_also_on"	"also_on_the"	"on_the_location"	"DT"	"NN"	"RB"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"also"	"comment"	"on"	"the"	"location"	"ordinary"	"court"	"which"	"has"	"been"	"under_fire"	"for"	"its"	"practice"	"in"	"the"	"appointment"	"of"	"appraiser"	"guardian"	"and"	"administrator"	"and"	"the"	"awarding"	"of"	"fee"	"and"	"compensation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"person"	"''"	"wryly"	"''_,"	",_person"	"person_wryly"	"sculpture_''_,"	"''_,_person"	",_person_wryly"	"person_wryly_,"	"NN"	"ε"	"ε"	"VB"	"NNP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"that"	"sculpture"	"person"	"wryly"	"when"	"he"	"had"	"sluice"	"down"	"the"	"floor"	"for"	"a"	"week"	"make"	"mud"	"pie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:10::;2:32:00::"	"we"	"far"	"before"	"on"	"before_we"	"we_far"	"far_on"	"∅_before_we"	"before_we_far"	"we_far_on"	"far_on_these"	"ε"	"IN"	"PRP"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"comment"	"far"	"on"	"these"	"pathological"	"condition"	"we"	"should"	"remember"	"that"	"change"	"in"	"the"	"state"	"of"	"the"	"hypothalamus"	"within"	"physiological"	"limit"	"distinguish"	"sleep"	"from"	"wakefulness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
