"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"1:18:00::"	"the"	"instantly"	"?"	"ask"	"?_the"	"the_instantly"	"instantly_ask"	"''_?_the"	"?_the_instantly"	"the_instantly_ask"	"instantly_ask_."	"ε"	"ε"	"DT"	"NN"	"RB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"who"	"be"	"that"	"young"	"the"	"doctor"	"instantly"	"ask"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"∅"	"mind"	"∅_the"	"the_'s"	"'s_mind"	"∅_∅_the"	"∅_the_'s"	"the_'s_mind"	"'s_mind_was"	"ε"	"ε"	"DT"	"NN"	"POS"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doctor"	"mind"	"was"	"work"	"at"	"a"	"great"	"speed"	"he"	"rise"	"to"	"put_on"	"his"	"greatcoat"	"on"	"and"	"address"	"person"	"in"	"a"	"muted"	"voice"	"0"	"0"	
"1:18:00::"	"the"	"in"	"find"	"an"	"find_the"	"the_in"	"in_an"	"but_find_the"	"find_the_in"	"the_in_an"	"in_an_ebullient"	"CC"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"person"	"return"	"to"	"the"	"hotel"	"rather"	"weary"	"and"	"with"	"no"	"new"	"prospect"	"of"	"role"	"in"	"the"	"late"	"afternoon"	"find"	"the"	"doctor"	"in"	"an"	"ebullient"	"mood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"remark"	","	","	",_the"	"the_remark"	"remark_,"	"''_,_the"	",_the_remark"	"the_remark_,"	"remark_,_``"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chicken"	"have"	"short"	"the"	"doctor"	"remark"	"that"	"why"	"they"	"be"	"better"	"company"	"than"	"most"	"people"	"i"	"know"	"and"	"he"	"go_on"	"to"	"break"	"some"	"important"	"news"	"to"	"person"	
"1:18:00::"	"a"	","	"``"	"medical_intern"	"``_a"	"a_,"	",_medical_intern"	"and_``_a"	"``_a_,"	"a_,_medical_intern"	",_medical_intern_or"	"CC"	"ε"	"DT"	"NN"	"ε"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"four"	"additional"	"deputy"	"be"	"employ"	"the"	"group"	"and"	"a"	"doctor"	"medical_intern"	"or"	"extern"	"be"	"employ"	"for"	"night"	"and"	"weekend"	"duty"	"at"	"the"	"jail"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"had"	"∅"	"suggest"	"∅_the"	"the_had"	"had_suggest"	"∅_∅_the"	"∅_the_had"	"the_had_suggest"	"had_suggest_person"	"ε"	"ε"	"DT"	"NN"	"VBD"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doctor"	"had"	"suggest"	"person"	"remain"	"most"	"of"	"every"	"afternoon"	"in"	"bed"	"until"	"he"	"be"	"strong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	","	"∅"	"since"	"∅_the"	"the_,"	",_since"	"∅_∅_the"	"∅_the_,"	"the_,_since"	",_since_person"	"ε"	"ε"	"DT"	"NN"	"ε"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doctor"	"since"	"person"	"be"	"no_longer"	"allow"	"to"	"make"	"his"	"regular"	"trip"	"into"	"town"	"to"	"see"	"him"	"come"	"often"	"and"	"informally"	"to"	"the"	"house"	"0"	
"1:18:00::"	"the"	"had"	"after"	"go"	"after_the"	"the_had"	"had_go"	"stay_on_after_the"	"after_the_had"	"the_had_go"	"had_go_."	"VB"	"IN"	"DT"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"after"	"the"	"doctor"	"had"	"go"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"'s"	"say"	"person"	"''"	"person_'s"	"'s_say"	"say_''"	"what_person_'s"	"person_'s_say"	"'s_say_''"	"say_''_."	"WP"	"NNP"	"POS"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"tell"	"you"	"person"	"doctor"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"``"	"''"	","	"person"	",_``"	"``_''"	"''_person"	")_,_``"	",_``_''"	"``_''_person"	"''_person_,"	"ε"	"ε"	"ε"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"according_to"	"the"	"group"	"doctor"	"person"	"person"	"and"	"his"	"clique"	"and"	"person"	"to"	"name"	"three"	"notorious"	"device"	"quack"	"succeed"	"respectively"	"in"	"distribute"	"and"	"fake"	"health"	"machine"	"0"	"0"	
"1:18:00::"	"the"	"fraud"	"many_of"	"use"	"many_of_the"	"the_fraud"	"fraud_use"	"that_many_of_the"	"many_of_the_fraud"	"the_fraud_use"	"fraud_use_these"	"IN"	"JJ"	"DT"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"authorities"	"believe"	"many_of"	"the"	"doctor"	"fraud"	"use"	"these"	"false"	"health"	"gadget"	"be"	"still"	"in"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"''"	"with"	"."	"with_the"	"the_''"	"''_."	"bed_with_the"	"with_the_''"	"the_''_."	"''_._∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"stock"	"vaudeville"	"gag"	"run"	"mother"	"be"	"sick"	"in"	"bed"	"with"	"the"	"doctor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
