"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"
"2:35:00::"	"hereunto"	"my"	"have"	"hand"	"have_hereunto"	"hereunto_my"	"my_hand"	"i_have_hereunto"	"have_hereunto_my"	"hereunto_my_hand"	"my_hand_and"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"have"	"hereunto"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"april"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-fifth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"hereunto"	"my"	"have"	"hand"	"have_hereunto"	"hereunto_my"	"my_hand"	"i_have_hereunto"	"have_hereunto_my"	"hereunto_my_hand"	"my_hand_and"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"have"	"hereunto"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"june"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"hereunto"	"my"	"have"	"hand"	"have_hereunto"	"hereunto_my"	"my_hand"	"i_have_hereunto"	"have_hereunto_my"	"hereunto_my_hand"	"my_hand_and"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"have"	"hereunto"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"july"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:04::"	"hereunto"	"my"	"have"	"hand"	"have_hereunto"	"hereunto_my"	"my_hand"	"i_have_hereunto"	"have_hereunto_my"	"hereunto_my_hand"	"my_hand_and"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"have"	"hereunto"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"d"	"day"	"of"	"october"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"hereunto"	"my"	"have"	"hand"	"have_hereunto"	"hereunto_my"	"my_hand"	"i_have_hereunto"	"have_hereunto_my"	"hereunto_my_hand"	"my_hand_and"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"have"	"hereunto"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"st"	"day"	"of"	"november"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:09::"	"and"	"the"	"supper"	"table"	"supper_and"	"and_the"	"the_table"	"start_supper_and"	"supper_and_the"	"and_the_table"	"the_table_."	"VB"	"NN"	"CC"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"morgan"	"fill"	"the"	"fire"	"box"	"with"	"again"	"then"	"start"	"supper"	"and"	"set"	"the"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"the"	"∅"	"apples"	"∅_∅"	"∅_the"	"the_apples"	"∅_∅_∅"	"∅_∅_the"	"∅_the_apples"	"the_apples_in"	"ε"	"ε"	"ε"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"apples"	"in"	"the"	"pastry-lined"	"tin"	"spread"	"over"	"them"	"three"	"tablespoonfuls"	"of"	"softened"	"butter"	"with"	"as"	"much"	"brown_sugar"	"a"	"sprinkling"	"of"	"nutmeg"	"and"	"a"	"fresh"	"bay_leaf"	"then"	"lay"	"on"	"a"	"cover"	"of"	"pastry"	"and"	"gild"	"it"	"with"	"beaten"	"yolk"	"of"	"egg"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"here"	"record"	"today"	"record_he"	"he_here"	"here_today"	"this_record_he"	"record_he_here"	"he_here_today"	"here_today_."	"DT"	"NN"	"PRP"	"VB"	"RB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"sincere"	"wish"	"be"	"that"	"he"	"to"	"add"	"to"	"this"	"record"	"he"	"set"	"here"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"shares"	"against"	"several"	"our"	"several_shares"	"shares_against"	"against_our"	"the_several_shares"	"several_shares_against"	"shares_against_our"	"against_our_respective"	"DT"	"JJ"	"NNS"	"VB"	"IN"	"PRP$"	"JJ"	"subscribers"	"do"	"agree"	"that"	"as"	"soon"	"as"	"a"	"convenient"	"number"	"of"	"persons"	"have"	"subscribe"	"to"	"this"	"or"	"a"	"similar"	"writing"	"we"	"will"	"present"	"a"	"petition"	"to"	"the"	"hon"	"ble"	"general_court"	"of"	"the"	"commonwealth"	"of"	"massachusetts"	"pray"	"for"	"an"	"act"	"incorporate"	"into"	"a"	"body_politic"	"the"	"subscribers"	"to"	"such"	"writing"	"with"	"liberty"	"to"	"build"	"such"	"a"	"bridge"	"and"	"a"	"right"	"to"	"demand"	"a"	"toll"	"equal_to"	"that"	"receive"	"at"	"malden_bridge"	"and"	"on"	"like"	"terms"	"and"	"if"	"such"	"an"	"act"	"shall"	"be"	"obtain"	"then"	"we"	"severally"	"agree"	"each"	"with"	"the"	"that"	"we"	"will"	"hold"	"in"	"the"	"said"	"bridge"	"the"	"several"	"shares"	"against"	"our"	"respective"	"names"	"the"	"whole"	"into"	"two"	"hundred"	"shares"	"being"	"divide"	"and"	"that"	"we"	"will"	"pay"	"such"	"sums_of_money"	"at"	"such"	"times"	"and"	"in"	"such"	"manners"	"as"	"by"	"the"	"said"	"proposed"	"corporation"	"shall"	"be"	"direct"	"and"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"be"	"so"	"blades"	"they"	"blades_be"	"be_so"	"so_they"	"plow_blades_be"	"blades_be_so"	"be_so_they"	"so_they_do"	"NN"	"NNS"	"VB"	"VB"	"RB"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recount"	"personal"	"observations"	"of"	"clearance"	"work"	"the"	"councilman"	"cite"	"instances"	"of"	"inefficient"	"use"	"equipment"	"or"	"supplies"	"by"	"poorly"	"trained"	"workers"	"and"	"urge"	"that"	"plow"	"blades"	"be"	"set"	"so"	"they"	"do"	"not"	"leave"	"behind"	"a"	"thin"	"layer"	"of"	"snow"	"which"	"eventually"	"freeze"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"against"	"hand"	"all"	"hand_was"	"was_against"	"against_all"	"whose_hand_was"	"hand_was_against"	"was_against_all"	"against_all_that"	"WP$"	"NN"	"VBD"	"VB"	"IN"	"DT"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"a"	"man"	"of"	"incredible"	"criminality"	"of"	"a"	"criminality"	"effectively"	"without"	"limits"	"a"	"man"	"apparently"	"foreign"	"to"	"the"	"very"	"experience"	"of"	"love"	"mercy"	"or"	"pity"	"a"	"man"	"in"	"whose"	"entourage"	"none"	"be"	"ever"	"safe"	"a"	"man"	"whose"	"hand"	"was"	"set"	"against"	"all"	"that"	"could"	"not"	"be"	"useful"	"to"	"him"	"at"	"the"	"moment"	"a"	"man"	"who"	"be"	"most"	"dangerous"	"of"	"all"	"to"	"those"	"who"	"be"	"his"	"closest"	"collaborators"	"in"	"crime"	
"2:30:09::"	"and"	"the"	"sing"	"mood"	"sing_and"	"and_the"	"the_mood"	"who_sing_and"	"sing_and_the"	"and_the_mood"	"the_mood_for"	"WP"	"VB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rouben_ter-arutunian"	"in"	"his"	"stage_settings"	"often"	"use"	"the"	"scrim"	"curtain"	"behind"	"mr._cole"	"has"	"place"	"couples"	"or"	"groups"	"who"	"sing"	"and"	"set"	"the"	"mood"	"for"	"the"	"scenes"	"which"	"are"	"to"	"follow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:04::"	"he"	"150"	"trends"	"years"	"trends_he"	"he_150"	"150_years"	"style_trends_he"	"trends_he_150"	"he_150_years"	"150_years_ago"	"NN"	"NNS"	"PRP"	"VB"	"CD"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"authenticated"	"pieces"	"of"	"duncan_phyfe"	"furniture"	"be"	"uncommon"	"although"	"millions"	"of"	"homes"	"today"	"display"	"pieces"	"pattern"	"after"	"the"	"style"	"trends"	"he"	"set"	"years"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"letters"	"a"	"the"	"nov."	"the_letters"	"letters_a"	"a_nov."	"∅_the_letters"	"the_letters_a"	"letters_a_nov."	"a_nov._15"	"ε"	"DT"	"NNS"	"VB"	"DT"	"NNP"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"letters"	"set"	"a"	"nov."	"deadline"	"for"	"the"	"start"	"of"	"negotiations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	"labor"	"ruptured"	"labor_to"	"to_the"	"the_ruptured"	"workmen_labor_to"	"labor_to_the"	"to_the_ruptured"	"the_ruptured_roadbed"	"NNS"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"plume"	"of"	"smoke"	"rise"	"from"	"a"	"central_vermont"	"locomotive"	"which"	"idle"	"behind"	"string"	"of"	"gravel"	"cars"	"and"	"little"	"figures"	"that"	"be"	"workmen"	"labor"	"to"	"set"	"the"	"ruptured"	"roadbed"	"to"	"rights"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	","	"in"	"film"	"italy"	"film_,"	",_in"	"in_italy"	"french_film_,"	"film_,_in"	",_in_italy"	"in_italy_,"	"JJ"	"NN"	"ε"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"film"	"set"	"in"	"italy"	"be"	"a"	"summertime"	"splurge"	"in"	"shock"	"and"	"terror"	"all"	"shoot"	"in"	"lovely"	"sunny"	"scenery"	"so"	"breath-taking"	"that"	"at_times"	"you"	"almost"	"forget"	"the"	"horrors"	"the"	"movie"	"is"	"deal"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"had"	"a"	","	"deadline"	",_had"	"had_a"	"a_deadline"	"gen._cedvet_sunay_,_had"	",_had_a"	"had_a_deadline"	"a_deadline_for"	"NNP"	"ε"	"VBD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bypass"	"the"	"military"	"junta"	"which"	"has"	"rule"	"turkey"	"since"	"the"	"overthrow"	"of"	"months"	"ago"	"the"	"army"	"general_staff"	"lead"	"by"	"gen._cedvet_sunay"	"had"	"set"	"a"	"deadline"	"for"	"the"	"parties"	"to"	"join"	"in"	"a"	"national"	"coalition"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not"	"a"	"did"	"date"	"did_not"	"not_a"	"a_date"	"circuit_judge_paul_r._cash_did_not"	"did_not_a"	"not_a_date"	"a_date_for"	"NNP"	"VBD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"circuit_judge_paul_r._cash"	"not"	"set"	"a"	"date"	"for"	"sentencing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
