"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:06:00::"	"the"	"for"	"up"	"home"	"up_the"	"the_for"	"for_home"	"head_up_the"	"up_the_for"	"the_for_home"	"for_home_,"	"VB"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"as"	"the"	"conviction"	"of"	"truth"	"roar"	"him"	"shatter"	"his"	"last"	"hope"	"of"	"safety"	"he"	"was"	"reach"	"release"	"the"	"hand_brake"	"to"	"head"	"up"	"the"	"road"	"for"	"home"	"do"	"her"	"bidding"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"caliche-topped"	"to"	"the"	"town"	"the_caliche-topped"	"caliche-topped_to"	"to_town"	"along_the_caliche-topped"	"the_caliche-topped_to"	"caliche-topped_to_town"	"to_town_,"	"IN"	"DT"	"JJ"	"NN"	"TO"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"drive"	"the"	"caliche-topped"	"road"	"to"	"town"	"person"	"talk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"now"	"up"	","	"up_the"	"the_now"	"now_,"	"piece_up_the"	"up_the_now"	"the_now_,"	"now_,_stop"	"NN"	"IN"	"DT"	"NN"	"RB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"gunfire"	"which"	"be"	"so"	"near"	"that"	"seem"	"just"	"a"	"piece"	"up"	"the"	"road"	"now"	"stop"	"for"	"long"	"enough"	"to"	"count"	"to"	"twenty"	"and"	"in"	"that"	"brief"	"interval"	"a"	"redcoat"	"officer"	"come"	"tear"	"down"	"the"	"road"	"whip"	"his"	"horse"	"fit"	"to"	"kill"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"down"	"whip"	"down_the"	"the_,"	",_whip"	"tear_down_the"	"down_the_,"	"the_,_whip"	",_whip_his"	"VB"	"RB"	"DT"	"NN"	"ε"	"VB"	"PRP$"	"which"	"be"	"so"	"near"	"that"	"it"	"seem"	"just"	"a"	"piece"	"up"	"the"	"road"	"now"	"stop"	"for"	"long"	"enough"	"to"	"count"	"to"	"twenty"	"and"	"in"	"that"	"brief"	"interval"	"a"	"redcoat"	"officer"	"come"	"tear"	"down"	"the"	"whip"	"his"	"horse"	"fit"	"to"	"kill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"to"	"on"	"the"	"on_the"	"the_to"	"to_the"	"dust_cloud_on_the"	"on_the_to"	"the_to_the"	"to_the_west"	"NN"	"IN"	"DT"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"now"	"the"	"redcoat"	"were"	"come"	"and"	"the"	"be"	"a"	"part"	"of"	"the"	"dust_cloud"	"on"	"the"	"road"	"to"	"the"	"west"	"of"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"of"	"not"	"of_the"	"the_,"	",_not"	"side_of_the"	"of_the_,"	"the_,_not"	",_not_five"	"NN"	"IN"	"DT"	"NN"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"front"	"of"	"their"	"column"	"had"	"already"	"pass"	"us"	"another"	"officer"	"come"	"ride"	"down"	"the"	"side"	"of"	"the"	"road"	"not"	"five"	"pace"	"from"	"where"	"we"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"of"	"."	"section"	"∅"	"section_of"	"of_."	"._∅"	"this_section_of"	"section_of_."	"of_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"some"	"feel"	"that"	"we"	"should"	"march"	"toward"	"location"	"and"	"take_up"	"new"	"ahead"	"of"	"the"	"slow-moving"	"british"	"column"	"but"	"another"	"group"	"maintain"	"we"	"should"	"stick"	"to"	"this"	"and"	"this"	"section"	"of"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"approach"	"∅"	"approach_the"	"the_."	"._∅"	"they_approach_the"	"approach_the_."	"the_._∅"	"._∅_∅"	"PRP"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"this"	"was"	"being"	"discuss"	"we"	"see"	"the"	"militia"	"to"	"the"	"west"	"of"	"us"	"fan_out"	"and"	"break"	"into"	"little"	"of"	"two"	"and"	"three"	"man"	"as"	"they"	"approach"	"the"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"to"	"pant"	"to_the"	"the_,"	",_pant"	"turn_back_to_the"	"to_the_,"	"the_,_pant"	",_pant_from"	"VB"	"TO"	"DT"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"run"	"east"	"for"	"about"	"half"	"mile"	"before"	"we"	"turn_back"	"to"	"the"	"road"	"pant"	"from"	"the"	"effort"	"and"	"soaked"	"with"	"sweat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"lead"	"∅"	"south"	"∅_the"	"the_lead"	"lead_south"	"∅_∅_the"	"∅_the_lead"	"the_lead_south"	"lead_south_along"	"ε"	"ε"	"DT"	"NN"	"VB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"road"	"lead"	"south"	"along"	"the"	"river"	"be"	"shaded"	"with"	"old"	"tree"	"and"	"in"	"the"	"moonlight"	"the"	"silvery"	"landscape"	"be"	"like"	"a"	"setting"	"for"	"troll"	"and"	"wood"	"god"	"rather_than"	"the"	"hudson_river"	"valley"	"of"	"his"	"boyhood"	"memory"	"0"	"0"	"0"	
"1:06:00::"	"ridge"	"and"	"the"	"give"	"the_ridge"	"ridge_and"	"and_give"	"keep_an_eye_on_the_ridge"	"the_ridge_and"	"ridge_and_give"	"and_give_a"	"VB"	"DT"	"NN"	"NN"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"two"	"thirty"	"he"	"send"	"person"	"to"	"the"	"top"	"of"	"the"	"at"	"the"	"northeast"	"corner"	"of"	"the"	"mission"	"to"	"keep_an_eye_on"	"the"	"ridge"	"road"	"and"	"give"	"a"	"signal"	"when"	"he"	"first"	"glimpse"	"the"	"approach"	"of"	"person"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"rural"	"construction"	"for"	"work"	"for_rural"	"rural_construction"	"construction_work"	"bond_for_rural"	"for_rural_construction"	"rural_construction_work"	"construction_work_."	"NN"	"IN"	"JJ"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"group"	"source"	"say"	"there"	"also"	"be"	"a"	"plan"	"there"	"to"	"issue"	"million"	"to"	"million"	"worth"	"of"	"group"	"bond"	"for"	"rural"	"road"	"construction"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"rural"	"bond"	"additional"	"propose"	"additional_rural"	"rural_bond"	"bond_propose"	"of_additional_rural"	"additional_rural_bond"	"rural_bond_propose"	"bond_propose_by"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"open"	"his"	"race"	"for"	"governor"	"in"	"with"	"a"	"battle"	"in"	"the"	"against"	"the"	"issuance"	"of"	"million"	"worth"	"of"	"additional"	"rural"	"road"	"bond"	"propose"	"by"	"then"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"rural"	"bond"	"new"	"."	"new_rural"	"rural_bond"	"bond_."	"the_new_rural"	"new_rural_bond"	"rural_bond_."	"bond_._∅"	"DT"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"source"	"tell"	"the_constitution"	"however"	"that"	"person"	"has"	"not"	"been"	"yet"	"about"	"the"	"plan"	"to"	"issue"	"the"	"new"	"rural"	"road"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"be"	"of"	"steep"	"of_the"	"the_be"	"be_steep"	"part_of_the"	"of_the_be"	"the_be_steep"	"be_steep_,"	"NN"	"IN"	"DT"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"of"	"the"	"road"	"be"	"steep"	"but"	"it"	"level_off"	"after"	"the"	"second"	"bend"	"and"	"curl"	"gradually"	"into"	"the"	"valley"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"on"	"∅"	"on_the"	"the_."	"._∅"	"eye_on_the"	"on_the_."	"the_._∅"	"._∅_∅"	"NN"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"imagine"	"the"	"old"	"girl"	"have"	"n't"	"miss"	"us"	"location"	"add"	"his"	"eye"	"on"	"the"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	","	","	"building"	"utility"	"building_,"	",_,"	",_utility"	"contain_building_,"	"building_,_,"	",_,_utility"	",_utility_,"	"VB"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"area"	"may"	"already"	"have"	"improve"	"and"	"contain"	"building"	"road"	"utility"	"clear"	"land"	"etcetera"	"which"	"may"	"raise"	"the"	"cost"	"of"	"the"	"site"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
