"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"
"3:00:02::"	"for"	"employee"	"convenient"	"."	"convenient_for"	"for_employee"	"employee_."	"be_convenient_for"	"convenient_for_employee"	"for_employee_."	"employee_._∅"	"VB"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"check"	"your"	"cafeteria"	"location"	"to"	"sure"	"it"	"be"	"convenient"	"for"	"most"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"traffic"	"susceptible"	"freight"	"to"	"freight_traffic"	"traffic_susceptible"	"susceptible_to"	"the_freight_traffic"	"freight_traffic_susceptible"	"traffic_susceptible_to"	"susceptible_to_raid"	"DT"	"NN"	"NN"	"RB"	"JJ"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"note"	"freight"	"traffic"	"most"	"susceptible"	"to"	"raid"	"by"	"the"	"group"	"group"	"group"	"provide"	"the"	"backbone"	"of"	"group"	"revenue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"the"	"tedious"	","	","	",_the"	"the_tedious"	"tedious_,"	"long_,_the"	",_the_tedious"	"the_tedious_,"	"tedious_,_job"	"JJ"	"ε"	"RB"	"RB"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"from"	"the"	"third_detective_district"	"location"	"the"	"long"	"the"	"most"	"tedious"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"salient"	"of"	"feature"	"of_the"	"the_salient"	"salient_feature"	"one_of_the"	"of_the_salient"	"the_salient_feature"	"salient_feature_of"	"JJ"	"IN"	"RB"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"the"	"most"	"salient"	"feature"	"of"	"literary"	"value"	"has"	"been"	"deem"	"to"	"be"	"its"	"influence"	"upon"	"and"	"organization"	"of"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"a"	"careful"	","	"exploration"	",_a"	"a_careful"	"careful_exploration"	"occur_,_a"	",_a_careful"	"a_careful_exploration"	"careful_exploration_of"	"VB"	"ε"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"any"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"great"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"sense"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"sense"	"of"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"most"	"careful"	"exploration"	"of"	"the"	"particular"	"feature"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"the"	"frequent"	"of"	"view"	"of_the"	"the_frequent"	"frequent_view"	"one_of_the"	"of_the_frequent"	"the_frequent_view"	"frequent_view_of"	"JJ"	"IN"	"RB"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"the"	"most"	"frequent"	"view"	"of"	"the"	"value"	"of"	"literature"	"be"	"the"	"education"	"of"	"sensibility"	"that"	"it"	"is"	"think"	"to"	"provide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"and"	"economical"	"best"	"process"	"best_and"	"and_economical"	"economical_process"	"the_best_and"	"best_and_economical"	"and_economical_process"	"economical_process_and"	"DT"	"JJ"	"CC"	"RB"	"JJ"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"encourage"	"and"	"promote"	"fundamental"	"scientific"	"research"	"and"	"study"	"to"	"develop"	"the"	"best"	"and"	"most"	"economical"	"process"	"and"	"method"	"for"	"convert"	"saline"	"water"	"into"	"water"	"suitable"	"for"	"beneficial"	"consumptive"	"purpose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"effective"	"∅"	"way"	"∅_the"	"the_effective"	"effective_way"	"∅_∅_the"	"∅_the_effective"	"the_effective_way"	"effective_way_to"	"ε"	"ε"	"RB"	"RB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"effective"	"way"	"to"	"develop"	"more"	"place"	"for"	"more"	"sportsman"	"to"	"shoot"	"be"	"to"	"encourage"	"properly"	"manage"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"a"	"interesting"	","	"meeting"	",_a"	"a_interesting"	"interesting_meeting"	"1954_,_a"	",_a_interesting"	"a_interesting_meeting"	"interesting_meeting_take_place"	"CD"	"ε"	"DT"	"RB"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"the"	"kickoff"	"of"	"group"	"shooting"	"program"	"in"	"a"	"most"	"interesting"	"meeting"	"take_place"	"in"	"washington"	"district_of_columbia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"in"	"school"	"stress"	"program"	"stress_in"	"in_school"	"school_program"	"activity_stress_in"	"stress_in_school"	"in_school_program"	"school_program_have"	"NN"	"VB"	"IN"	"JJ"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"cognizance"	"of"	"the"	"fact"	"so"	"overlooked"	"that"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"have"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"its"	"ecstatic"	"at"	"moment"	"at_its"	"its_ecstatic"	"ecstatic_moment"	"∅_at_its"	"at_its_ecstatic"	"its_ecstatic_moment"	"ecstatic_moment_,"	"ε"	"IN"	"PRP$"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"its"	"most"	"ecstatic"	"moment"	"husband"	"and"	"wife"	"are"	"elevate"	"far"	"above"	"worldly"	"care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"valuable"	"be"	"of"	"be_the"	"the_valuable"	"valuable_of"	"they_be_the"	"be_the_valuable"	"the_valuable_of"	"valuable_of_commodity"	"PRP"	"VB"	"RB"	"RB"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"this"	"danger"	"however"	"we"	"inform"	"on"	"every"	"hand"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"most"	"valuable"	"of"	"commodity"	"and"	"the"	"most"	"salable"	"for"	"their"	"demand"	"far"	"exceed"	"supply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"salable"	"and"	","	"and_the"	"the_salable"	"salable_,"	"-_and_the"	"and_the_salable"	"the_salable_,"	"salable_,_for"	"ε"	"CC"	"RB"	"RB"	"JJ"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"this"	"danger"	"however"	"we"	"are"	"inform"	"on"	"every"	"hand"	"that"	"idea"	"not"	"machine"	"be"	"our"	"fine"	"tool"	"they"	"be"	"priceless"	"even_though"	"they"	"cannot"	"be"	"record"	"on"	"a"	"ledger"	"page"	"they"	"be"	"the"	"valuable"	"of"	"commodity"	"and"	"the"	"most"	"salable"	"for"	"their"	"demand"	"far"	"exceed"	"supply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
