"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"
"1:23:00::"	"reveal"	"beyond"	"area"	"a"	"area_reveal"	"reveal_beyond"	"beyond_a"	"entire_area_reveal"	"area_reveal_beyond"	"reveal_beyond_a"	"beyond_a_ledge"	"JJ"	"NN"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"detailed"	"scouring"	"the"	"entire"	"area"	"reveal"	"nothing"	"beyond"	"a"	"ledge"	"of"	"rock"	"that"	"might"	"have"	"be"	"the"	"rifleman"	"hiding_place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"79.89"	"down"	"$"	"special"	"$_79.89"	"79.89_down"	"down_special"	",_$_79.89"	"$_79.89_down"	"79.89_down_special"	"down_special_!"	"ε"	"ε"	"CD"	"NN"	"RB"	"NN"	"ε"	"from"	"the"	"fact"	"that"	"business"	"be"	"slow"	"this"	"time_of_year"	"and"	"his"	"one"	"salesgirl"	"be"	"not"	"the"	"most"	"enterprising"	"person"	"have"	"no"	"worry"	"at_all"	"and"	"he"	"say"	"as"	"much"	"to"	"person"	"who"	"sit"	"across"	"from"	"him"	"in"	"civilian"	"clothes"	"on"	"a"	"jiffy-couch-a-bed"	"mauve"	"velour"	"nothing"	"down"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	","	"certain"	"preparation"	"but"	"preparation_,"	",_certain"	"certain_but"	"no_preparation_,"	"preparation_,_certain"	",_certain_but"	"certain_but_that"	"DT"	"NN"	"ε"	"NN"	"JJ"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"had"	"catch"	"him"	"no"	"preparation"	"nothing"	"certain"	"but"	"that"	"ahead"	"lie"	"some"	"kind"	"of"	"disaster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"the"	"''"	"paint"	","	"paint_the"	"the_''"	"''_,"	"i_paint_the"	"paint_the_''"	"the_''_,"	"''_,_he"	"PRP"	"VB"	"DT"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"the"	"nothing"	"he"	"say"	"once"	"to"	"person"	"and"	"myself"	"the"	"nothing"	"that_is"	"behind"	"the"	"something"	"the"	"inexpressible"	"unpaintable"	"tick"	"in"	"the"	"unconscious"	"the"	"spirit"	"of"	"the"	"moment"	"rest"	"forever"	"suspend"	"like"	"a"	"huge"	"balloon"	"in"	"non"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"the"	"that_is"	"``"	"behind"	"``_the"	"the_that_is"	"that_is_behind"	",_``_the"	"``_the_that_is"	"the_that_is_behind"	"that_is_behind_the"	"ε"	"ε"	"DT"	"NN"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"paint"	"the"	"nothing"	"he"	"say"	"once"	"to"	"and"	"myself"	"the"	"nothing"	"that_is"	"behind"	"the"	"something"	"the"	"inexpressible"	"unpaintable"	"tick"	"in"	"the"	"unconscious"	"the"	"spirit"	"of"	"the"	"moment"	"rest"	"forever"	"suspend"	"like"	"a"	"huge"	"balloon"	"in"	"non"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"``"	"special"	"be"	"''"	"be_``"	"``_special"	"special_''"	"soil_be_``"	"be_``_special"	"``_special_''"	"special_''_,"	"NN"	"VB"	"ε"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"be"	"nothing"	"special"	"just"	"prairie"	"land"	"but"	"he"	"had"	"harrow"	"in"	"compost"	"until"	"it"	"be"	"loose"	"spongy"	"and"	"brown"	"black"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"∅"	"be"	"∅"	"easy"	"∅_∅"	"∅_be"	"be_easy"	"∅_∅_∅"	"∅_∅_be"	"∅_be_easy"	"be_easy_to"	"ε"	"ε"	"ε"	"NN"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"easy"	"to"	"grow"	"from"	"seed"	"than"	"pansy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"perhaps"	"in"	"be"	"the"	"be_perhaps"	"perhaps_in"	"in_the"	"there_be_perhaps"	"be_perhaps_in"	"perhaps_in_the"	"in_the_religious"	"EX"	"VB"	"RB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"again"	"in"	"in"	"england"	"be"	"perhaps"	"nothing"	"in"	"the"	"religious"	"sphere"	"so"	"popularly"	"discuss"	"as"	"christian"	"unity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"and"	"provide"	","	"the"	",_and"	"and_provide"	"provide_the"	"need_,_and"	",_and_provide"	"and_provide_the"	"provide_the_flexibility"	"VB"	"ε"	"CC"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"little"	"in"	"today"	"living"	"provide"	"strength"	"we"	"need"	"and"	"nothing"	"provide"	"the"	"flexibility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"be"	"but"	"they"	"location"	"they_be"	"be_but"	"but_location"	",_they_be"	"they_be_but"	"be_but_location"	"but_location_farmer"	"ε"	"PRP"	"VB"	"NN"	"CC"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"in"	"person"	"eye"	"be"	"nothing"	"but"	"location"	"farmer"	"he"	"have"	"as"	"much"	"to"	"learn"	"about"	"them"	"as"	"they"	"have"	"to"	"learn"	"about"	"the"	"way"	"of"	"truly"	"rural"	"living"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"be"	"lacking"	"there"	"."	"there_be"	"be_lacking"	"lacking_."	"principal_there_be"	"there_be_lacking"	"be_lacking_."	"lacking_._∅"	"NN"	"EX"	"VB"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"certainly"	"in"	"the"	"of"	"principal"	"there"	"be"	"nothing"	"lacking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"do"	"of"	"shall"	"the"	"shall_do"	"do_of"	"of_the"	"i_shall_do"	"shall_do_of"	"do_of_the"	"of_the_sort"	"PRP"	"MD"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"hero"	"a"	"sterling"	"and"	"upright"	"fellow"	"be"	"a"	"rich"	"group"	"senior"	"while"	"two"	"person"	"are"	"cast"	"as"	"virtual"	"rapist"	"i"	"suppose"	"i"	"should"	"disqualify"	"myself"	"from"	"sit"	"in"	"judgment"	"on"	"but"	"i"	"shall"	"do"	"nothing"	"of"	"the"	"sort"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"see"	"more"	"it"	"than"	"it_see"	"see_more"	"more_than"	",_it_see"	"it_see_more"	"see_more_than"	"more_than_-"	"ε"	"PRP"	"VB"	"NN"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rather"	"than"	"being"	"deceive"	"the"	"eye"	"is"	"puzzle"	"instead"	"see"	"object"	"in"	"space"	"it"	"see"	"nothing"	"more"	"than"	"a"	"picture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"house"	"now"	"which"	"but"	"which_house"	"house_now"	"now_but"	",_which_house"	"which_house_now"	"house_now_but"	"now_but_the"	"ε"	"WDT"	"VB"	"NN"	"RB"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"the"	"stable"	"which"	"house"	"nothing"	"now"	"but"	"the"	"scent"	"of"	"rot"	"have"	"a"	"lawn"	"before"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"be"	"else"	"there"	"to"	"there_be"	"be_else"	"else_to"	",_there_be"	"there_be_else"	"be_else_to"	"else_to_do"	"ε"	"EX"	"VB"	"NN"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"literally"	"be"	"nothing"	"else"	"to"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
