"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:30:00::"	"was"	"by"	"of_which"	"constantine"	"of_which_was"	"was_by"	"by_constantine"	"first_of_which_was"	"of_which_was_by"	"was_by_constantine"	"by_constantine_,"	"JJ"	"RB"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"erect"	"on"	"the"	"site"	"of"	"pagan"	"temples"	"three"	"previous"	"st._sophias"	"the"	"first"	"of_which"	"was"	"begin"	"by"	"constantine"	"this"	"fourth"	"church"	"was"	"start"	"by"	"justinian"	"in"	"and"	"complete"	"twenty"	"years"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	")"	"to"	"first"	"protrude"	"first_)"	")_to"	"to_protrude"	"the_first_)"	"first_)_to"	")_to_protrude"	"to_protrude_like"	"DT"	"JJ"	"ε"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"eyeteeth"	"third"	"from"	"the"	"middle"	"on"	"top"	"each"	"front_tooth"	"as"	"the"	"first"	"begin"	"to"	"protrude"	"like"	"fangs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"dave"	"to"	"and"	"back"	"and_dave"	"dave_to"	"to_back"	"roberta_and_dave"	"and_dave_to"	"dave_to_back"	"to_back_toward"	"NNP"	"CC"	"NNP"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roberta"	"dave"	"begin"	"to"	"back"	"toward"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"defense_attorneys"	"the"	","	"presentation"	",_defense_attorneys"	"defense_attorneys_the"	"the_presentation"	"afternoon_,_defense_attorneys"	",_defense_attorneys_the"	"defense_attorneys_the_presentation"	"the_presentation_of"	"NN"	"ε"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"defense_attorneys"	"begin"	"the"	"presentation"	"of"	"their"	"cases"	"with"	"opening"	"statements"	"some"	"of_which"	"had"	"been"	"defer"	"until"	"after"	"the"	"government"	"had"	"call"	"witnesses"	"and"	"present"	"its"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"congress"	"its"	"th"	"sessions"	"th_congress"	"congress_its"	"its_sessions"	"87_th_congress"	"th_congress_its"	"congress_its_sessions"	"its_sessions_last"	"CD"	"DT"	"NNP"	"VB"	"PRP$"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"congress"	"begin"	"its"	"sessions"	"last"	"week"	"liberal"	"democrats"	"be"	"ready"	"for"	"a"	"finish"	"fight"	"to"	"open"	"the"	"sluice"	"gates"	"control"	"by"	"the"	"house_rules_committee"	"and"	"permit"	"the"	"free"	"flow"	"of"	"liberal"	"legislation"	"to"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"one"	"to"	"then"	"notice"	"then_one"	"one_to"	"to_notice"	"by_then_one"	"then_one_to"	"one_to_notice"	"to_notice_the"	"IN"	"RB"	"CD"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"one"	"begin"	"to"	"notice"	"the"	"middle-age"	"spread"	"the"	"gray"	"hairs"	"the"	"eyeglasses"	"bodies"	"that"	"be"	"too"	"thin"	"or"	"too"	"heavy"	"the"	"fading"	"signs"	"of"	"old"	"beauty"	"the"	"athlete"	"of"	"by-gone"	"years"	"who"	"wear"	"a"	"size"	"suit"	"and"	"puff"	"when"	"he"	"has"	"finish"	"a"	"sentence"	"of"	"any"	"length"	"then"	"it"	"is"	"time"	"to"	"break_up"	"it"	"up"	"and"	"move_on"	
"2:30:00::"	"even"	"."	"should"	"∅"	"should_even"	"even_."	"._∅"	"campaign_should_even"	"should_even_."	"even_._∅"	"._∅_∅"	"NN"	"MD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"further"	"thought"	"bring"	"the"	"shuddery"	"visions"	"of"	"a"	"governor"	"race"	"being"	"run"	"in"	"the"	"next"	"legislature"	"the"	"spectre"	"of"	"big"	"spending"	"programs"	"the"	"ooze"	"mudslinging"	"before"	"the"	"campaign"	"should"	"even"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"slavery"	"before"	"negro"	"1815"	"negro_slavery"	"slavery_before"	"before_1815"	"end_negro_slavery"	"negro_slavery_before"	"slavery_before_1815"	"before_1815_and"	"VB"	"NNP"	"NN"	"VB"	"IN"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"movement"	"end"	"negro"	"slavery"	"begin"	"before"	"and"	"mount"	"after_that"	"year"	"until"	"as"	"a"	"result"	"of"	"the"	"civil_war"	"emancipation"	"was"	"achieve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"guerrillas"	"a"	"the"	"frantic"	"the_guerrillas"	"guerrillas_a"	"a_frantic"	"∅_the_guerrillas"	"the_guerrillas_a"	"guerrillas_a_frantic"	"a_frantic_search"	"ε"	"DT"	"NNS"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guerrillas"	"begin"	"a"	"frantic"	"search"	"for"	"pails"	"in_which"	"to"	"bring"	"water"	"from"	"the"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"had"	"with"	"it"	"the_blue"	"it_had"	"had_with"	"with_the_blue"	"∅_it_had"	"it_had_with"	"had_with_the_blue"	"with_the_blue_jay"	"ε"	"PRP"	"VBD"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"begin"	"with"	"the_blue"	"jay"	"feather"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"south"	"another"	"the"	"school_year"	"the_south"	"south_another"	"another_school_year"	"as_the_south"	"the_south_another"	"south_another_school_year"	"another_school_year_,"	"IN"	"DT"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"south"	"begin"	"another"	"school_year"	"national"	"and"	"even"	"world"	"attention"	"is"	"direct"	"at"	"the"	"region"	"slow"	"progress"	"toward"	"racial"	"equality"	"in"	"the"	"public_schools"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"is"	"in"	"desegregation"	"two"	"desegregation_is"	"is_in"	"in_two"	"∅_desegregation_is"	"desegregation_is_in"	"is_in_two"	"in_two_more"	"ε"	"NN"	"VBZ"	"VB"	"IN"	"CD"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"begin"	"in"	"two"	"more"	"important"	"southern"	"cities"	"dallas"	"and"	"atlanta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"have"	"to"	"businessmen"	"act"	"businessmen_have"	"have_to"	"to_act"	"the_businessmen_have"	"businessmen_have_to"	"have_to_act"	"to_act_,"	"DT"	"NNS"	"VBP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"as"	"businessmen"	"have"	"begin"	"to"	"act"	"a"	"real"	"sense"	"of"	"co-operation"	"has"	"spring_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"which"	"with"	"work"	"the"	"work_which"	"which_with"	"with_the"	"of_work_which"	"work_which_with"	"which_with_the"	"with_the_school_year"	"IN"	"NN"	"WDT"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"national"	"competition"	"be"	"culmination"	"of"	"work"	"which"	"begin"	"with"	"the"	"school_year"	"last"	"fall"	"and"	"continue"	"until"	"just"	"before"	"summer"	"vacation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"author"	"this"	"the"	"volume"	"the_author"	"author_this"	"this_volume"	"∅_the_author"	"the_author_this"	"author_this_volume"	"this_volume_with"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"author"	"begin"	"this"	"volume"	"with"	"a"	"close-up"	"of"	"mr._kennedy"	"his"	"family"	"and"	"his"	"entourage"	"wait"	"for"	"the"	"returns"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
