"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"
"2:36:02::"	"mostly"	"locally"	"were"	"from"	"were_mostly"	"mostly_locally"	"locally_from"	"revenues_were_mostly"	"were_mostly_locally"	"mostly_locally_from"	"locally_from_the"	"NNS"	"VBD"	"RB"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"been"	"say"	"when"	"local_government"	"revenues"	"were"	"mostly"	"produce"	"locally"	"from"	"the"	"property_tax"	"the"	"lack"	"of"	"a"	"uniform"	"fiscal_year"	"be"	"no"	"great"	"handicap"	"but"	"with"	"the"	"growth"	"of"	"state"	"and"	"federal"	"fiscal"	"aid"	"the"	"emphasis"	"on"	"equalization"	"and"	"the"	"state-local"	"sharing"	"of"	"responsibility"	"for_certain"	"important"	"functions"	"this"	"be"	"no_longer"	"true"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:05::"	"gardens"	"delicious"	"the"	"long-keeping"	"the_gardens"	"gardens_delicious"	"delicious_long-keeping"	"when_the_gardens"	"the_gardens_delicious"	"gardens_delicious_long-keeping"	"delicious_long-keeping_vegetables"	"WRB"	"DT"	"NNS"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"people"	"and"	"soils"	"respond"	"slowly"	"say"	"walter_clark"	"but"	"the"	"time"	"now"	"come"	"when"	"the"	"gardens"	"produce"	"delicious"	"long-keeping"	"vegetables"	"due_to"	"this"	"enrichment"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"would"	"a"	","	"somewhat"	",_would"	"would_a"	"a_somewhat"	"sitter_,_would"	",_would_a"	"would_a_somewhat"	"a_somewhat_different"	"NN"	"ε"	"MD"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"medium"	"another"	"would"	"produce"	"a"	"somewhat"	"different"	"content"	"but"	"in_general"	"it"	"would"	"probably"	"sound"	"much"	"like"	"the"	"foregoing"	"reading"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"can"	"or"	"he"	"create"	"he_can"	"can_or"	"or_create"	"imagine_he_can"	"he_can_or"	"can_or_create"	"or_create_by"	"VB"	"PRP"	"MD"	"VB"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"been"	"truly"	"say"	"anything"	"man"	"can"	"imagine"	"he"	"can"	"produce"	"or"	"create"	"by"	"project"	"this"	"inner"	"image"	"into"	"its"	"counterpart"	"in"	"the"	"objective"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"has"	"with"	"he"	"his"	"he_has"	"has_with"	"with_his"	"results_he_has"	"he_has_with"	"has_with_his"	"with_his_boys"	"NNS"	"PRP"	"VBZ"	"VB"	"IN"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"mr._bragg"	"be"	"a"	"remarkably"	"gifted"	"and"	"the"	"results"	"he"	"has"	"produce"	"with"	"his"	"boys"	"be"	"generally"	"superior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"they"	"can"	"noise"	"be"	"noise_they"	"they_can"	"can_be"	"the_noise_they"	"noise_they_can"	"they_can_be"	"can_be_keep"	"DT"	"NN"	"PRP"	"VB"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"no"	"use"	"pretend"	"that"	"all"	"conditioners"	"quiet"	"but"	"the"	"noise"	"they"	"produce"	"can"	"be"	"keep"	"to"	"a"	"minimum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:05::"	"going_to"	"for"	"are"	"home"	"are_going_to"	"going_to_for"	"for_home"	"you_are_going_to"	"are_going_to_for"	"going_to_for_home"	"for_home_use"	"PRP"	"VBP"	"VB"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"are"	"going_to"	"produce"	"for"	"home"	"use"	"only"	"you"	"will"	"need"	"only"	"hand_tool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"which"	"the"	"experience"	"effect"	"experience_which"	"which_the"	"the_effect"	"the_experience_which"	"experience_which_the"	"which_the_effect"	"the_effect_would"	"DT"	"NN"	"WDT"	"VB"	"DT"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"any"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"great"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"sense"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"sense"	"of"	"a"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"most"	"careful"	"exploration"	"of"	"the"	"particular"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"of"	"water"	"cost"	"for"	"cost_of"	"of_water"	"water_for"	"prospective_cost_of"	"cost_of_water"	"of_water_for"	"water_for_beneficial"	"JJ"	"NN"	"IN"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"study"	"method"	"for"	"the"	"recovery"	"and"	"marketing"	"of"	"commercially"	"valuable"	"by-product"	"result"	"from"	"the"	"conversion"	"saline"	"water"	"and"	"undertake"	"economic"	"study"	"and"	"survey"	"to"	"determine"	"present"	"and"	"prospective"	"cost"	"of"	"produce"	"water"	"for"	"beneficial"	"consumptive"	"purpose"	"in"	"various"	"part"	"of"	"the"	"united_states"	"by"	"the"	"leading"	"saline"	"water"	"process"	"as"	"compare"	"with"	"standard"	"method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"concentrate"	"therefrom"	"or"	","	"or_concentrate"	"concentrate_therefrom"	"therefrom_,"	",_or_concentrate"	"or_concentrate_therefrom"	"concentrate_therefrom_,"	"therefrom_,_as"	"ε"	"CC"	"NN"	"VB"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject_to"	"the"	"limitation"	"of_this"	"act"	"the"	"secretary_of_the_interior"	"shall"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"upon"	"presentation"	"of"	"evidence"	"satisfactory"	"to"	"him"	"of"	"their"	"status"	"such"	"producer"	"and"	"of"	"the"	"sale"	"by"	"them"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"concentrate"	"therefrom"	"or"	"make"	"or_concentrate"	"concentrate_therefrom"	"therefrom_make"	"ore_or_concentrate"	"or_concentrate_therefrom"	"concentrate_therefrom_make"	"therefrom_make_during"	"NN"	"CC"	"NN"	"VB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maximum"	"amount"	"of"	"payment"	"which"	"may"	"be"	"make"	"pursuant"	"this"	"act"	"on_account_of"	"sale"	"of"	"newly"	"mine"	"ore"	"or"	"concentrate"	"produce"	"therefrom"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"made"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	"and"	"the"	"maximum"	"amount"	"of"	"such"	"payment"	"which"	"may"	"be"	"make"	"on_account_of"	"such"	"sale"	"make"	"during"	"the"	"calendar_year"	"shall"	"not"	"exceed"	
"2:36:02::"	"have"	"beneficial"	"debate"	"result"	"debate_have"	"have_beneficial"	"beneficial_result"	"and_debate_have"	"debate_have_beneficial"	"have_beneficial_result"	"beneficial_result_."	"CC"	"NN"	"VBP"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must_not"	"forget"	"to_be_sure"	"that"	"discussion"	"and"	"debate"	"have"	"produce"	"beneficial"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"principle"	"conflicting"	"general"	"result"	"general_principle"	"principle_conflicting"	"conflicting_result"	"that_general_principle"	"general_principle_conflicting"	"principle_conflicting_result"	"conflicting_result_in"	"IN"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"will"	"not"	"be"	"to"	"find"	"that"	"general"	"principle"	"produce"	"conflicting"	"result"	"in"	"the"	"factual"	"situation"	"with"	"which"	"he"	"is"	"confront"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"would"	"some"	"they"	"very"	"they_would"	"would_some"	"some_very"	"though_they_would"	"they_would_some"	"would_some_very"	"some_very_memorable"	"IN"	"PRP"	"MD"	"VB"	"JJ"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"would"	"produce"	"some"	"very"	"memorable"	"and"	"lasting"	"song"	"person"	"and"	"person"	"were"	"not"	"give"	"strong"	"material"	"to"	"work_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	","	"a"	"industry"	"substantial"	"industry_,"	",_a"	"a_substantial"	"basic_industry_,"	"industry_,_a"	",_a_substantial"	"a_substantial_share"	"JJ"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"industry"	"with"	"which"	"this"	"model"	"concerned"	"be"	"a"	"basic"	"industry"	"produce"	"a"	"substantial"	"share"	"of"	"gross_national_product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"quantity"	"("	"with_respect_to"	"the"	"with_respect_to_quantity"	"quantity_("	"(_the"	"constant_with_respect_to_quantity"	"with_respect_to_quantity_("	"quantity_(_the"	"(_the_average_cost"	"JJ"	"JJ"	"NN"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"assume"	"that"	"average"	"total"	"unit_cost"	"in"	"relevant"	"region"	"of"	"operation"	"be"	"constant"	"with_respect_to"	"quantity"	"produce"	"the"	"average_cost"	"curve"	"be"	"horizontal"	"and"	"therefore"	"be"	"identical"	"with"	"the"	"marginal_cost"	"curve"	"and"	"be"	"the"	"same"	"for"	"every"	"firm"	"and"	"therefore"	"for"	"the"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"union_of_soviet_socialist_republics"	"one"	"the"	"of"	"the_union_of_soviet_socialist_republics"	"union_of_soviet_socialist_republics_one"	"one_of"	"person_the_union_of_soviet_socialist_republics"	"the_union_of_soviet_socialist_republics_one"	"union_of_soviet_socialist_republics_one_of"	"one_of_the"	"NNP"	"DT"	"NN"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thus"	"in"	"the"	"union_of_soviet_socialist_republics"	"produce"	"one"	"of"	"the"	"great"	"composer"	"of"	"the"	"twentieth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"of"	"an"	"f"	"ace"	"f_of"	"of_an"	"an_ace"	"*_f_of"	"f_of_an"	"of_an_ace"	"an_ace_;"	"ε"	"NN"	"IN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"die"	"have"	"f"	"of"	"produce"	"an"	"ace"	"the"	"marksman"	"have"	"some"	"probability"	"p"	"perhaps"	"of"	"make"	"a"	"bull's_eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"experiment"	"either"	"binomial"	"0"	"binomial_experiment"	"experiment_either"	"either_0"	"a_binomial_experiment"	"binomial_experiment_either"	"experiment_either_0"	"either_0_or"	"DT"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"binomial"	"trial"	"a"	"binomial"	"experiment"	"produce"	"either"	"or"	"success"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"were"	"."	"phosgene"	"∅"	"phosgene_were"	"were_."	"._∅"	"and_phosgene_were"	"phosgene_were_."	"were_._∅"	"._∅_∅"	"CC"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"typical"	"reaction"	"cell"	"to"	"which"	"of"	"an"	"atmosphere"	"of"	"had"	"been"	"add"	"were"	"illuminate"	"chlorine"	"and"	"phosgene"	"were"	"produce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
