"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"
"2:31:01::"	"may"	"all"	"industrial_unions"	"the"	"industrial_unions_may"	"may_all"	"all_the"	"and_industrial_unions_may"	"industrial_unions_may_all"	"may_all_the"	"all_the_pressures"	"CC"	"NN"	"MD"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"those"	"watch"	"the"	"growing"	"between"	"craft_unions"	"and"	"industrial_unions"	"may"	"recognize"	"all"	"the"	"pressures"	"that"	"lead"	"to"	"the"	"big"	"labor"	"split"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"∅"	"that"	"∅"	"there"	"∅_∅"	"∅_that"	"that_there"	"∅_∅_∅"	"∅_∅_that"	"∅_that_there"	"that_there_could"	"ε"	"ε"	"ε"	"VB"	"IN"	"EX"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"there"	"could"	"have"	"be"	"no"	"effective"	"negotiated"	"peace"	"with"	"hitler"	"he"	"point_out"	"the"	"shocking"	"failure"	"to"	"give"	"support"	"to"	"the"	"anti-nazi"	"underground"	"which"	"very_nearly"	"eliminate"	"hitler"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"usually"	"it"	"house"	"and"	"house_usually"	"usually_it"	"it_and"	"the_house_usually"	"house_usually_it"	"usually_it_and"	"it_and_act"	"DT"	"NNP"	"RB"	"VB"	"PRP"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"speak"	"briefly"	"sensibly"	"to_the_point"	"and"	"without"	"oratorical"	"flourishes"	"he"	"good"	"plain"	"american"	"common_sense"	"and"	"the"	"house"	"usually"	"recognize"	"it"	"and"	"act"	"upon"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"and"	"as"	"neutralists"	"premier"	"neutralists_and"	"and_as"	"as_premier"	"'s_neutralists_and"	"neutralists_and_as"	"and_as_premier"	"as_premier_by"	"POS"	"NNS"	"CC"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"decision"	"was"	"make"	"in"	"zurich"	"by"	"prince_boun_oum"	"premier"	"of"	"the"	"pro-western"	"government"	"prince_souvanna_phouma"	"leader"	"of"	"the"	"nation"	"neutralists"	"and"	"recognize"	"as"	"premier"	"by"	"the"	"communist"	"bloc"	"and"	"prince_souphanouvong"	"head"	"of"	"the"	"pro-communist"	"pathet_lao"	"forces"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"will"	"no"	"emory_university"	"obligation"	"emory_university_will"	"will_no"	"no_obligation"	",_emory_university_will"	"emory_university_will_no"	"will_no_obligation"	"no_obligation_and"	"ε"	"NNP"	"MD"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"private"	"institution"	"support"	"by"	"individuals"	"emory_university"	"will"	"recognize"	"no"	"obligation"	"and"	"will"	"adopt"	"no"	"policy"	"that"	"would"	"conflict"	"with"	"its"	"purpose"	"to"	"promote"	"excellence"	"in"	"scholarship"	"and"	"christian"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"be"	"and"	"to"	"take_into_account"	"to_be"	"be_and"	"and_take_into_account"	"need_to_be"	"to_be_and"	"be_and_take_into_account"	"and_take_into_account_into"	"VB"	"VB"	"VB"	"VB"	"CC"	"VB"	"IN"	"of"	"the"	"spirited"	"give-and-take"	"of"	"these"	"discussions"	"be"	"to"	"focus"	"attention"	"on"	"practical_applications"	"and"	"the"	"necessity"	"of"	"be"	"armed"	"with"	"the"	"facts"	"knowledge"	"of"	"the"	"destructive"	"force"	"of"	"even"	"the"	"tiniest"	"tactical"	"atomic"	"weapon"	"would"	"have"	"a"	"bearing"	"on"	"judgments"	"as"	"to"	"the"	"advisability"	"of"	"its"	"use"	"to"	"defend"	"berlin"	"for_example"	"the"	"pervasive"	"influence"	"of"	"ideology"	"on"	"political"	"judgments"	"need"	"to"	"be"	"and"	"take_into_account"	"into"	"due"	"account"	"it"	"be"	"necessary"	"to"	"perceive"	"the"	"extent"	"of"	"foreign"	"aid"	"demand"	"by"	"the"	"christian"	"imperative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"world"	"us"	"the"	"as"	"the_world"	"world_us"	"us_as"	"of_the_world"	"the_world_us"	"world_us_as"	"us_as_a"	"IN"	"DT"	"NN"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sir"	"when"	"the_colonies"	"decide"	"upon"	"freedom"	"from"	"england"	"we"	"insist"	"through"	"declaration_of_independence"	"that"	"the"	"nations"	"of"	"the"	"world"	"recognize"	"us"	"as"	"a"	"political"	"entity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"former"	"the"	"the"	"right"	"the_former"	"former_the"	"the_right"	"that_the_former"	"the_former_the"	"former_the_right"	"the_right_of"	"IN"	"DT"	"JJ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"believe"	"and"	"understandably"	"that"	"the"	"great"	"difference"	"between"	"the"	"constitution"	"the"	"southern_confederacy"	"and"	"the"	"federal_constitution"	"be"	"that"	"the"	"former"	"recognize"	"the"	"right"	"of"	"each"	"state"	"to"	"secede"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	","	"slavery"	"defiantly"	"-"	"defiantly_,"	",_slavery"	"slavery_-"	",_defiantly_,"	"defiantly_,_slavery"	",_slavery_-"	"slavery_-_an"	"ε"	"RB"	"ε"	"VB"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"constitution"	"of"	"the"	"southern"	"confederation"	"differ"	"from_that"	"of"	"the"	"federal_union"	"in"	"two"	"important"	"respects"	"it"	"openly"	"defiantly"	"recognize"	"slavery"	"an"	"institution"	"which"	"the"	"southerners"	"of"	"even_though"	"they"	"continue"	"it"	"find"	"so"	"impossible"	"to"	"reconcile"	"with"	"freedom"	"that"	"they"	"carefully"	"avoid"	"mention"	"the"	"word"	"in"	"the"	"federal_constitution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"been"	"as"	"have"	"a"	"have_been"	"been_as"	"as_a"	"statistics_have_been"	"have_been_as"	"been_as_a"	"as_a_matter"	"NNS"	"VBP"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"statistics"	"been"	"recognize"	"as"	"a"	"matter"	"of"	"strategic"	"importance"	"in"	"the"	"congo"	"and"	"in"	"ruanda-urundi"	"during"	"the"	"years"	"in"	"connection"	"with"	"long-term"	"economic"	"and"	"social"	"programs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"marty"	"the"	"∅"	"man"	"∅_marty"	"marty_the"	"the_man"	"∅_∅_marty"	"∅_marty_the"	"marty_the_man"	"the_man_."	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recognize"	"the"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
