"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"2:31:00::"	"nominally"	"as"	"is"	"a"	"is_nominally"	"nominally_as"	"as_a"	"san_francisco_is_nominally"	"is_nominally_as"	"nominally_as_a"	"as_a_conference"	"NN"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"their"	"meeting"	"san_francisco"	"is"	"nominally"	"schedule"	"as"	"a"	"conference"	"of"	"the"	"california_democratic_council"	"directorate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"to"	","	"arrive"	",_is"	"is_to"	"to_arrive"	"southern_california_,_is"	",_is_to"	"is_to_arrive"	"to_arrive_with"	"NNP"	"ε"	"VBZ"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"publish"	"annually"	"by"	"william_hord_richardson"	"the"	"edition"	"subtitle"	"of"	"southern_california"	"is"	"schedule"	"to"	"arrive"	"with"	"monday"	"morning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"been"	"for"	"have"	"10"	"have_been"	"been_for"	"for_10"	",_have_been"	"have_been_for"	"been_for_10"	"for_10_a."	"ε"	"VBP"	"VBN"	"VB"	"IN"	"CD"	"NN"	"for"	"mrs._kowalski"	"and"	"her"	"daughter"	"christine"	"who"	"die"	"of"	"burns"	"at"	"the"	"same"	"hospital"	"monday"	"have"	"been"	"schedule"	"a."	"m."	"tomorrow"	"in"	"st._anne"	"catholic_church"	"mound"	"in"	"warren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"regular"	"."	"a"	"∅"	"a_regular"	"regular_."	"._∅"	"on_a_regular"	"a_regular_."	"regular_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blower"	"should"	"be"	"periodically"	"on"	"a"	"regular"	"schedule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"work"	"for"	"watch"	"boiler"	"watch_work"	"work_for"	"for_boiler"	"you_watch_work"	"watch_work_for"	"work_for_boiler"	"for_boiler_operator"	"PRP"	"VB"	"NN"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"watch"	"work"	"schedule"	"for"	"boiler"	"operator"	"guard"	"and"	"hour"	"day"	"day"	"week"	"operation"	"in_order"	"to"	"minimize"	"overtime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	","	"on"	"write_down"	"on_a"	"a_,"	",_write_down"	"sexual_relationship_on_a"	"on_a_,"	"a_,_write_down"	",_write_down_it"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"PRP"	"0"	"0"	"0"	"one"	"wife"	"describe"	"by"	"a"	"new_york"	"psychologist"	"so"	"dominate"	"her"	"husband"	"she"	"actually"	"placed"	"their"	"on"	"a"	"schedule"	"write_down"	"it"	"down"	"right"	"between"	"the"	"weekly"	"group"	"meeting"	"and"	"the"	"thursday"	"night"	"neighborhood"	"card"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"interview"	"of"	"an"	"open-ended"	"an_interview"	"interview_of"	"of_open-ended"	"∅_an_interview"	"an_interview_of"	"interview_of_open-ended"	"of_open-ended_question"	"ε"	"DT"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interview"	"schedule"	"of"	"open-ended"	"question"	"and"	"a"	"multiple-choice"	"questionnaire"	"were"	"prepare"	"and"	"one"	"parent"	"of"	"each"	"of"	"the"	"sample"	"child"	"was"	"see"	"in"	"the"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"game"	"at"	"a"	"4"	"a_game"	"game_at"	"at_4"	"with_a_game"	"a_game_at"	"game_at_4"	"at_4_against"	"IN"	"DT"	"NN"	"VB"	"IN"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"was"	"to"	"be"	"in"	"again"	"today"	"with"	"a"	"game"	"schedule"	"at"	"against"	"group"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"game"	","	"-"	"pitching"	"-_game"	"game_,"	",_pitching"	"162_-_game"	"-_game_,"	"game_,_pitching"	",_pitching_spread"	"CD"	"ε"	"NN"	"NN"	"ε"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"opinion"	"continue"	"here"	"with"	"a"	"game"	"schedule"	"pitching"	"spread"	"thin"	"through"	"a"	"team"	"league"	"and"	"a"	"most"	"inviting"	"target"	"in"	"los_angeles"	"location"	"person"	"just"	"might"	"break"	"the"	"most"	"glamorous"	"record"	"on"	"the"	"book"	"person"	"homer"	"of"	
"1:10:00::"	"1961"	"to"	"the"	"fourteen"	"the_1961"	"1961_to"	"to_fourteen"	"increase_the_1961"	"the_1961_to"	"1961_to_fourteen"	"to_fourteen_game"	"VB"	"DT"	"CD"	"NN"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"formula"	"to"	"supply"	"player"	"for"	"the"	"new"	"and"	"the"	"problem"	"of"	"increase"	"the"	"schedule"	"to"	"fourteen"	"game"	"will"	"be"	"discuss"	"by"	"group"	"owner"	"at"	"a"	"meeting"	"at"	"the"	"group"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"for"	"performance"	"eleven"	"performance_was"	"was_for"	"for_eleven"	"'s_performance_was"	"performance_was_for"	"was_for_eleven"	"for_eleven_o'clock"	"POS"	"NN"	"VBD"	"VB"	"IN"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"schedule"	"for"	"eleven"	"o'clock"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"to"	"he"	"nominate"	"he_was"	"was_to"	"to_nominate"	"where_he_was"	"he_was_to"	"was_to_nominate"	"to_nominate_person"	"WRB"	"PRP"	"VBD"	"VB"	"TO"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"person"	"onetime"	"runner-up"	"for"	"the"	"republican"	"presidential"	"nomination"	"attend"	"a"	"convention"	"at"	"location"	"he"	"was"	"schedule"	"to"	"nominate"	"person"	"for"	"governor"	"of"	"new_york"	"when"	"he"	"notice"	"that"	"the"	"temporary"	"chairman"	"be"	"a"	"man"	"he"	"had"	"never"	"meet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"are"	"to"	","	"share"	",_are"	"are_to"	"to_share"	"22_,_are"	",_are_to"	"are_to_share"	"to_share_the"	"CD"	"ε"	"VBP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"twenty-one"	"year"	"old"	"person"	"person"	"are"	"schedule"	"to"	"share"	"the"	"group"	"mound"	"chore"	"against"	"the"	"bombers"	"person"	"in"	"sunday"	"pm"	"encounter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
