"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:32:04::"	"was"	"after"	"shortage"	"huff"	"shortage_was"	"was_after"	"after_huff"	"the_shortage_was"	"shortage_was_after"	"was_after_huff"	"after_huff_fail"	"DT"	"NN"	"VBD"	"VB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"was"	"discover"	"after"	"huff"	"fail"	"to"	"report"	"for"	"work"	"on"	"sept."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"was"	"in"	"person"	"the"	"person_was"	"was_in"	"in_the"	"∅_person_was"	"person_was_in"	"was_in_the"	"in_the_process"	"ε"	"NNP"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"discover"	"in"	"the"	"process"	"of"	"write"	"as"	"the"	"born"	"writer"	"does"	"not"	"merely"	"a"	"channel"	"for"	"the"	"discharge"	"of"	"accumulate"	"information"	"but"	"a"	"stimulus"	"to"	"the"	"development"	"of"	"the"	"creative"	"power"	"of"	"observation"	"insight"	"and"	"intuition"	"0"	"0"	"0"	
"2:31:00::"	"and"	"they"	"him"	"be"	"him_and"	"and_they"	"they_be"	"know_him_and"	"him_and_they"	"and_they_be"	"they_be_n't"	"VB"	"PRP"	"CC"	"VB"	"PRP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"try"	"to"	"think_of"	"his"	"unpredictable"	"action"	"the"	"eleven"	"year"	"she"	"had"	"know"	"him"	"and"	"discover"	"they"	"be"	"n't"	"so"	"many"	"after_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"somehow"	","	"would"	"without"	"would_somehow"	"somehow_,"	",_without"	"he_would_somehow"	"would_somehow_,"	"somehow_,_without"	",_without_her"	"PRP"	"MD"	"RB"	"VB"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"one"	"day"	"she"	"he"	"would"	"somehow"	"discover"	"without"	"her"	"having_to"	"tell"	"him"	"that"	"there"	"was"	"such"	"a"	"woman"	"in"	"the"	"world"	"a"	"woman"	"who"	"be"	"willing"	"to"	"give"	"him"	"love"	"faith"	"and"	"anything"	"else"	"a"	"woman"	"could"	"give"	"a"	"husband"	"0"	"0"	"0"	
"2:39:03::"	"and"	"what"	"marker"	"the"	"marker_and"	"and_what"	"what_the"	"road_marker_and"	"marker_and_what"	"and_what_the"	"what_the_end"	"NN"	"NN"	"CC"	"VB"	"WP"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"to"	"realize"	"that"	"this"	"be"	"the"	"end"	"of"	"very"	"short"	"line"	"i"	"scan"	"a"	"road"	"marker"	"and"	"discover"	"what"	"the"	"end"	"of"	"a"	"slightly"	"longer"	"line"	"would"	"be"	"for"	"the"	"old"	"person"	"location"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"if"	"set_out"	"avocado"	"set_out_to"	"to_if"	"if_avocado"	",_set_out_to"	"set_out_to_if"	"to_if_avocado"	"if_avocado_,"	"ε"	"VB"	"TO"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"the"	"group"	"location"	"florida"	"and"	"location"	"set_out"	"to"	"discover"	"if"	"avocado"	"because"	"of"	"their"	"high"	"content"	"of"	"unsaturated"	"fatty_acid"	"would"	"reduce"	"the"	"cholesterol"	"of"	"the"	"blood"	"in"	"select"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"had"	"a"	"person"	"beef"	"person_had"	"had_a"	"a_beef"	"∅_person_had"	"person_had_a"	"had_a_beef"	"a_beef_in"	"ε"	"NNP"	"VBD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"discover"	"a"	"beef"	"in"	"his"	"a_few"	"day"	"earlier"	"and"	"when"	"he"	"could"	"not"	"show"	"the"	"hide"	"arrest"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"were"	"the"	"she"	"pleasantly"	"she_were"	"were_the"	"the_pleasantly"	"though_she_were"	"she_were_the"	"were_the_pleasantly"	"the_pleasantly_tingling"	"IN"	"PRP"	"VBD"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"you"	"wait"	"say"	"person"	"again"	"though"	"she"	"were"	"discover"	"the"	"pleasantly"	"tingling"	"insinuation"	"of"	"that"	"handy"	"little"	"sturdy"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"person"	"beyond"	","	"location"	",_person"	"person_beyond"	"beyond_location"	"a_bit_,_person"	",_person_beyond"	"person_beyond_location"	"beyond_location_,"	"RB"	"ε"	"NNP"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"look"	"a_bit"	"person"	"discover"	"beyond"	"location"	"across"	"the"	"river"	"and"	"far"	"removed"	"from"	"the"	"white"	"city"	"a"	"considerable"	"tract"	"of"	"land"	"and"	"it"	"occur"	"to"	"him"	"that"	"the"	"church"	"and"	"the"	"better"	"person"	"home"	"might"	"gradually"	"be"	"move"	"to"	"this"	"plot"	
"2:36:00::"	"may"	"the"	"we"	"snug"	"we_may"	"may_the"	"the_snug"	",_we_may"	"we_may_the"	"may_the_snug"	"the_snug_little"	"ε"	"PRP"	"MD"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"manage"	"to"	"keep"	"track"	"of"	"a"	"bombus"	"after"	"she"	"has"	"leave"	"her"	"feeding"	"place"	"we"	"may"	"discover"	"the"	"snug"	"little"	"hideout"	"which"	"she"	"has"	"fix_up"	"for"	"herself"	"when"	"she"	"wake_up"	"from"	"her"	"winter"	"sleep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"he"	"that"	"as_soon_as"	"he"	"as_soon_as_he"	"he_that"	"that_he"	"just_as_soon_as_he"	"as_soon_as_he_that"	"he_that_he"	"that_he_had"	"RB"	"RB"	"PRP"	"VB"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"her"	"fellow"	"townsman"	"also"	"experience"	"nervous_breakdown"	"just"	"as_soon_as"	"he"	"discover"	"that"	"he"	"had"	"been"	"bilk"	"of"	"his"	"life"	"savings"	"by"	"the"	"limited"	"practitioner"	"who"	"had"	"been"	"treat"	"his"	"wife"	"a"	"woman"	"suffer"	"from"	"an"	"incurable"	"disease"	"multiple_sclerosis"	"and"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"∅"	"that"	"∅"	"drapery"	"∅_∅"	"∅_that"	"that_drapery"	"∅_∅_∅"	"∅_∅_that"	"∅_that_drapery"	"that_drapery_could"	"ε"	"ε"	"ε"	"VB"	"IN"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"drapery"	"could"	"be"	"design"	"to"	"serve"	"structural"	"purpose"	"he"	"begin"	"a"	"study"	"of"	"the"	"anatomy"	"of"	"fold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"to"	"our"	"haste"	"folk"	"haste_to"	"to_our"	"our_folk"	"commercial_haste_to"	"haste_to_our"	"to_our_folk"	"our_folk_heritage"	"JJ"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"its"	"propagandistic"	"commercial"	"haste"	"to"	"discover"	"our"	"folk"	"heritage"	"the"	"public"	"has"	"remain"	"ignorant"	"of"	"definition"	"such"	"as"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	","	"and"	"magician"	"make"	"magician_,"	",_and"	"and_make"	"a_magician_,"	"magician_,_and"	",_and_make"	"and_make_use"	"DT"	"NN"	"ε"	"VB"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"however"	"out"	"of"	"his"	"professional"	"as"	"a"	"magician"	"discover"	"and"	"make"	"use"	"of"	"a"	"number"	"of"	"illusionary"	"technique"	"that"	"remain"	"part"	"of"	"the"	"vocabulary"	"of"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"this"	"gagwriter"	"brand"	"gagwriter_have"	"have_this"	"this_brand"	"year_gagwriter_have"	"gagwriter_have_this"	"have_this_brand"	"this_brand_of"	"NN"	"NN"	"VBP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"recent"	"gagwriter"	"have"	"discover"	"this"	"brand"	"of"	"blunder"	"and"	"thus"	"the"	"misplaced"	"modifier"	"has"	"acquire"	"a"	"new"	"habitat"	"in"	"the"	"gag_line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
