"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:41:00::"	"to"	"our"	"compel"	"own"	"compel_to"	"to_our"	"our_own"	"clearly_compel_to"	"compel_to_our"	"to_our_own"	"our_own_nuclear"	"RB"	"VB"	"TO"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speak"	"recently"	"in"	"miami"	"governor_rockefeller"	"say"	"that"	"to"	"assure"	"the"	"sufficiency"	"of"	"our"	"own"	"weapons"	"in"	"face"	"of"	"the"	"recent"	"soviet"	"tests"	"we"	"now"	"clearly"	"compel"	"to"	"conduct"	"our"	"own"	"nuclear"	"tests"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"by"	"9"	"mrs._gretchen_schenk"	"9_,"	",_by"	"by_mrs._gretchen_schenk"	"oct._9_,"	"9_,_by"	",_by_mrs._gretchen_schenk"	"by_mrs._gretchen_schenk_of"	"NNP"	"CD"	"ε"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"southeast_library_workshop"	"will"	"be"	"here"	"oct."	"conduct"	"by"	"mrs._gretchen_schenk"	"of"	"summerdale"	"ala."	"author"	"lecturer"	"and"	"library"	"leader"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"programs"	"by"	"spraying"	"``"	"spraying_programs"	"programs_by"	"by_``"	"vast_spraying_programs"	"spraying_programs_by"	"programs_by_``"	"by_``_technicians"	"JJ"	"NN"	"NNS"	"VB"	"IN"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"vast"	"programs"	"conduct"	"by"	"technicians"	"with"	"narrow"	"training"	"and"	"little"	"wisdom"	"are"	"endanger"	"crops"	"and"	"wildlife"	"carl_w._buchheister"	"president"	"of"	"the"	"national_audubon_society"	"say"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"∅"	","	"∅"	"encourage"	"∅_∅"	"∅_,"	",_encourage"	"∅_∅_∅"	"∅_∅_,"	"∅_,_encourage"	",_encourage_,"	"ε"	"ε"	"ε"	"VB"	"ε"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"encourage"	"and"	"promote"	"fundamental"	"scientific"	"research"	"and"	"basic"	"study"	"to"	"develop"	"the"	"best"	"and"	"most"	"economical"	"process"	"and"	"method"	"for"	"convert"	"saline"	"water"	"into"	"water"	"suitable"	"for"	"beneficial"	"consumptive"	"purpose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"∅"	"engineering"	"∅"	"research"	"∅_∅"	"∅_engineering"	"engineering_research"	"∅_∅_∅"	"∅_∅_engineering"	"∅_engineering_research"	"engineering_research_and"	"ε"	"ε"	"ε"	"VB"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"engineering"	"research"	"and"	"technical"	"development"	"work"	"to"	"determine"	"by"	"laboratory"	"and"	"pilot"	"plant"	"testing"	"the"	"result"	"of"	"the"	"research"	"and"	"study"	"aforesaid"	"in_order"	"to"	"develop"	"process"	"and"	"plant"	"design"	"to"	"the"	"point"	"where"	"they"	"can"	"be"	"demonstrate"	"on"	"a"	"large"	"and"	"practical"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"or"	"jointly"	"coordinate"	"with"	"coordinate_or"	"or_jointly"	"jointly_with"	"be_coordinate_or"	"coordinate_or_jointly"	"or_jointly_with"	"jointly_with_the"	"VB"	"VB"	"CC"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"and"	"development"	"activity"	"undertake"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	
"2:36:00::"	","	"by"	"follow"	"shopping_center"	"follow_,"	",_by"	"by_shopping_center"	"activity_follow_,"	"follow_,_by"	",_by_shopping_center"	"by_shopping_center_,"	"NN"	"VB"	"ε"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"group"	"follow"	"conduct"	"by"	"shopping_center"	"department_store"	"recreation"	"equipment"	"dealer"	"radio"	"tv"	"station"	"newspaper"	"and"	"organization"	"interested"	"in"	"the"	"need"	"exist"	"to"	"acquaint"	"youngster"	"with"	"the"	"proper"	"use"	"of"	"sporting"	"firearm"	"and"	"the"	"development"	"of"	"correct"	"attitude"	"and"	"appreciation"	"related_to"	"hunting"	"and"	"wise"	"use"	"of"	"our"	"natural_resources"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"essential"	"capability"	"operation"	"capability_to"	"to_essential"	"essential_operation"	"their_capability_to"	"capability_to_essential"	"to_essential_operation"	"essential_operation_in"	"PRP$"	"NN"	"TO"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"deterrent"	"power"	"of"	"our"	"armed_forces"	"come"	"from"	"their"	"nuclear"	"retaliatory"	"capability"	"and"	"their"	"capability"	"to"	"conduct"	"essential"	"operation"	"in"	"any"	"form"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"salesman"	"themselves"	"the"	"with"	"the_salesman"	"salesman_themselves"	"themselves_with"	"how_the_salesman"	"the_salesman_themselves"	"salesman_themselves_with"	"themselves_with_different"	"WRB"	"DT"	"NN"	"VB"	"VB"	"IN"	"JJ"	"the"	"reason"	"for"	"the"	"value"	"of"	"this"	"procedure"	"be"	"simply"	"that"	"the"	"applicant"	"were"	"test"	"at"	"work"	"in"	"different"	"situation"	"by"	"the"	"judgment"	"of"	"a"	"number"	"of"	"expert"	"could"	"see"	"how"	"salesman"	"conduct"	"themselves"	"with"	"different"	"but"	"typical"	"restaurant"	"owner"	"and"	"manager"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"person"	"it"	"when"	"in"	"when_person"	"person_it"	"it_in"	"for_the_first_time_when_person"	"when_person_it"	"person_it_in"	"it_in_paris"	"RB"	"WRB"	"NNP"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hear"	"the"	"for_the_first_time"	"when"	"person"	"conduct"	"it"	"in"	"paris"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"by"	","	"person"	",_and"	"and_by"	"by_person"	"time_,_and"	",_and_by"	"and_by_person"	"by_person_."	"NN"	"ε"	"CC"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bayreuth_festival"	"open"	"july"	"with"	"a"	"new"	"production"	"of"	"tannhaeuser"	"stage"	"by"	"person"	"who"	"is"	"all"	"the"	"opera"	"this"	"time"	"and"	"conduct"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"plan"	"hatching"	"plan_to"	"to_the"	"the_hatching"	"you_plan_to"	"plan_to_the"	"to_the_hatching"	"the_hatching_''"	"PRP"	"VB"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"tell"	"me"	"doctor"	"where"	"you"	"plan"	"to"	"conduct"	"the"	"hatching"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
