"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"
"2:35:00::"	","	"a"	"''"	"small"	"''_,"	",_a"	"a_small"	"needle_''_,"	"''_,_a"	",_a_small"	"a_small_safety_pin"	"NN"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"directions"	"read"	"sl"	"a"	"on"	"needle"	"put"	"a"	"small"	"safety_pin"	"paper_clip"	"or"	"commercial"	"ring"	"marker"	"on"	"needle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"to"	"into"	"practical"	"effect"	"practical_to"	"to_into"	"into_effect"	"the_most_practical_to"	"practical_to_into"	"to_into_effect"	"into_effect_in"	"RB"	"JJ"	"TO"	"VB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nashville"	"plan"	"incidentally"	"has"	"become"	"recognized"	"as"	"the_most"	"acceptable"	"and"	"thus"	"the_most"	"practical"	"to"	"put"	"into"	"effect"	"in"	"the"	"troubled"	"south"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	","	"at"	"washington"	"the"	"washington_,"	",_at"	"at_the"	"of_washington_,"	"washington_,_at"	",_at_the"	"at_the_disposal"	"IN"	"NNP"	"ε"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"this"	"year"	"mark"	"the"	"centennial"	"of"	"the"	"beginning"	"of"	"the"	"civil_war"	"this"	"fact"	"is"	"being"	"commemorate"	"with"	"several"	"exhibits"	"throughout"	"the"	"state"	"but"	"most_of_all"	"pay"	"tribute"	"the"	"first"	"rhode_island"	"volunteers"	"who"	"rush"	"to"	"the"	"of"	"the"	"city"	"of"	"washington"	"put"	"at"	"the"	"disposal"	"of"	"president_lincoln"	"the"	"only"	"fully"	"equipped"	"and"	"best"	"trained"	"regiment"	"at"	"this"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"into"	"∅"	"a"	"∅_∅"	"∅_into"	"into_a"	"∅_∅_∅"	"∅_∅_into"	"∅_into_a"	"into_a_saucepan"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"into"	"a"	"saucepan"	"a"	"cupful"	"of"	"the"	"baked"	"ham"	"gravy"	"or"	"of"	"the"	"boiled"	"ham"	"liquor"	"with"	"a"	"half"	"stick"	"of"	"butter"	"three"	"teaspoonfuls"	"of"	"made"	"mustard"	"and"	"two"	"mashed"	"garlic_cloves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"can"	"him"	"consummation"	"off"	"consummation_can"	"can_him"	"him_off"	"the_consummation_can"	"consummation_can_him"	"can_him_off"	"him_off_stride"	"DT"	"NN"	"MD"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"or"	"the"	"frequent"	"need"	"to"	"check"	"and"	"discipline"	"to"	"the"	"wisest"	"pace"	"of"	"the"	"consummation"	"can"	"put"	"him"	"off"	"stride"	"and"	"make"	"it"	"impossible"	"for"	"him"	"to"	"be"	"continuously"	"ready"	"for"	"penetration"	"over"	"a"	"long"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"sen._jackson"	"it"	"as"	","	"as_sen._jackson"	"sen._jackson_it"	"it_,"	",_as_sen._jackson"	"as_sen._jackson_it"	"sen._jackson_it_,"	"it_,_``"	"ε"	"IN"	"NNP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jackson"	"report"	"will"	"provide"	"some"	"of"	"the"	"political"	"support"	"mr._rusk"	"need"	"if"	"he"	"is"	"to"	"get_rid_of"	"department"	"personnel"	"engage"	"as"	"sen._jackson"	"put"	"it"	"in"	"work"	"that"	"does"	"not"	"really"	"need"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"his"	"when"	"deliberations"	"when_he"	"he_his"	"his_deliberations"	"but_when_he"	"when_he_his"	"he_his_deliberations"	"his_deliberations_and"	"CC"	"WRB"	"PRP"	"VB"	"PRP$"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"conductor"	"preoccupation"	"with"	"the"	"business"	"of"	"starting"	"and"	"stopping"	"cause"	"occasional"	"raggedness"	"with"	"the"	"first"	"orchestra"	"entrance"	"in"	"the"	"fourth_piano_concerto"	"but"	"when"	"he"	"put"	"his"	"deliberations"	"and"	"obsequies"	"aside"	"and"	"let"	"the"	"music"	"move"	"as"	"design"	"it"	"did"	"so"	"with"	"plenty"	"of"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"was"	"in"	"plan"	"effect"	"plan_was"	"was_in"	"in_effect"	"snow_plan_was"	"plan_was_in"	"was_in_effect"	"in_effect_too"	"NN"	"NN"	"VBD"	"VB"	"VB"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"snow"	"plan"	"was"	"put"	"in"	"effect"	"too"	"slowly"	"in"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"they"	"such"	"but"	"a"	"but_they"	"they_such"	"such_a"	",_but_they"	"but_they_such"	"they_such_a"	"such_a_combination"	"ε"	"CC"	"PRP"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"there"	"be"	"a"	"pair"	"of"	"old"	"biddies"	"play"	"by"	"grace_carney"	"and"	"sibly_bowan"	"may"	"be"	"right"	"off"	"the"	"shelf"	"of"	"stock"	"irish"	"characters"	"but"	"they"	"put"	"such"	"a"	"combination"	"of"	"good_will"	"and"	"malevolence"	"into"	"their"	"parts"	"that"	"they"	"be"	"quite"	"entertaining"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"and"	"them"	"marseilles"	"again"	"marseilles_and"	"and_them"	"them_again"	"in_marseilles_and"	"marseilles_and_them"	"and_them_again"	"them_again_on"	"IN"	"NNP"	"CC"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"task"	"of"	"take"	"the"	"raw_material"	"of"	"marcel_pagnol"	"original"	"trio"	"french"	"films"	"about"	"people"	"of"	"the"	"waterfront"	"in"	"marseilles"	"and"	"put"	"them"	"again"	"on"	"the"	"screen"	"after"	"their"	"passage"	"through"	"the"	"broadway"	"musical"	"idiom"	"be"	"a"	"delicate"	"and"	"perilous"	"one"	"indeed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"never"	"moliere"	"has"	"'s"	"has_never"	"never_moliere"	"moliere_'s"	"comedie_has_never"	"has_never_moliere"	"never_moliere_'s"	"moliere_'s_people"	"NNP"	"VBZ"	"RB"	"VB"	"NNP"	"POS"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so_far"	"as"	"i"	"know"	"comedie"	"has"	"never"	"put"	"moliere"	"people"	"in"	"the"	"costumes"	"of"	"the"	"th"	"century"	"but"	"they"	"do"	"reinterpret"	"plays"	"and"	"characters"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"it"	"the"	"does"	"label"	"does_it"	"it_the"	"the_label"	"∅_does_it"	"does_it_the"	"it_the_label"	"the_label_of"	"ε"	"VB"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"put"	"the"	"label"	"of"	"un-american"	"or"	"subversive"	"on"	"everyone"	"with"	"whom"	"it"	"disagree"	"politically"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
