"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"5:00:00:cardinal:00"	"figure"	"and"	"like"	"6"	"like_figure"	"figure_and"	"and_6"	"draw_like_figure"	"like_figure_and"	"figure_and_6"	"and_6_,"	"VB"	"IN"	"NN"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"figure"	"had"	"draw"	"like"	"figure"	"and"	"classification"	"of"	"the"	"onset"	"age"	"and"	"completion"	"age"	"be"	"summarize"	"from"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"to"	"time"	"0"	"."	"0_to"	"to_time"	"time_."	"from_0_to"	"0_to_time"	"to_time_."	"time_._∅"	"IN"	"JJ"	"TO"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"trained"	"marksman"	"shoot"	"five"	"round"	"at"	"a"	"target"	"all"	"under"	"the"	"same"	"condition"	"may"	"hit"	"the"	"bull's_eye"	"from"	"to"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"a"	"-"	"in"	"game"	"in_a"	"a_-"	"-_game"	"world_series_in_a"	"in_a_-"	"a_-_game"	"-_game_romp"	"NN"	"IN"	"DT"	"JJ"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"powerful"	"new_york"	"group"	"their"	"world_series"	"in"	"a"	"game"	"romp"	"over"	"outclassed"	"group"	"crush"	"the"	"group"	"in"	"a"	"humiliating"	"barrage"	"monday"	"in"	"the"	"loosely"	"played"	"finale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"a"	"-"	"in"	"run"	"in_a"	"a_-"	"-_run"	"person_in_a"	"in_a_-"	"a_-_run"	"-_run_first"	"NNP"	"IN"	"DT"	"JJ"	"ε"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"replacement"	"slam"	"a"	"run"	"homer"	"as"	"the"	"rout"	"loser"	"person"	"in"	"a"	"run"	"first"	"inning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"-"	"."	"29"	"∅"	"29_-"	"-_."	"._∅"	"of_29_-"	"29_-_."	"-_._∅"	"._∅_∅"	"IN"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"similar"	"resolution"	"pass"	"in"	"the"	"by"	"a"	"vote"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"for"	"-"	")"	"30_minutes"	")_for"	"for_-"	"-_30_minutes"	"mention_)_for"	")_for_-"	"for_-_30_minutes"	"-_30_minutes_."	"VB"	"ε"	"IN"	"JJ"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"dry"	"the"	"section"	"under"	"the"	"fan"	"fix"	"in"	"acetone"	"and"	"dry"	"at"	"as"	"in"	"the"	"indirect"	"method"	"the"	"section"	"treat"	"with"	"conjugated"	"f"	"or"	"f"	"undiluted"	"unless"	"mention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"$"	"to"	"for"	"$"	"for_$"	"$_to"	"to_$"	"machine_for_$"	"for_$_to"	"$_to_$"	"to_$_10000"	"NN"	"IN"	"ε"	"JJ"	"TO"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"gadget"	"faker"	"operate"	"or"	"his"	"phony"	"machine"	"for"	"to"	"anything"	"the"	"traffic"	"will"	"bear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"at"	":"	"start"	"00"	"start_at"	"at_:"	":_00"	"was_start_at"	"start_at_:"	"at_:_00"	":_00_pm"	"VBD"	"VB"	"IN"	"JJ"	"ε"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"operation"	"start"	"at"	"pm"	"and"	"last"	"for"	"minute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"by"	"yard"	"king"	"."	"king_by"	"by_yard"	"yard_."	"quarter_mile_king_by"	"king_by_yard"	"by_yard_."	"yard_._∅"	"NN"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"set"	"the"	"world_record"	"earlier"	"this"	"month"	"in"	"new_york"	"with"	"a"	"clocking"	"of"	"person"	"early"	"pace"	"and"	"beat"	"the"	"young"	"big_10"	"quarter_mile"	"king"	"by"	"yard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"on"	"completion"	"("	"in"	"(_on"	"on_completion"	"completion_in"	"passing_(_on"	"(_on_completion"	"on_completion_in"	"completion_in_7"	"NN"	"ε"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"combine"	"yard"	"rushing"	"with"	"passing"	"on"	"completion"	"in"	"toss"	"and"	"a"	"tough"	"defense"	"to"	"whip"	"group"	"and"	"group"	"with"	"a"	"point"	"bulge"	"against"	"group"	"run_up"	"its"	"biggest"	"total"	"loop"	"play"	"since"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"at"	"`"	"air"	"c"	"air_at"	"at_`"	"`_c"	"of_air_at"	"air_at_`"	"at_`_c"	"`_c_or"	"IN"	"NN"	"IN"	"JJ"	"ε"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"protein"	"identification"	"fraction"	"from"	"the"	"column"	"were"	"by"	"pervaporation"	"against"	"a"	"stream"	"of"	"air"	"at"	"c"	"or"	"by"	"negative"	"pressure"	"dialysis"	"in"	"an"	"apparatus"	"which"	"permit"	"simultaneous"	"concentration"	"of"	"the"	"protein"	"and"	"dialysis"	"against"	"isotonic"	"saline"	"0"	"0"	"0"	
