"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"2:38:00::"	"are"	"one"	"we"	"of"	"we_are"	"are_one"	"one_of"	"for_we_are"	"we_are_one"	"are_one_of"	"one_of_the"	"IN"	"PRP"	"VBP"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"we"	"must"	"become"	"for"	"we"	"are"	"approach"	"one"	"of"	"the"	"nation"	"most"	"guarded"	"secrets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"the"	"as"	"first"	"as_he"	"he_the"	"the_first"	"∅_as_he"	"as_he_the"	"he_the_first"	"the_first_farmhouse"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"approach"	"the"	"first"	"farmhouse"	"thunder"	"sound"	"behind"	"him"	"again"	"closer"	"now"	"and"	"louder"	"like"	"a"	"steadily"	"advancing"	"drum"	"corps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"from"	","	"below"	",_the"	"the_from"	"from_below"	"closure_,_the"	",_the_from"	"the_from_below"	"from_below_,"	"NN"	"ε"	"DT"	"NN"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"rapid"	"of"	"closure"	"the"	"approach"	"from"	"below"	"the"	"side"	"and"	"ahead"	"there"	"would"	"be"	"only"	"a"	"moment"	"when"	"damage"	"could"	"be"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"two"	"to"	"these"	"understand"	"these_two"	"two_to"	"to_understand"	"between_these_two"	"these_two_to"	"two_to_understand"	"to_understand_the"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whatever"	"pole"	"of"	"this"	"contrast"	"one"	"and"	"whatever"	"the"	"tension"	"between"	"these"	"two"	"approach"	"to"	"understand"	"the"	"artistic"	"imagination"	"it"	"will"	"be"	"readily"	"see"	"that"	"they"	"be"	"not"	"mutually_exclusive"	"that"	"they"	"belong"	"together"	"0"	"0"	
"1:04:00::"	"the"	"of"	"by"	"american"	"by_the"	"the_of"	"of_american"	"trouble_by_the"	"by_the_of"	"the_of_american"	"of_american_settlement"	"VB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"its"	"part"	"the"	"was"	"trouble"	"by"	"the"	"approach"	"of"	"american"	"settlement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"to"	"at"	"cuban"	"at_the"	"the_to"	"to_cuban"	"and_at_the"	"at_the_to"	"the_to_cuban"	"to_cuban_water"	"CC"	"IN"	"DT"	"NN"	"TO"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"military"	"expert"	"say"	"a"	"tight"	"off"	"cuban"	"port"	"and"	"at"	"the"	"approach"	"to"	"cuban"	"water"	"would"	"require"	"two"	"naval"	"task_force"	"each"	"build"	"around"	"an"	"aircraft_carrier"	"with"	"a"	"complement"	"of"	"about"	"plane"	"and"	"several"	"destroyer"	
"1:04:02::"	"another"	"to"	"to"	"collaboration"	"to_another"	"another_to"	"to_collaboration"	"again_to_another"	"to_another_to"	"another_to_collaboration"	"to_collaboration_."	"RB"	"TO"	"DT"	"NN"	"TO"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"casual"	"dreamlike"	"work"	"method"	"often"	"as"	"not"	"in_absentia"	"be"	"an"	"abrupt"	"change"	"from"	"person"	"so"	"person"	"had_to"	"adjust"	"again"	"to"	"another"	"approach"	"to"	"collaboration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"slowly"	","	"was"	"its"	"was_slowly"	"slowly_,"	",_its"	"that_was_slowly"	"was_slowly_,"	"slowly_,_its"	",_its_prewar"	"WDT"	"VBD"	"RB"	"VB"	"ε"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"nurse"	"anger"	"i"	"listlessly"	"a"	"car"	"that"	"was"	"slowly"	"approach"	"its"	"prewar"	"chrome"	"nearly"	"blind"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	","	"car"	"its"	"car_was"	"was_,"	",_its"	"big_car_was"	"car_was_,"	"was_,_its"	",_its_chrome"	"JJ"	"NN"	"VBD"	"VB"	"ε"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"car"	"was"	"approach"	"its"	"chrome"	"tooth"	"grinning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"fast"	"car"	"."	"car_was"	"was_fast"	"fast_."	"the_car_was"	"car_was_fast"	"was_fast_."	"fast_._∅"	"DT"	"NN"	"VBD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"was"	"approach"	"fast"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"may"	"the"	"classroom"	"learning"	"classroom_may"	"may_the"	"the_learning"	"structured_classroom_may"	"classroom_may_the"	"may_the_learning"	"the_learning_task"	"JJ"	"NN"	"MD"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"individual"	"with"	"high"	"in"	"the"	"structured"	"classroom"	"may"	"approach"	"the"	"learning"	"task"	"with"	"the"	"same"	"increased"	"energy"	"and"	"lowered"	"power"	"of"	"discrimination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"they"	"the"	"as"	"road"	"as_they"	"they_the"	"the_road"	"man_as_they"	"as_they_the"	"they_the_road"	"the_road_."	"NN"	"RB"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"this"	"was"	"being"	"discuss"	"we"	"the"	"militia"	"to"	"the"	"west"	"of"	"us"	"fan_out"	"and"	"break"	"little"	"cluster"	"of"	"two"	"and"	"three"	"man"	"as"	"they"	"approach"	"the"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"latter"	"has"	"this"	"already"	"this_latter"	"latter_has"	"has_already"	",_this_latter"	"this_latter_has"	"latter_has_already"	"has_already_been"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"RB"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_a_matter_of_fact"	"latter"	"approach"	"has"	"already"	"been"	"try"	"and"	"with"	"pleasing"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"'s"	"in"	"group"	"these"	"group_'s"	"'s_in"	"in_these"	"of_group_'s"	"group_'s_in"	"'s_in_these"	"in_these_disc"	"IN"	"NNP"	"POS"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"clue"	"to"	"character"	"of"	"group"	"approach"	"in"	"these"	"disc"	"may"	"be"	"gain"	"immediately"	"from"	"the"	"fact"	"that"	"ten"	"of"	"the"	"title"	"include"	"the"	"word"	"percussion"	"or"	"percussive"	"0"	"0"	"0"	"0"	
"2:38:00::"	"they"	"the"	"as"	"hotel"	"as_they"	"they_the"	"the_hotel"	"seven-thirty_as_they"	"as_they_the"	"they_the_hotel"	"the_hotel_entrance"	"RB"	"IN"	"PRP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"clock"	"seven-thirty"	"as"	"they"	"approach"	"the"	"hotel"	"entrance"	"and"	"hope"	"that"	"the"	"chambermaid"	"and"	"patronne"	"would"	"still"	"be"	"abed"	"begin"	"to"	"rise"	"in"	"person"	"well"	"exercise"	"breast"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"glimpse"	"person"	"glimpse_the"	"the_of"	"of_person"	"first_glimpse_the"	"glimpse_the_of"	"the_of_person"	"of_person_'s"	"RB"	"VB"	"DT"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"at"	"two"	"thirty"	"he"	"send"	"person"	"to"	"the"	"top"	"of"	"the"	"wall"	"at"	"the"	"northeast"	"corner"	"of"	"the"	"mission"	"to"	"keep_an_eye_on"	"the"	"ridge"	"road"	"and"	"give"	"a"	"signal"	"he"	"first"	"glimpse"	"the"	"approach"	"of"	"person"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"another"	"be"	"∅"	"to"	"∅_another"	"another_be"	"be_to"	"∅_∅_another"	"∅_another_be"	"another_be_to"	"be_to_estimate"	"ε"	"ε"	"JJ"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"approach"	"be"	"to"	"estimate"	"from"	"the"	"rate_of_growth"	"and"	"the"	"smallest"	"size"	"at"	"maturity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"level"	"with"	"second"	"the"	"second_level"	"level_with"	"with_the"	"the_second_level"	"second_level_with"	"level_with_the"	"with_the_largest"	"DT"	"JJ"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"recently"	"the"	"second"	"level"	"approach"	"with"	"the"	"largest"	"snake"	"and"	"has"	"come"	"to"	"these"	"conclusion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"and"	"to"	"curriculum"	"subject"	"curriculum_and"	"and_to"	"to_subject"	"of_curriculum_and"	"curriculum_and_to"	"and_to_subject"	"to_subject_must"	"IN"	"NN"	"CC"	"NN"	"TO"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"any"	"of"	"curriculum"	"and"	"approach"	"to"	"subject"	"must"	"be"	"the"	"quality"	"of"	"the"	"teacher"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"s"	"zero"	"as"	"the"	"as_s"	"s_zero"	"zero_the"	"that_as_s"	"as_s_zero"	"s_zero_the"	"zero_the_square"	"IN"	"IN"	"PRP"	"VB"	"NN"	"DT"	"NN"	"from"	"the"	"point"	"p"	"at"	"to"	"the"	"point"	"q"	"at"	"we"	"construct"	"the"	"chord"	"and"	"upon"	"the"	"chord"	"as"	"a"	"side"	"erect"	"a"	"square"	"in"	"such"	"way"	"that"	"as"	"s"	"zero"	"the"	"square"	"be"	"inside"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"are"	"at"	"who"	"night"	"who_are"	"are_at"	"at_night"	"boy_who_are"	"who_are_at"	"are_at_night"	"at_night_along"	"NN"	"WP"	"VBP"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"think"	"that"	"we"	"are"	"here"	"also"	"talk_about"	"the"	"kind"	"of"	"that"	"a"	"young"	"boy"	"have"	"for"	"a"	"group"	"of"	"boy"	"who"	"are"	"approach"	"at"	"night"	"along"	"the"	"street"	"of"	"a"	"large"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"papa"	":"	"when"	"``"	"when_papa"	"papa_:"	":_``"	"got_to_their_feet_when_papa"	"when_papa_:"	"papa_:_``"	":_``_morning"	"VB"	"WRB"	"NN"	"VB"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"veteran"	"idle"	"on"	"their"	"bench"	"in"	"the"	"location"	"the"	"soldier"	"monument"	"got_to_their_feet"	"when"	"papa"	"approach"	"morning"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"they"	"the"	"as"	"sea"	"as_they"	"they_the"	"the_sea"	"heavy_as_they"	"as_they_the"	"they_the_sea"	"the_sea_."	"JJ"	"IN"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"vacation"	"traffic"	"become"	"heavy"	"as"	"they"	"approach"	"the"	"sea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"were"	"the"	"they"	"sea"	"they_were"	"were_the"	"the_sea"	"tell_they_were"	"they_were_the"	"were_the_sea"	"the_sea_."	"VB"	"PRP"	"VBD"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"could"	"they"	"were"	"approach"	"the"	"sea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"by"	"politician"	"a"	"politician_was"	"was_by"	"by_a"	"a_politician_was"	"politician_was_by"	"was_by_a"	"by_a_man"	"DT"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"was"	"approach"	"by"	"a"	"man"	"seek"	"the"	"office"	"of"	"a"	"minor"	"public"	"official"	"who"	"had"	"just"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
