"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:35:01::"	"cannot"	"his"	"president"	"telephone"	"president_cannot"	"cannot_his"	"his_telephone"	"the_president_cannot"	"president_cannot_his"	"cannot_his_telephone"	"his_telephone_and"	"DT"	"NNP"	"MD"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"president"	"cannot"	"pick_up"	"his"	"telephone"	"and"	"give"	"a"	"go"	"order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"only"	"one"	"need"	"of"	"need_only"	"only_one"	"one_of"	"he_need_only"	"need_only_one"	"only_one_of"	"one_of_the"	"PRP"	"VBP"	"RB"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"only"	"pick_up"	"one"	"of"	"the"	"two"	"red"	"telephone_receivers"	"at"	"his"	"extreme"	"left"	"right"	"next"	"to"	"the"	"big"	"red"	"button"	"marked"	"alert"	"0"	"0"	"0"	
"2:38:01::"	"to"	"it"	"bend"	"up"	"bend_to"	"to_it"	"it_up"	"and_bend_to"	"bend_to_it"	"to_it_up"	"it_up_."	"CC"	"VB"	"TO"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"owly"	"today"	"his"	"grand-daughter"	"say"	"and"	"bend"	"to"	"pick_up"	"it"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"johnny_leighton"	"some"	"∅"	"new"	"∅_johnny_leighton"	"johnny_leighton_some"	"some_new"	"∅_∅_johnny_leighton"	"∅_johnny_leighton_some"	"johnny_leighton_some_new"	"some_new_numbers"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pick_up"	"some"	"new"	"numbers"	"out"	"in"	"texas"	"which"	"he"	"spring"	"on"	"the"	"ringsiders"	"in"	"the"	"rum_house"	"at"	"galt_ocean_mile_hotel"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"and"	"one"	"get_up"	","	"get_up_and"	"and_one"	"one_,"	"he_get_up_and"	"get_up_and_one"	"and_one_,"	"one_,_then"	"PRP"	"VB"	"CC"	"VB"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cleansing"	"tissue"	"she"	"had"	"been"	"use"	"had"	"fall"	"on"	"the"	"floor"	"and"	"he"	"get_up"	"and"	"pick_up"	"one"	"then"	"another"	"hope"	"she"	"would"	"notice"	"what"	"he"	"was"	"do"	"0"	"0"	"0"	"0"	
"2:38:01::"	"person"	"the"	"∅"	"telephone"	"∅_person"	"person_the"	"the_telephone"	"∅_∅_person"	"∅_person_the"	"person_the_telephone"	"the_telephone_;"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pick_up"	"the"	"telephone"	"get"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"you"	"him"	"did"	"up"	"did_you"	"you_him"	"him_up"	"where_did_you"	"did_you_him"	"you_him_up"	"him_up_''"	"WRB"	"VBD"	"PRP"	"VB"	"PRP"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"you"	"pick_up"	"him"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"person"	"it"	"instant"	"up"	"instant_person"	"person_it"	"it_up"	"the_instant_person"	"instant_person_it"	"person_it_up"	"it_up_he"	"DT"	"NN"	"NNP"	"VB"	"PRP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wastebasket"	"stand"	"near"	"the"	"wall"	"next"	"the"	"divan"	"and"	"the"	"instant"	"person"	"pick_up"	"it"	"up"	"he"	"know"	"what"	"had"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"person"	"the"	"∅"	"hem"	"∅_person"	"person_the"	"the_hem"	"∅_∅_person"	"∅_person_the"	"person_the_hem"	"the_hem_of"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pick_up"	"the"	"hem"	"of"	"her"	"gown"	"and"	"with"	"eye"	"closed"	"she"	"slowly"	"begin"	"to"	"dance"	"a"	"stately"	"minuet"	"around"	"the"	"ballroom"	"0"	"0"	"0"	
"2:38:01::"	"and"	"the"	","	"cash"	",_and"	"and_the"	"the_cash"	"tent_,_and"	",_and_the"	"and_the_cash"	"the_cash_box"	"NN"	"ε"	"CC"	"VB"	"DT"	"NN"	"NN"	"had"	"store"	"his"	"stock"	"in"	"the"	"great"	"oak"	"chest"	"lock"	"the"	"two"	"big"	"hasp"	"and"	"secure"	"the"	"additional"	"chain"	"tie"	"the"	"fly"	"of"	"the"	"tent"	"and"	"the"	"cash"	"box"	"he"	"move_up"	"the"	"darken"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"was"	"for"	"enthusiasm"	"a"	"enthusiasm_was"	"was_for"	"for_a"	"that_enthusiasm_was"	"enthusiasm_was_for"	"was_for_a"	"for_a_state"	"IN"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"add"	"enthusiasm"	"was"	"pick_up"	"for"	"a"	"state"	"rally"	"to"	"be"	"hold"	"sept"	"in"	"savannah"	"at"	"which"	"newly"	"elected"	"texas"	"person"	"will"	"be"	"the"	"featured"	"speaker"	
