"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:32:00::"	"X"	"X"	"karns"	"it"	"NNP"	"PRP"	"VB"	"said"	"VB"
"2:32:00::"	"function"	"of_this"	"court"	"karns"	"NN"	"NNP"	"WP"	"said"	"VB"
"2:32:00::"	"X"	"X"	"he"	"his"	"PRP"	"PRP$"	"NN"	"said"	"VB"
"2:32:00::"	"essential"	"needs"	"he"	"and"	"PRP"	"CC"	"IN"	"said"	"VB"
"2:32:00::"	"X"	"the"	"president"	"the"	"NNP"	"DT"	"NN"	"said"	"VB"
"2:32:00::"	"field"	"the"	"president"	"he"	"NNP"	"PRP"	"MD"	"said"	"VB"
"2:32:00::"	"X"	"the"	"president"	"he"	"NNP"	"PRP"	"MD"	"said"	"VB"
"2:32:00::"	"X"	"the"	"president"	"his"	"NNP"	"PRP$"	"NNS"	"said"	"VB"
"2:32:00::"	"and"	"house_republican_leader_charles_halleck"	"ind"	"the"	"NNP"	"DT"	"NN"	"said"	"VB"
"2:32:01::"	"observer"	"would"	"have"	"that"	"VB"	"IN"	"NNP"	"said"	"VB"
"2:32:00::"	"X"	"X"	"mr._hawksley"	"yesterday"	"NNP"	"NN"	"PRP"	"said"	"VB"
"2:32:00::"	"civil_defense"	"program"	"mr._hawksley"	"the"	"NNP"	"DT"	"NN"	"said"	"VB"
"2:32:00::"	"X"	"X"	"mr._hawksley"	"he"	"NNP"	"PRP"	"VB"	"said"	"VB"
"2:32:00::"	"full-time"	"director"	"he"	"be"	"PRP"	"VB"	"IN"	"said"	"VB"
"2:32:00::"	"rescue"	"trucks"	"he"	"X"	"PRP"	"X"	"X"	"said"	"VB"
"2:32:00::"	"the"	"city"	"mr._hawksley"	"he"	"NNP"	"PRP"	"MD"	"said"	"VB"
"2:32:00::"	"assembly"	"point"	"he"	"and"	"PRP"	"CC"	"DT"	"said"	"VB"
"2:32:00::"	"X"	"X"	"mr._hawksley"	"he"	"NNP"	"PRP"	"VB"	"said"	"VB"
"2:32:00::"	"vital"	"information"	"he"	"has"	"PRP"	"VB"	"VB"	"said"	"VB"
"2:32:00::"	"cd"	"director"	"mr._hawksley"	"then"	"NNP"	"RB"	"PRP"	"said"	"VB"
"2:32:00::"	"would"	"do"	"he"	"would"	"PRP"	"MD"	"VB"	"said"	"VB"
"2:32:00::"	"X"	"X"	"governor_notte"	"last"	"NNP"	"JJ"	"NN"	"said"	"VB"
"2:32:00::"	"the"	"review"	"mr._notte"	"that"	"NNP"	"IN"	"RB"	"said"	"VB"
"2:32:01::"	"public"	"hearings"	"mr._notte"	"to"	"NNP"	"TO"	"VB"	"said"	"VB"
"2:32:00::"	"council"	"'s"	"resolution"	"X"	"NN"	"X"	"X"	"said"	"VB"
"2:32:00::"	"known"	"labor-management"	"expert"	"here"	"NN"	"RB"	"NN"	"said"	"VB"
"2:32:00::"	"X"	"X"	"he"	"he"	"PRP"	"PRP"	"VBD"	"said"	"VB"
"2:32:00::"	"X"	"X"	"he"	"that"	"PRP"	"IN"	"WRB"	"said"	"VB"
"2:32:00::"	"american_screw_co."	"in"	"1955"	"both"	"CD"	"DT"	"NNS"	"said"	"VB"
"2:32:00::"	"X"	"X"	"he"	"he"	"PRP"	"PRP"	"VB"	"said"	"VB"
"2:32:00::"	"1910"	"philosophy"	"mr._reama"	"a"	"NNP"	"DT"	"NNP"	"said"	"VB"
"2:32:00::"	"X"	"X"	"mr._bourcier"	"that"	"NNP"	"IN"	"PRP"	"said"	"VB"
"2:32:00::"	"X"	"X"	"mr._martinelli"	"yesterday"	"NNP"	"NN"	"IN"	"said"	"VB"
"2:32:00::"	"X"	"X"	"he"	"he"	"PRP"	"PRP"	"MD"	"said"	"VB"
"2:32:00::"	"council"	"president"	"frank_sanantonio"	"yesterday"	"NNP"	"NN"	"PRP"	"said"	"VB"
