"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:42:06::"	"the"	"paris"	"which"	"the"	"WDT"	"DT"	"JJ"	"was"	"VB"
"2:42:06::"	"so"	"young"	"person"	"the"	"NNP"	"DT"	"NN"	"was"	"VB"
"2:42:03::"	"of_course"	"these"	"work"	"not"	"NN"	"RB"	"JJ"	"are"	"VB"
"2:42:03::"	"in"	"florid"	"counterpoint"	"not"	"NN"	"RB"	"JJ"	"were"	"VB"
"2:42:03::"	"canvas"	"of"	"sound"	"required"	"NN"	"JJ"	"X"	"was"	"VB"
"2:42:03::"	"effective"	"traditionalist"	"who"	"fully"	"WP"	"RB"	"JJ"	"was"	"VB"
"2:42:03::"	"his"	"purpose"	"yet"	"never"	"RB"	"RB"	"JJ"	"was"	"VB"
"2:42:03::"	"X"	"so"	"person"	"able"	"NNP"	"JJ"	"VB"	"was"	"VB"
"2:42:06::"	"X"	"X"	"person"	"essentially"	"NNP"	"RB"	"DT"	"is"	"VB"
"2:42:03::"	"X"	"it"	"has"	"my"	"VBZ"	"PRP$"	"NN"	"been"	"VB"
"2:42:03::"	"X"	"X"	"i"	"thoroughly"	"PRP"	"RB"	"JJ"	"am"	"VB"
"2:42:03::"	"result"	"such"	"picture"	"only"	"NN"	"RB"	"DT"	"are"	"VB"
"2:42:03::"	"paint"	"a"	"picture"	"valid"	"NN"	"JJ"	"RB"	"is"	"VB"
"2:42:03::"	"X"	"my"	"brush"	"different"	"NN"	"JJ"	"IN"	"are"	"VB"
"2:42:03::"	"thing"	"that"	"come_to_mind"	"their"	"VB"	"PRP$"	"JJ"	"is"	"VB"
"2:42:03::"	"'s"	"physical"	"eye"	"half"	"NN"	"JJ"	"JJ"	"are"	"VB"
"2:42:03::"	"while"	"his"	"mind's_eye"	"wide-open"	"NN"	"JJ"	"CC"	"is"	"VB"
"2:42:03::"	"the"	"statements"	"may"	"highly"	"MD"	"RB"	"JJ"	"be"	"VB"
"2:42:03::"	"karns"	"say"	"it"	"a"	"PRP"	"DT"	"JJ"	"was"	"VB"
"2:42:03::"	"authority"	"of_that"	"court"	"not"	"NN"	"RB"	"DT"	"is"	"VB"
"2:42:06::"	"say"	"karns"	"who"	"a"	"WP"	"DT"	"NNP"	"is"	"VB"
"2:42:07::"	"social_security"	"payroll"	"tax"	"now"	"NN"	"RB"	"CD"	"is"	"VB"
"2:42:03::"	"over"	"65"	"who"	"under"	"WP"	"IN"	"DT"	"are"	"VB"
"2:42:03::"	"X"	"X"	"this"	"a"	"DT"	"DT"	"RB"	"is"	"VB"
"2:42:03::"	"X"	"X"	"this"	"not"	"DT"	"RB"	"DT"	"is"	"VB"
"2:42:03::"	"and"	"costly"	"proposals"	"for"	"NNS"	"IN"	"JJ"	"were"	"VB"
"2:42:03::"	"to"	"the"	"message"	"along"	"NN"	"IN"	"JJ"	"was"	"VB"
"2:42:05::"	"only"	"11"	"senators"	"on"	"NNS"	"VB"	"DT"	"were"	"VB"
"2:42:00::"	"floor"	"and"	"there"	"no"	"EX"	"DT"	"NN"	"was"	"VB"
"2:42:06::"	"north_atlantic_treaty_organization"	"foreign_ministers"	"has"	"the"	"VBZ"	"DT"	"JJR"	"been"	"VB"
"2:42:06::"	"X"	"this"	"has"	"a"	"VBZ"	"DT"	"JJ"	"been"	"VB"
"2:42:03::"	"of"	"understanding"	"has"	"particularly"	"VBZ"	"RB"	"JJ"	"been"	"VB"
"2:42:00::"	"harsh"	"there"	"has"	"a"	"VBZ"	"DT"	"JJ"	"been"	"VB"
"2:42:03::"	"canada"	"alone"	"has"	"somewhat"	"VBZ"	"RB"	"IN"	"been"	"VB"
"2:42:03::"	"leadership"	"has"	"not"	"as"	"RB"	"IN"	"JJ"	"been"	"VB"
"2:42:03::"	"present"	"council"	"meeting"	"a"	"NN"	"DT"	"JJ"	"is"	"VB"
"2:42:03::"	"core"	"of"	"nato"	"concerned"	"NNP"	"JJ"	"DT"	"is"	"VB"
"2:42:05::"	"submarines"	"will"	"eventually"	"at"	"RB"	"IN"	"NNP"	"be"	"VB"
"2:42:06::"	"'s"	"greatest"	"achievement"	"perhaps"	"NN"	"RB"	"DT"	"is"	"VB"
"2:42:03::"	"around"	"the"	"globe"	"in_essence"	"NN"	"RB"	"DT"	"is"	"VB"
"2:42:00::"	"X"	"X"	"there"	"little"	"EX"	"JJ"	"NN"	"is"	"VB"
"2:42:03::"	"the"	"communists"	"will"	"any_more"	"MD"	"RB"	"JJ"	"be"	"VB"
"2:42:03::"	"conference_table"	"than"	"they"	"in"	"PRP"	"IN"	"NN"	"were"	"VB"
"2:42:03::"	"officials"	"explain"	"now"	"mainly"	"RB"	"RB"	"JJ"	"is"	"VB"
"2:42:00::"	"X"	"X"	"this"	"another"	"DT"	"DT"	"IN"	"is"	"VB"
"2:42:00::"	"there"	"has"	"not"	"time"	"RB"	"NN"	"RB"	"been"	"VB"
"2:42:03::"	"first"	"foreign_policy"	"decisions"	"in"	"NNS"	"IN"	"VB"	"been"	"VB"
"2:42:06::"	"outcome"	"in"	"laos"	"a"	"NNP"	"DT"	"NN"	"was"	"VB"
"2:42:03::"	"X"	"X"	"seato"	"steamed"	"NNP"	"JJ"	"RB"	"was"	"VB"
"2:42:00::"	"X"	"X"	"there"	"the"	"EX"	"DT"	"JJ"	"was"	"VB"
"2:42:03::"	"conclude"	"that"	"laos"	"ill_suited"	"NNP"	"JJ"	"TO"	"was"	"VB"
"2:42:06::"	"be"	"ill_suited"	"to"	"an"	"TO"	"DT"	"NN"	"be"	"VB"
"2:42:03::"	"whom"	"it"	"feel"	"too"	"VB"	"RB"	"JJ"	"was"	"VB"
"2:42:06::"	"X"	"one"	"factor"	"the"	"NN"	"DT"	"NN"	"was"	"VB"
"2:42:03::"	"X"	"the"	"president"	"deeply"	"NNP"	"RB"	"JJ"	"is"	"VB"
"2:42:04::"	"he"	"believe"	"there"	"a_number_of"	"EX"	"JJ"	"JJ"	"are"	"VB"
"2:42:03::"	"residents"	"who"	"would"	"willing"	"MD"	"JJ"	"TO"	"be"	"VB"
"2:42:03::"	"local"	"organization"	"would"	"centralized"	"MD"	"JJ"	"X"	"be"	"VB"
"2:42:03::"	"director"	"he"	"say"	"that"	"VB"	"IN"	"NNP"	"is"	"VB"
"2:42:03::"	"the"	"narragansett_race_track"	"grounds"	"one"	"NNS"	"CD"	"NN"	"is"	"VB"
"2:42:03::"	"in"	"seekonk"	"would"	"another"	"MD"	"DT"	"X"	"be"	"VB"
"2:42:03::"	"mr._hawksley"	"say"	"he"	"not"	"PRP"	"RB"	"JJ"	"was"	"VB"
"2:42:03::"	"say"	"has"	"to"	"make"	"VB"	"VB"	"JJ"	"be"	"VB"
"2:42:03::"	"that"	"he"	"has"	"concerned"	"VBZ"	"JJ"	"RB"	"been"	"VB"
"2:42:07::"	"police"	"that"	"it"	"their"	"PRP"	"PRP$"	"NN"	"is"	"VB"
"2:42:03::"	"X"	"there"	"has"	"more"	"VBZ"	"JJR"	"NN"	"been"	"VB"
"2:42:06::"	"with"	"large"	"supermarkets"	"on"	"NNS"	"VB"	"NNP"	"is"	"VB"
"2:42:07::"	"confess"	"that"	"i"	"a"	"PRP"	"DT"	"NN"	"was"	"VB"
"2:42:03::"	"X"	"X"	"that"	"before"	"DT"	"IN"	"PRP"	"was"	"VB"
"2:42:02::"	"that"	"when"	"he"	"a"	"PRP"	"DT"	"NNP"	"was"	"VB"
"2:42:07::"	"say"	"a"	"socialist"	"a"	"NNP"	"DT"	"NN"	"is"	"VB"
"2:42:03::"	"is"	"hope"	"will"	"the"	"MD"	"DT"	"JJ"	"be"	"VB"
"2:42:03::"	"that"	"there"	"should"	"more_than"	"MD"	"RB"	"RB"	"be"	"VB"
"2:42:03::"	"of"	"the"	"group"	"interested"	"NN"	"JJ"	"IN"	"are"	"VB"
"2:42:07::"	"most"	"immediate"	"goal"	"to"	"NN"	"TO"	"VB"	"is"	"VB"
